Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505639600,2017-09-17T09:13:20Z,ADB2137,"37.704483,60.903179",12225,356,98
1505639584,2017-09-17T09:13:04Z,ADB2137,"37.707638,60.875603",12550,357,98
1505639552,2017-09-17T09:12:32Z,ADB2137,"37.715424,60.808159",13275,365,98
1505639497,2017-09-17T09:11:37Z,ADB2137,"37.729939,60.690449",14500,375,96
1505639471,2017-09-17T09:11:11Z,ADB2137,"37.732086,60.634129",15175,375,88
1505639463,2017-09-17T09:11:03Z,ADB2137,"37.731079,60.613152",15350,377,85
1505639456,2017-09-17T09:10:56Z,ADB2137,"37.730495,60.600227",15475,380,89
1505639450,2017-09-17T09:10:50Z,ADB2137,"37.731125,60.586559",15625,383,96
1505639440,2017-09-17T09:10:40Z,ADB2137,"37.73436,60.566494",15825,390,109
1505639434,2017-09-17T09:10:34Z,ADB2137,"37.739712,60.551445",16050,392,120
1505639428,2017-09-17T09:10:28Z,ADB2137,"37.745159,60.54052",16250,392,127
1505639396,2017-09-17T09:09:56Z,ADB2137,"37.783707,60.486961",17050,399,132
1505639334,2017-09-17T09:08:54Z,ADB2137,"37.863098,60.377819",18725,407,132
1505639271,2017-09-17T09:07:51Z,ADB2137,"37.944122,60.266041",20325,419,132
1505639209,2017-09-17T09:06:49Z,ADB2137,"38.026794,60.152077",22050,430,132
1505639146,2017-09-17T09:05:46Z,ADB2137,"38.112259,60.034908",23850,441,132
1505639083,2017-09-17T09:04:43Z,ADB2137,"38.202026,59.911777",25700,454,132
1505639020,2017-09-17T09:03:40Z,ADB2137,"38.292206,59.787479",27925,457,132
1505638958,2017-09-17T09:02:38Z,ADB2137,"38.38139,59.66436",29950,458,132
1505638897,2017-09-17T09:01:37Z,ADB2137,"38.46666,59.545719",31000,455,132
1505638834,2017-09-17T09:00:34Z,ADB2137,"38.558304,59.419315",31000,457,133
1505638828,2017-09-17T09:00:28Z,ADB2137,"38.567047,59.407314",30975,457,132
1505638822,2017-09-17T09:00:22Z,ADB2137,"38.576118,59.394043",31000,457,129
1505638815,2017-09-17T09:00:15Z,ADB2137,"38.583939,59.38158",31000,457,126
1505638796,2017-09-17T08:59:56Z,ADB2137,"38.606701,59.336853",30975,457,118
1505638733,2017-09-17T08:58:53Z,ADB2137,"38.667206,59.185677",31000,455,116
1505638670,2017-09-17T08:57:50Z,ADB2137,"38.72699,59.034794",30975,454,116
1505638607,2017-09-17T08:56:47Z,ADB2137,"38.787048,58.882359",30975,453,116
1505638546,2017-09-17T08:55:46Z,ADB2137,"38.844166,58.738281",30950,453,117
1505638485,2017-09-17T08:54:45Z,ADB2137,"38.897419,58.58905",30975,453,109
1505638422,2017-09-17T08:53:42Z,ADB2137,"38.941086,58.429077",30975,454,109
1505638360,2017-09-17T08:52:40Z,ADB2137,"38.98407,58.270531",30975,455,109
1505638296,2017-09-17T08:51:36Z,ADB2137,"39.027676,58.107849",30975,455,108
1505638234,2017-09-17T08:50:34Z,ADB2137,"39.070686,57.948059",30975,456,108
1505638172,2017-09-17T08:49:32Z,ADB2137,"39.112656,57.789639",30975,457,108
1505638110,2017-09-17T08:48:30Z,ADB2137,"39.155319,57.629333",31000,458,108
1505638048,2017-09-17T08:47:28Z,ADB2137,"39.197205,57.469841",31000,457,108
1505637986,2017-09-17T08:46:26Z,ADB2137,"39.23888,57.310181",31000,457,108
1505637924,2017-09-17T08:45:24Z,ADB2137,"39.280731,57.148376",30975,456,108
1505637862,2017-09-17T08:44:22Z,ADB2137,"39.322037,56.988533",30975,455,108
1505637801,2017-09-17T08:43:21Z,ADB2137,"39.362961,56.829708",31000,455,107
1505637739,2017-09-17T08:42:19Z,ADB2137,"39.400417,56.668945",31000,454,106
1505637677,2017-09-17T08:41:17Z,ADB2137,"39.437099,56.508362",31000,454,106
1505637616,2017-09-17T08:40:16Z,ADB2137,"39.473602,56.348938",31000,453,106
1505637554,2017-09-17T08:39:14Z,ADB2137,"39.509811,56.188202",31000,451,106
1505637492,2017-09-17T08:38:12Z,ADB2137,"39.545753,56.028015",31000,450,106
1505637430,2017-09-17T08:37:10Z,ADB2137,"39.581272,55.869263",31000,449,106
1505637369,2017-09-17T08:36:09Z,ADB2137,"39.617203,55.708744",30975,448,106
1505637308,2017-09-17T08:35:08Z,ADB2137,"39.651985,55.552185",31000,448,105
1505637246,2017-09-17T08:34:06Z,ADB2137,"39.687195,55.392708",30975,447,105
1505637185,2017-09-17T08:33:05Z,ADB2137,"39.721909,55.233643",30975,448,105
1505637123,2017-09-17T08:32:03Z,ADB2137,"39.756134,55.075657",31000,448,105
1505637062,2017-09-17T08:31:02Z,ADB2137,"39.790283,54.91761",31000,448,105
1505636951,2017-09-17T08:29:11Z,ADB2137,"39.852219,54.626949",31025,448,105
1505636930,2017-09-17T08:28:50Z,ADB2137,"39.863892,54.571957",31000,447,105
1505636842,2017-09-17T08:27:22Z,ADB2137,"39.911701,54.345764",31000,447,105
1505636803,2017-09-17T08:26:43Z,ADB2137,"39.932697,54.244122",31000,447,105
1505636674,2017-09-17T08:24:34Z,ADB2137,"40.003235,53.901917",31025,446,104
1505636656,2017-09-17T08:24:16Z,ADB2137,"40.012344,53.857056",31025,446,104
1505636592,2017-09-17T08:23:12Z,ADB2137,"40.045441,53.693787",31025,445,104
1505636529,2017-09-17T08:22:09Z,ADB2137,"40.078358,53.531509",31025,444,104
1505636466,2017-09-17T08:21:06Z,ADB2137,"40.111084,53.366638",31025,443,104
1505636405,2017-09-17T08:20:05Z,ADB2137,"40.141853,53.211781",31025,442,104
1505636342,2017-09-17T08:19:02Z,ADB2137,"40.17421,53.047359",31025,440,104
1505636279,2017-09-17T08:17:59Z,ADB2137,"40.206436,52.882812",31025,440,104
1505636218,2017-09-17T08:16:58Z,ADB2137,"40.235752,52.730694",31025,439,104
1505636155,2017-09-17T08:15:55Z,ADB2137,"40.267128,52.567207",31025,437,104
1505636092,2017-09-17T08:14:52Z,ADB2137,"40.298218,52.404785",31025,435,103
1505636031,2017-09-17T08:13:51Z,ADB2137,"40.327377,52.250549",31025,434,103
1505635968,2017-09-17T08:12:48Z,ADB2137,"40.35759,52.089905",31000,431,103
1505635907,2017-09-17T08:11:47Z,ADB2137,"40.3862,51.936707",31000,430,103
1505635844,2017-09-17T08:10:44Z,ADB2137,"40.415813,51.776566",30975,428,103
1505635782,2017-09-17T08:09:42Z,ADB2137,"40.446304,51.61261",30975,427,103
1505635721,2017-09-17T08:08:41Z,ADB2137,"40.469788,51.464478",30975,425,96
1505635660,2017-09-17T08:07:40Z,ADB2137,"40.484253,51.309753",30975,424,96
1505635597,2017-09-17T08:06:37Z,ADB2137,"40.499222,51.147827",30975,422,96
1505635534,2017-09-17T08:05:34Z,ADB2137,"40.513435,50.986862",30975,423,95
1505635473,2017-09-17T08:04:33Z,ADB2137,"40.531357,50.833679",30975,425,99
1505635410,2017-09-17T08:03:30Z,ADB2137,"40.552734,50.67218",30975,426,99
1505635347,2017-09-17T08:02:27Z,ADB2137,"40.573814,50.50983",30975,427,99
1505635286,2017-09-17T08:01:26Z,ADB2137,"40.593597,50.354462",31000,431,99
1505635223,2017-09-17T08:00:23Z,ADB2137,"40.614452,50.190228",31050,434,99
1505635162,2017-09-17T07:59:22Z,ADB2137,"40.634518,50.030739",31025,437,99
1505635099,2017-09-17T07:58:19Z,ADB2137,"40.655094,49.864944",31050,437,99
1505635036,2017-09-17T07:57:16Z,ADB2137,"40.675438,49.700027",31050,436,99
1505634973,2017-09-17T07:56:13Z,ADB2137,"40.695316,49.534794",31025,435,98
1505634912,2017-09-17T07:55:12Z,ADB2137,"40.714279,49.376221",31000,434,99
1505634849,2017-09-17T07:54:09Z,ADB2137,"40.732315,49.211304",31000,432,95
1505634786,2017-09-17T07:53:06Z,ADB2137,"40.744705,49.045589",31025,430,95
1505634723,2017-09-17T07:52:03Z,ADB2137,"40.756714,48.881104",31000,428,95
1505634659,2017-09-17T07:50:59Z,ADB2137,"40.768448,48.716938",31000,426,95
1505634596,2017-09-17T07:49:56Z,ADB2137,"40.780041,48.553764",30975,425,95
1505634533,2017-09-17T07:48:53Z,ADB2137,"40.791092,48.39032",30975,424,94
1505634472,2017-09-17T07:47:52Z,ADB2137,"40.801666,48.233582",30975,424,94
1505634409,2017-09-17T07:46:49Z,ADB2137,"40.812332,48.071716",30975,424,94
1505634346,2017-09-17T07:45:46Z,ADB2137,"40.822868,47.908382",30975,424,94
1505634283,2017-09-17T07:44:43Z,ADB2137,"40.833061,47.746269",30975,425,94
1505634222,2017-09-17T07:43:42Z,ADB2137,"40.842636,47.589172",31000,426,94
1505634159,2017-09-17T07:42:39Z,ADB2137,"40.854172,47.4245",31000,427,95
1505634096,2017-09-17T07:41:36Z,ADB2137,"40.866627,47.261997",30975,428,95
1505634035,2017-09-17T07:40:35Z,ADB2137,"40.878311,47.10413",31000,427,95
1505633945,2017-09-17T07:39:05Z,ADB2137,"40.893303,46.867302",31000,431,99
1505633888,2017-09-17T07:38:08Z,ADB2137,"40.925701,46.723919",31000,433,109
1505633825,2017-09-17T07:37:05Z,ADB2137,"40.968155,46.567444",31000,435,109
1505633762,2017-09-17T07:36:02Z,ADB2137,"41.01215,46.404751",31000,436,109
1505633698,2017-09-17T07:34:58Z,ADB2137,"41.053905,46.249447",31025,436,109
1505633635,2017-09-17T07:33:55Z,ADB2137,"41.096695,46.08844",31000,437,109
1505633547,2017-09-17T07:32:27Z,ADB2137,"41.15657,45.862122",31025,437,109
1505633526,2017-09-17T07:32:06Z,ADB2137,"41.169205,45.814453",31025,437,109
1505633460,2017-09-17T07:31:00Z,ADB2137,"41.213516,45.644775",31000,438,109
1505633396,2017-09-17T07:29:56Z,ADB2137,"41.255493,45.483337",31025,437,108
1505633335,2017-09-17T07:28:55Z,ADB2137,"41.295326,45.329151",31000,438,109
1505633271,2017-09-17T07:27:51Z,ADB2137,"41.339172,45.166321",31025,437,111
1505633265,2017-09-17T07:27:45Z,ADB2137,"41.34343,45.15155",31025,437,111
1505633259,2017-09-17T07:27:39Z,ADB2137,"41.347916,45.13623",31025,437,109
1505633247,2017-09-17T07:27:27Z,ADB2137,"41.354961,45.10387",31025,436,103
1505633186,2017-09-17T07:26:26Z,ADB2137,"41.374653,44.943321",31000,436,98
1505633125,2017-09-17T07:25:25Z,ADB2137,"41.393097,44.782772",31025,435,98
