Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505834861,2017-09-19T15:27:41Z,ADB2158,"51.412788,12.229769",0,74,264
1505834828,2017-09-19T15:27:08Z,ADB2158,"51.414059,12.257614",450,136,265
1505834819,2017-09-19T15:26:59Z,ADB2158,"51.414505,12.266606",575,136,265
1505834810,2017-09-19T15:26:50Z,ADB2158,"51.414871,12.273436",675,137,265
1505834804,2017-09-19T15:26:44Z,ADB2158,"51.4151,12.279226",725,137,267
1505834798,2017-09-19T15:26:38Z,ADB2158,"51.415318,12.285995",825,134,266
1505834792,2017-09-19T15:26:32Z,ADB2158,"51.415596,12.291946",900,132,265
1505834786,2017-09-19T15:26:26Z,ADB2158,"51.415878,12.297116",950,133,264
1505834780,2017-09-19T15:26:20Z,ADB2158,"51.416248,12.303391",1000,133,264
1505834774,2017-09-19T15:26:14Z,ADB2158,"51.416565,12.309067",1075,134,265
1505834768,2017-09-19T15:26:08Z,ADB2158,"51.416901,12.316055",1175,136,266
1505834762,2017-09-19T15:26:02Z,ADB2158,"51.417133,12.321701",1225,138,266
1505834756,2017-09-19T15:25:56Z,ADB2158,"51.417389,12.327254",1300,139,265
1505834750,2017-09-19T15:25:50Z,ADB2158,"51.417664,12.333564",1400,141,265
1505834744,2017-09-19T15:25:44Z,ADB2158,"51.417938,12.339725",1500,142,266
1505834738,2017-09-19T15:25:38Z,ADB2158,"51.418213,12.346109",1575,142,266
1505834732,2017-09-19T15:25:32Z,ADB2158,"51.41853,12.352982",1650,140,266
1505834726,2017-09-19T15:25:26Z,ADB2158,"51.418762,12.35878",1700,137,266
1505834720,2017-09-19T15:25:20Z,ADB2158,"51.419037,12.364889",1750,134,266
1505834711,2017-09-19T15:25:11Z,ADB2158,"51.419449,12.373723",1850,132,266
1505834705,2017-09-19T15:25:05Z,ADB2158,"51.419693,12.379227",1900,132,266
1505834699,2017-09-19T15:24:59Z,ADB2158,"51.419971,12.385254",1975,135,265
1505834693,2017-09-19T15:24:53Z,ADB2158,"51.420319,12.391613",2050,138,265
1505834684,2017-09-19T15:24:44Z,ADB2158,"51.420776,12.400967",2225,140,265
1505834678,2017-09-19T15:24:38Z,ADB2158,"51.421051,12.407276",2325,141,265
1505834672,2017-09-19T15:24:32Z,ADB2158,"51.421322,12.41333",2425,141,266
1505834666,2017-09-19T15:24:26Z,ADB2158,"51.4216,12.41951",2550,141,266
1505834660,2017-09-19T15:24:20Z,ADB2158,"51.421833,12.425995",2675,142,266
1505834654,2017-09-19T15:24:14Z,ADB2158,"51.422066,12.432098",2775,141,266
1505834648,2017-09-19T15:24:08Z,ADB2158,"51.422379,12.438601",2925,141,265
1505834639,2017-09-19T15:23:59Z,ADB2158,"51.422836,12.448104",3025,139,265
1505834633,2017-09-19T15:23:53Z,ADB2158,"51.423138,12.453842",3000,141,265
1505834626,2017-09-19T15:23:46Z,ADB2158,"51.423466,12.460251",2925,150,265
1505834620,2017-09-19T15:23:40Z,ADB2158,"51.423836,12.467575",2925,159,265
1505834614,2017-09-19T15:23:34Z,ADB2158,"51.424164,12.474823",2950,165,265
1505834606,2017-09-19T15:23:26Z,ADB2158,"51.424721,12.486191",2975,173,266
1505834600,2017-09-19T15:23:20Z,ADB2158,"51.424999,12.493896",2975,178,267
1505834594,2017-09-19T15:23:14Z,ADB2158,"51.425186,12.501526",2975,181,267
1505834588,2017-09-19T15:23:08Z,ADB2158,"51.425373,12.509384",3000,184,268
1505834579,2017-09-19T15:22:59Z,ADB2158,"51.425629,12.521742",3000,184,268
1505834570,2017-09-19T15:22:50Z,ADB2158,"51.425995,12.534286",3075,182,266
1505834560,2017-09-19T15:22:40Z,ADB2158,"51.426491,12.54631",3200,180,265
1505834551,2017-09-19T15:22:31Z,ADB2158,"51.427235,12.55806",3350,181,263
1505834543,2017-09-19T15:22:23Z,ADB2158,"51.428375,12.570735",3525,182,259
1505834534,2017-09-19T15:22:14Z,ADB2158,"51.429935,12.582779",3650,187,256
1505834527,2017-09-19T15:22:07Z,ADB2158,"51.431168,12.590555",3700,187,253
1505834519,2017-09-19T15:21:59Z,ADB2158,"51.434589,12.602539",3800,190,236
1505834512,2017-09-19T15:21:52Z,ADB2158,"51.437439,12.609038",3850,191,230
1505834506,2017-09-19T15:21:46Z,ADB2158,"51.440735,12.615509",3925,191,230
1505834500,2017-09-19T15:21:40Z,ADB2158,"51.444271,12.622147",4000,191,231
1505834494,2017-09-19T15:21:34Z,ADB2158,"51.447647,12.628859",4075,191,231
1505834488,2017-09-19T15:21:28Z,ADB2158,"51.451355,12.636504",4150,191,231
1505834482,2017-09-19T15:21:22Z,ADB2158,"51.454094,12.641907",4200,191,230
1505834474,2017-09-19T15:21:14Z,ADB2158,"51.45932,12.651944",4275,192,231
1505834467,2017-09-19T15:21:07Z,ADB2158,"51.462662,12.658844",4325,192,231
1505834459,2017-09-19T15:20:59Z,ADB2158,"51.467926,12.668943",4425,193,231
1505834452,2017-09-19T15:20:52Z,ADB2158,"51.47113,12.675625",4525,192,230
1505834444,2017-09-19T15:20:44Z,ADB2158,"51.476532,12.685794",4700,191,230
1505834438,2017-09-19T15:20:38Z,ADB2158,"51.479645,12.692327",4825,192,231
1505834431,2017-09-19T15:20:31Z,ADB2158,"51.483562,12.699738",4975,193,230
1505834419,2017-09-19T15:20:19Z,ADB2158,"51.489624,12.712072",5225,194,231
1505834407,2017-09-19T15:20:07Z,ADB2158,"51.497623,12.727966",5525,195,231
1505834392,2017-09-19T15:19:52Z,ADB2158,"51.505463,12.743546",5700,201,231
1505834386,2017-09-19T15:19:46Z,ADB2158,"51.50885,12.75045",5775,202,232
1505834380,2017-09-19T15:19:40Z,ADB2158,"51.512566,12.758102",5875,204,233
1505834371,2017-09-19T15:19:31Z,ADB2158,"51.518097,12.769825",5950,210,226
1505834356,2017-09-19T15:19:16Z,ADB2158,"51.529182,12.784653",6075,222,215
1505834344,2017-09-19T15:19:04Z,ADB2158,"51.539238,12.796173",6200,229,215
1505834331,2017-09-19T15:18:51Z,ADB2158,"51.551807,12.810516",6500,232,215
1505834319,2017-09-19T15:18:39Z,ADB2158,"51.560329,12.820358",6675,236,215
1505834307,2017-09-19T15:18:27Z,ADB2158,"51.571884,12.833591",6900,238,216
1505834295,2017-09-19T15:18:15Z,ADB2158,"51.582504,12.846135",7225,236,216
1505834283,2017-09-19T15:18:03Z,ADB2158,"51.593765,12.859348",7450,238,215
1505834271,2017-09-19T15:17:51Z,ADB2158,"51.603016,12.869873",7575,240,215
1505834259,2017-09-19T15:17:39Z,ADB2158,"51.614792,12.883224",7750,241,216
1505834248,2017-09-19T15:17:28Z,ADB2158,"51.625168,12.895277",7900,241,215
1505834232,2017-09-19T15:17:12Z,ADB2158,"51.639046,12.911453",8100,243,215
1505834220,2017-09-19T15:17:00Z,ADB2158,"51.650208,12.924376",8250,245,215
1505834208,2017-09-19T15:16:48Z,ADB2158,"51.661011,12.936921",8425,247,215
1505834196,2017-09-19T15:16:36Z,ADB2158,"51.672775,12.950209",8500,255,215
1505834184,2017-09-19T15:16:24Z,ADB2158,"51.684109,12.963638",8650,258,216
1505834172,2017-09-19T15:16:12Z,ADB2158,"51.695702,12.977371",8800,264,215
1505834160,2017-09-19T15:16:00Z,ADB2158,"51.709763,12.993338",8825,270,215
1505834148,2017-09-19T15:15:48Z,ADB2158,"51.719814,13.005142",8975,275,215
1505834136,2017-09-19T15:15:36Z,ADB2158,"51.733875,13.021393",9250,275,215
1505834124,2017-09-19T15:15:24Z,ADB2158,"51.744553,13.033868",9500,277,216
