Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506223618,2017-09-24T03:26:58Z,ADB2167,"35.749466,140.391571",0,2,149
1506223597,2017-09-24T03:26:37Z,ADB2167,"35.749306,140.39122",0,13,149
1506223577,2017-09-24T03:26:17Z,ADB2167,"35.749058,140.390808",0,15,149
1506223567,2017-09-24T03:26:07Z,ADB2167,"35.74902,140.390518",0,15,149
1506223557,2017-09-24T03:25:57Z,ADB2167,"35.749233,140.390335",0,18,149
1506223541,2017-09-24T03:25:41Z,ADB2167,"35.74963,140.389999",0,18,149
1506223531,2017-09-24T03:25:31Z,ADB2167,"35.749767,140.389648",0,17,149
1506223521,2017-09-24T03:25:21Z,ADB2167,"35.749695,140.389175",0,24,149
1506223511,2017-09-24T03:25:11Z,ADB2167,"35.749744,140.388702",0,24,149
1506223501,2017-09-24T03:25:01Z,ADB2167,"35.750164,140.388351",0,33,149
1506223491,2017-09-24T03:24:51Z,ADB2167,"35.750805,140.387894",0,16,149
1506223481,2017-09-24T03:24:41Z,ADB2167,"35.751492,140.387405",0,17,149
1506223471,2017-09-24T03:24:31Z,ADB2167,"35.752258,140.386841",0,19,149
1506223430,2017-09-24T03:23:50Z,ADB2167,"35.755531,140.384491",0,20,149
1506223385,2017-09-24T03:23:05Z,ADB2167,"35.759033,140.381958",0,19,149
1506223375,2017-09-24T03:22:55Z,ADB2167,"35.75972,140.38147",0,19,149
1506223365,2017-09-24T03:22:45Z,ADB2167,"35.760498,140.380905",0,18,149
1506223355,2017-09-24T03:22:35Z,ADB2167,"35.761208,140.380386",0,18,149
1506223345,2017-09-24T03:22:25Z,ADB2167,"35.76194,140.379868",0,17,149
1506223335,2017-09-24T03:22:15Z,ADB2167,"35.762627,140.379364",0,16,149
1506223320,2017-09-24T03:22:00Z,ADB2167,"35.763588,140.378662",0,15,345
1506223314,2017-09-24T03:21:54Z,ADB2167,"35.76392,140.378433",0,15,345
1506223304,2017-09-24T03:21:44Z,ADB2167,"35.7645,140.378006",0,34,345
1506223294,2017-09-24T03:21:34Z,ADB2167,"35.765106,140.377594",0,32,345
1506223284,2017-09-24T03:21:24Z,ADB2167,"35.765629,140.377213",0,30,345
1506223274,2017-09-24T03:21:14Z,ADB2167,"35.766212,140.376785",0,28,345
1506223259,2017-09-24T03:20:59Z,ADB2167,"35.766819,140.376358",0,26,345
1506223249,2017-09-24T03:20:49Z,ADB2167,"35.767273,140.376038",0,23,345
1506223234,2017-09-24T03:20:34Z,ADB2167,"35.767696,140.375702",0,18,345
1506223219,2017-09-24T03:20:19Z,ADB2167,"35.767937,140.375275",0,18,345
1506223208,2017-09-24T03:20:08Z,ADB2167,"35.76783,140.374924",0,18,345
1506223198,2017-09-24T03:19:58Z,ADB2167,"35.767559,140.374817",0,17,345
1506223188,2017-09-24T03:19:48Z,ADB2167,"35.767284,140.374893",0,18,345
1506223178,2017-09-24T03:19:38Z,ADB2167,"35.766922,140.374985",0,21,345
1506223163,2017-09-24T03:19:23Z,ADB2167,"35.766037,140.375259",0,20,345
1506223143,2017-09-24T03:19:03Z,ADB2167,"35.763256,140.376358",0,47,331
1506223133,2017-09-24T03:18:53Z,ADB2167,"35.761021,140.377975",0,72,329
1506223091,2017-09-24T03:18:11Z,ADB2167,"35.737968,140.394516",225,149,329
1506223081,2017-09-24T03:18:01Z,ADB2167,"35.734379,140.397034",325,149,329
1506223071,2017-09-24T03:17:51Z,ADB2167,"35.728271,140.40155",450,146,330
1506223061,2017-09-24T03:17:41Z,ADB2167,"35.721161,140.406555",575,150,330
1506223051,2017-09-24T03:17:31Z,ADB2167,"35.7155,140.410645",700,152,328
1506223043,2017-09-24T03:17:23Z,ADB2167,"35.710419,140.41449",825,153,328
1506223037,2017-09-24T03:17:17Z,ADB2167,"35.70694,140.417007",900,152,329
1506223026,2017-09-24T03:17:06Z,ADB2167,"35.700939,140.421295",1025,150,330
1506223016,2017-09-24T03:16:56Z,ADB2167,"35.694988,140.425476",1150,155,329
1506223006,2017-09-24T03:16:46Z,ADB2167,"35.688202,140.430283",1275,152,327
1506222996,2017-09-24T03:16:36Z,ADB2167,"35.68248,140.434616",1400,155,327
1506222986,2017-09-24T03:16:26Z,ADB2167,"35.675732,140.439697",1600,158,327
1506222976,2017-09-24T03:16:16Z,ADB2167,"35.66885,140.44458",1775,169,330
1506222965,2017-09-24T03:16:05Z,ADB2167,"35.65897,140.451218",1900,181,331
1506222955,2017-09-24T03:15:55Z,ADB2167,"35.654221,140.454422",2000,181,330
1506222945,2017-09-24T03:15:45Z,ADB2167,"35.647518,140.459412",2125,181,327
1506222935,2017-09-24T03:15:35Z,ADB2167,"35.639927,140.465302",2275,181,328
1506222925,2017-09-24T03:15:25Z,ADB2167,"35.632965,140.470383",2425,183,329
1506222911,2017-09-24T03:15:11Z,ADB2167,"35.621632,140.478378",2700,185,330
1506222901,2017-09-24T03:15:01Z,ADB2167,"35.61446,140.483353",2875,185,331
1506222891,2017-09-24T03:14:51Z,ADB2167,"35.607479,140.4879",3050,186,332
1506222876,2017-09-24T03:14:36Z,ADB2167,"35.594818,140.496033",3325,188,331
1506222866,2017-09-24T03:14:26Z,ADB2167,"35.587742,140.501053",3425,188,328
1506222856,2017-09-24T03:14:16Z,ADB2167,"35.579731,140.507065",3650,193,325
1506222846,2017-09-24T03:14:06Z,ADB2167,"35.572708,140.513275",3825,188,321
1506222836,2017-09-24T03:13:56Z,ADB2167,"35.565899,140.520691",3975,190,314
1506222827,2017-09-24T03:13:47Z,ADB2167,"35.560501,140.528931",4000,195,299
1506222817,2017-09-24T03:13:37Z,ADB2167,"35.55595,140.538406",3975,203,298
1506222811,2017-09-24T03:13:31Z,ADB2167,"35.553429,140.543655",3900,206,298
1506222801,2017-09-24T03:13:21Z,ADB2167,"35.548512,140.554092",3775,216,297
1506222791,2017-09-24T03:13:11Z,ADB2167,"35.54393,140.569046",3850,224,273
1506222781,2017-09-24T03:13:01Z,ADB2167,"35.54398,140.581467",3875,228,266
1506222771,2017-09-24T03:12:51Z,ADB2167,"35.544979,140.592957",3875,234,265
1506222761,2017-09-24T03:12:41Z,ADB2167,"35.54631,140.606064",3975,241,262
1506222747,2017-09-24T03:12:27Z,ADB2167,"35.54892,140.628448",4200,245,262
1506222736,2017-09-24T03:12:16Z,ADB2167,"35.550079,140.638977",4275,245,262
1506222721,2017-09-24T03:12:01Z,ADB2167,"35.552719,140.660583",4500,240,261
1506222711,2017-09-24T03:11:51Z,ADB2167,"35.554691,140.674103",4650,242,262
1506222701,2017-09-24T03:11:41Z,ADB2167,"35.555901,140.687469",4825,242,262
1506222691,2017-09-24T03:11:31Z,ADB2167,"35.55851,140.700745",5025,241,246
1506222677,2017-09-24T03:11:17Z,ADB2167,"35.570339,140.720901",5275,239,231
1506222666,2017-09-24T03:11:06Z,ADB2167,"35.57552,140.728455",5400,238,232
1506222646,2017-09-24T03:10:46Z,ADB2167,"35.59021,140.748703",5750,237,226
1506222636,2017-09-24T03:10:36Z,ADB2167,"35.598221,140.759354",5950,241,228
1506222626,2017-09-24T03:10:26Z,ADB2167,"35.606461,140.769943",6100,242,222
1506222617,2017-09-24T03:10:17Z,ADB2167,"35.614929,140.778046",6250,238,215
1506222611,2017-09-24T03:10:11Z,ADB2167,"35.619308,140.781845",6325,237,215
1506222602,2017-09-24T03:10:02Z,ADB2167,"35.62825,140.789047",6450,239,210
1506222586,2017-09-24T03:09:46Z,ADB2167,"35.645691,140.796997",6700,250,195
1506222571,2017-09-24T03:09:31Z,ADB2167,"35.661949,140.802353",6900,250,195
1506222556,2017-09-24T03:09:16Z,ADB2167,"35.67865,140.807938",7125,251,195
1506222542,2017-09-24T03:09:02Z,ADB2167,"35.698009,140.814163",7375,252,194
1506222522,2017-09-24T03:08:42Z,ADB2167,"35.720181,140.821411",7675,251,195
1506222511,2017-09-24T03:08:31Z,ADB2167,"35.729259,140.824448",7800,252,194
1506222496,2017-09-24T03:08:16Z,ADB2167,"35.746349,140.829956",8000,253,194
1506222481,2017-09-24T03:08:01Z,ADB2167,"35.76334,140.835434",8250,252,194
1506222467,2017-09-24T03:07:47Z,ADB2167,"35.780102,140.840164",8450,246,192
1506222451,2017-09-24T03:07:31Z,ADB2167,"35.79826,140.844955",8675,247,191
1506222441,2017-09-24T03:07:21Z,ADB2167,"35.809799,140.847427",8800,257,187
1506222431,2017-09-24T03:07:11Z,ADB2167,"35.821609,140.849426",8850,259,190
1506222422,2017-09-24T03:07:02Z,ADB2167,"35.83337,140.854401",8875,257,208
1506222411,2017-09-24T03:06:51Z,ADB2167,"35.843719,140.864349",8825,257,231
1506222401,2017-09-24T03:06:41Z,ADB2167,"35.848621,140.87442",8875,253,251
1506222391,2017-09-24T03:06:31Z,ADB2167,"35.851181,140.888794",8900,255,266
1506222376,2017-09-24T03:06:16Z,ADB2167,"35.852921,140.910934",8925,257,266
1506222361,2017-09-24T03:06:01Z,ADB2167,"35.85466,140.933762",9025,256,266
1506222346,2017-09-24T03:05:46Z,ADB2167,"35.856159,140.954712",9125,262,266
1506222331,2017-09-24T03:05:31Z,ADB2167,"35.857891,140.977493",9200,263,266
1506222316,2017-09-24T03:05:16Z,ADB2167,"35.85965,141.000107",9375,264,266
1506222301,2017-09-24T03:05:01Z,ADB2167,"35.861301,141.022797",9600,266,266
1506222286,2017-09-24T03:04:46Z,ADB2167,"35.863098,141.046158",9825,267,266
1506222271,2017-09-24T03:04:31Z,ADB2167,"35.864689,141.067825",10075,268,266
1506222256,2017-09-24T03:04:16Z,ADB2167,"35.86647,141.092255",10350,267,266
1506222241,2017-09-24T03:04:01Z,ADB2167,"35.868031,141.11377",10625,266,266
1506222226,2017-09-24T03:03:46Z,ADB2167,"35.86985,141.138672",10925,265,266
1506222211,2017-09-24T03:03:31Z,ADB2167,"35.871479,141.160416",11225,263,266
1506222196,2017-09-24T03:03:16Z,ADB2167,"35.873112,141.182083",11500,263,266
1506222181,2017-09-24T03:03:01Z,ADB2167,"35.874691,141.204468",11625,269,265
