Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1500202443,2017-07-16T10:54:03Z,ADB577F,"50.866798,7.1396",0,0,263
1500202412,2017-07-16T10:53:32Z,ADB577F,"50.867001,7.1419",0,0,322
1500202400,2017-07-16T10:53:20Z,ADB577F,"50.8666,7.1424",0,0,316
1500202388,2017-07-16T10:53:08Z,ADB577F,"50.8657,7.1438",0,0,318
1500202357,2017-07-16T10:52:37Z,ADB577F,"50.8633,7.1473",0,0,224
1500202237,2017-07-16T10:50:37Z,ADB577F,"50.867001,7.1487",0,125,49
1500202214,2017-07-16T10:50:14Z,ADB577F,"50.871899,7.1415",0,125,49
1500202171,2017-07-16T10:49:31Z,ADB577F,"50.890701,7.1142",225,125,136
1500202165,2017-07-16T10:49:25Z,ADB577F,"50.891701,7.1131",250,127,138
1500202159,2017-07-16T10:49:19Z,ADB577F,"50.894199,7.1091",300,128,138
1500202153,2017-07-16T10:49:13Z,ADB577F,"50.897301,7.1049",375,128,138
1500202147,2017-07-16T10:49:07Z,ADB577F,"50.8997,7.1013",425,128,138
1500202134,2017-07-16T10:48:54Z,ADB577F,"50.905399,7.0933",550,131,137
1500202128,2017-07-16T10:48:48Z,ADB577F,"50.9086,7.0887",625,137,136
1500202122,2017-07-16T10:48:42Z,ADB577F,"50.9109,7.0851",675,141,136
1500202116,2017-07-16T10:48:36Z,ADB577F,"50.913898,7.0805",775,142,136
1500202105,2017-07-16T10:48:25Z,ADB577F,"50.918999,7.0734",950,143,138
1500202099,2017-07-16T10:48:19Z,ADB577F,"50.922298,7.0685",1100,140,138
1500202093,2017-07-16T10:48:13Z,ADB577F,"50.9245,7.0654",1200,140,138
1500202087,2017-07-16T10:48:07Z,ADB577F,"50.928101,7.0606",1250,149,138
1500202072,2017-07-16T10:47:52Z,ADB577F,"50.934429,7.05109",1400,160,136
1500202062,2017-07-16T10:47:42Z,ADB577F,"50.93948,7.04365",1600,162,137
1500202056,2017-07-16T10:47:36Z,ADB577F,"50.941959,7.03994",1700,165,137
1500202042,2017-07-16T10:47:22Z,ADB577F,"50.951328,7.0266",1975,173,138
1500202036,2017-07-16T10:47:16Z,ADB577F,"50.953979,7.02309",2050,177,138
1500202027,2017-07-16T10:47:07Z,ADB577F,"50.959518,7.01485",2200,180,137
1500202017,2017-07-16T10:46:57Z,ADB577F,"50.966541,7.00445",2350,185,136
1500202011,2017-07-16T10:46:51Z,ADB577F,"50.968971,7.00073",2400,186,135
1500202002,2017-07-16T10:46:42Z,ADB577F,"50.97517,6.9915",2525,192,136
1500201992,2017-07-16T10:46:32Z,ADB577F,"50.982101,6.9812",2625,197,137
1500201982,2017-07-16T10:46:22Z,ADB577F,"50.988461,6.97209",2725,198,138
1500201967,2017-07-16T10:46:07Z,ADB577F,"50.99844,6.95755",2725,201,137
1500201957,2017-07-16T10:45:57Z,ADB577F,"51.005329,6.94756",2725,202,137
1500201947,2017-07-16T10:45:47Z,ADB577F,"51.012821,6.93705",2700,202,141
1500201937,2017-07-16T10:45:37Z,ADB577F,"51.020458,6.92985",2725,200,161
1500201927,2017-07-16T10:45:27Z,ADB577F,"51.03035,6.92799",2700,195,195
1500201918,2017-07-16T10:45:18Z,ADB577F,"51.040989,6.93504",2700,192,220
1500201907,2017-07-16T10:45:07Z,ADB577F,"51.045551,6.94351",2725,191,238
1500201897,2017-07-16T10:44:57Z,ADB577F,"51.048889,6.95271",2725,191,240
1500201887,2017-07-16T10:44:47Z,ADB577F,"51.053791,6.96671",2725,192,240
1500201877,2017-07-16T10:44:37Z,ADB577F,"51.057819,6.9781",2725,193,239
1500201871,2017-07-16T10:44:31Z,ADB577F,"51.060921,6.98555",2725,195,234
