Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1500335298,2017-07-17T23:48:18Z,ADB5577,"31.778374,36.815521",4925,216,113
1500335112,2017-07-17T23:45:12Z,ADB5577,"31.824234,36.474281",7075,259,95
1500334951,2017-07-17T23:42:31Z,ADB5577,"31.832428,36.34129",9350,293,93
1500334942,2017-07-17T23:42:22Z,ADB5577,"31.833069,36.330303",9525,293,93
1500334918,2017-07-17T23:41:58Z,ADB5577,"31.8354,36.291821",10175,292,93
1500334906,2017-07-17T23:41:46Z,ADB5577,"31.836502,36.272572",10500,291,93
1500334889,2017-07-17T23:41:29Z,ADB5577,"31.838104,36.244774",10950,291,93
1500334877,2017-07-17T23:41:17Z,ADB5577,"31.83917,36.226578",11200,292,94
1500334846,2017-07-17T23:40:46Z,ADB5577,"31.842337,36.177643",11600,303,93
1500334806,2017-07-17T23:40:06Z,ADB5577,"31.846386,36.10651",11700,335,93
1500334797,2017-07-17T23:39:57Z,ADB5577,"31.847214,36.092449",11850,336,93
1500334764,2017-07-17T23:39:24Z,ADB5577,"31.851042,36.030392",12600,339,93
1500334733,2017-07-17T23:38:53Z,ADB5577,"31.854355,35.974842",13375,340,94
1500334700,2017-07-17T23:38:20Z,ADB5577,"31.858351,35.911449",14000,349,94
1500334666,2017-07-17T23:37:46Z,ADB5577,"31.86232,35.847511",14725,356,94
1500334660,2017-07-17T23:37:40Z,ADB5577,"31.86319,35.834984",14900,356,94
1500334654,2017-07-17T23:37:34Z,ADB5577,"31.864029,35.823051",15025,357,95
1500334647,2017-07-17T23:37:27Z,ADB5577,"31.865341,35.811089",15125,358,100
1500334629,2017-07-17T23:37:09Z,ADB5577,"31.874451,35.777691",15575,357,112
1500334596,2017-07-17T23:36:36Z,ADB5577,"31.895325,35.717598",16425,361,112
1500334560,2017-07-17T23:36:00Z,ADB5577,"31.918167,35.650745",17350,366,109
1500334553,2017-07-17T23:35:53Z,ADB5577,"31.9216,35.639427",17500,366,108
1500334547,2017-07-17T23:35:47Z,ADB5577,"31.924988,35.627892",17650,368,107
1500334526,2017-07-17T23:35:26Z,ADB5577,"31.932404,35.585102",18075,377,95
1500334520,2017-07-17T23:35:20Z,ADB5577,"31.933346,35.571545",18225,379,96
1500334514,2017-07-17T23:35:14Z,ADB5577,"31.934464,35.560783",18325,381,97
1500334508,2017-07-17T23:35:08Z,ADB5577,"31.936092,35.548004",18450,382,100
1500334500,2017-07-17T23:35:00Z,ADB5577,"31.939453,35.529289",18650,384,104
1500334493,2017-07-17T23:34:53Z,ADB5577,"31.942329,35.51762",18725,386,107
1500334487,2017-07-17T23:34:47Z,ADB5577,"31.94577,35.50523",18850,387,111
1500334480,2017-07-17T23:34:40Z,ADB5577,"31.950302,35.493034",18975,388,116
1500334456,2017-07-17T23:34:16Z,ADB5577,"31.974823,35.450527",19500,392,127
1500334395,2017-07-17T23:33:15Z,ADB5577,"32.042789,35.345261",21175,399,127
1500334334,2017-07-17T23:32:14Z,ADB5577,"32.112076,35.237602",22875,409,126
1500334273,2017-07-17T23:31:13Z,ADB5577,"32.1824,35.127605",24725,417,127
1500334211,2017-07-17T23:30:11Z,ADB5577,"32.253937,35.01601",26800,420,127
1500334150,2017-07-17T23:29:10Z,ADB5577,"32.327038,34.901268",27900,437,126
1500334089,2017-07-17T23:28:09Z,ADB5577,"32.401337,34.784229",29300,441,126
1500334028,2017-07-17T23:27:08Z,ADB5577,"32.477169,34.664333",30300,444,126
1500333967,2017-07-17T23:26:07Z,ADB5577,"32.553795,34.543259",30950,443,126
1500333903,2017-07-17T23:25:03Z,ADB5577,"32.632328,34.418037",30975,441,126
1500333840,2017-07-17T23:24:00Z,ADB5577,"32.708038,34.297722",30950,442,126
1500333777,2017-07-17T23:22:57Z,ADB5577,"32.785126,34.174294",30925,442,126
1500333716,2017-07-17T23:21:56Z,ADB5577,"32.857864,34.057289",30950,441,126
1500333653,2017-07-17T23:20:53Z,ADB5577,"32.934917,33.933292",30950,441,126
