Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1500886413,2017-07-24T08:53:33Z,ADB570F,"46.851604,1.715361",0,30,210
1500886403,2017-07-24T08:53:23Z,ADB570F,"46.850864,1.715542",0,30,210
1500886391,2017-07-24T08:53:11Z,ADB570F,"46.850578,1.716212",0,30,210
1500886382,2017-07-24T08:53:02Z,ADB570F,"46.8503,1.716854",0,30,210
1500886366,2017-07-24T08:52:46Z,ADB570F,"46.849941,1.717987",0,29,210
1500886357,2017-07-24T08:52:37Z,ADB570F,"46.850201,1.718657",0,32,210
1500886242,2017-07-24T08:50:42Z,ADB570F,"46.885666,1.752594",675,152,212
1500886230,2017-07-24T08:50:30Z,ADB570F,"46.893093,1.759573",825,153,213
1500886219,2017-07-24T08:50:19Z,ADB570F,"46.90004,1.766258",950,153,213
1500886212,2017-07-24T08:50:12Z,ADB570F,"46.903381,1.769485",1000,152,213
1500886206,2017-07-24T08:50:06Z,ADB570F,"46.907043,1.77285",1075,150,213
1500886197,2017-07-24T08:49:57Z,ADB570F,"46.912262,1.778",1200,148,213
1500886191,2017-07-24T08:49:51Z,ADB570F,"46.91539,1.781053",1275,148,213
1500886185,2017-07-24T08:49:45Z,ADB570F,"46.919117,1.784644",1350,150,213
1500886179,2017-07-24T08:49:39Z,ADB570F,"46.922283,1.787532",1450,150,213
1500886170,2017-07-24T08:49:30Z,ADB570F,"46.927368,1.792625",1625,150,213
1500886164,2017-07-24T08:49:24Z,ADB570F,"46.931454,1.796406",1750,151,213
1500886158,2017-07-24T08:49:18Z,ADB570F,"46.934418,1.799355",1850,151,213
1500886094,2017-07-24T08:48:14Z,ADB570F,"46.975349,1.838449",2725,185,212
1500886085,2017-07-24T08:48:05Z,ADB570F,"46.98159,1.844647",2800,185,212
1500886076,2017-07-24T08:47:56Z,ADB570F,"46.989269,1.851901",2900,189,213
1500886068,2017-07-24T08:47:48Z,ADB570F,"46.996078,1.858337",3025,189,213
1500886058,2017-07-24T08:47:38Z,ADB570F,"47.001469,1.863521",3150,190,213
1500886051,2017-07-24T08:47:31Z,ADB570F,"47.006149,1.868225",3275,191,213
1500886043,2017-07-24T08:47:23Z,ADB570F,"47.01178,1.873787",3425,191,213
1500886034,2017-07-24T08:47:14Z,ADB570F,"47.019436,1.881057",3625,191,213
1500886027,2017-07-24T08:47:07Z,ADB570F,"47.022789,1.884437",3700,192,213
1500886019,2017-07-24T08:46:59Z,ADB570F,"47.029816,1.891022",3850,195,213
1500886010,2017-07-24T08:46:50Z,ADB570F,"47.036728,1.897888",3975,198,213
1500886003,2017-07-24T08:46:43Z,ADB570F,"47.04245,1.903381",4100,199,213
1500885995,2017-07-24T08:46:35Z,ADB570F,"47.048264,1.908806",4200,204,213
1500885988,2017-07-24T08:46:28Z,ADB570F,"47.053139,1.913663",4175,210,213
1500885982,2017-07-24T08:46:22Z,ADB570F,"47.058167,1.918311",4175,217,213
1500885976,2017-07-24T08:46:16Z,ADB570F,"47.063919,1.923981",4200,222,213
1500885970,2017-07-24T08:46:10Z,ADB570F,"47.068783,1.928664",4250,225,213
1500885964,2017-07-24T08:46:04Z,ADB570F,"47.073624,1.933312",4275,231,213
1500885958,2017-07-24T08:45:58Z,ADB570F,"47.080002,1.939298",4300,236,213
1500885952,2017-07-24T08:45:52Z,ADB570F,"47.086578,1.945747",4350,240,212
1500885946,2017-07-24T08:45:46Z,ADB570F,"47.090847,1.949651",4400,244,213
1500885940,2017-07-24T08:45:40Z,ADB570F,"47.096329,1.95488",4450,247,213
1500885934,2017-07-24T08:45:34Z,ADB570F,"47.102188,1.960854",4550,247,214
1500885926,2017-07-24T08:45:26Z,ADB570F,"47.110493,1.968947",4700,249,214
1500885919,2017-07-24T08:45:19Z,ADB570F,"47.116241,1.974861",4825,251,214
1500885913,2017-07-24T08:45:13Z,ADB570F,"47.122559,1.981041",4975,249,214
1500885901,2017-07-24T08:45:01Z,ADB570F,"47.133442,1.992258",5050,254,214
1500885889,2017-07-24T08:44:49Z,ADB570F,"47.145264,2.003906",5125,259,214
1500885878,2017-07-24T08:44:38Z,ADB570F,"47.157669,2.016678",5225,262,214
1500885862,2017-07-24T08:44:22Z,ADB570F,"47.172638,2.031837",5375,269,214
1500885850,2017-07-24T08:44:10Z,ADB570F,"47.185116,2.044302",5525,274,214
1500885827,2017-07-24T08:43:47Z,ADB570F,"47.209213,2.068794",6125,275,214
1500885815,2017-07-24T08:43:35Z,ADB570F,"47.223175,2.08287",6500,279,214
1500885803,2017-07-24T08:43:23Z,ADB570F,"47.235214,2.095161",6925,281,214
1500885791,2017-07-24T08:43:11Z,ADB570F,"47.247986,2.108208",7350,284,214
