Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1501176357,2017-07-27T17:25:57Z,ADB5573,"43.366791,-0.393592",800,152,305
1501176248,2017-07-27T17:24:08Z,ADB5573,"43.323441,-0.309406",2025,171,301
1501176242,2017-07-27T17:24:02Z,ADB5573,"43.320694,-0.303785",2150,173,302
1501176236,2017-07-27T17:23:56Z,ADB5573,"43.318207,-0.29807",2300,177,302
1501176230,2017-07-27T17:23:50Z,ADB5573,"43.315414,-0.292249",2425,178,301
1501176221,2017-07-27T17:23:41Z,ADB5573,"43.311768,-0.283537",2625,178,297
1501176212,2017-07-27T17:23:32Z,ADB5573,"43.308712,-0.274527",2775,179,296
1501176206,2017-07-27T17:23:26Z,ADB5573,"43.306274,-0.268079",2850,174,299
1501176200,2017-07-27T17:23:20Z,ADB5573,"43.303665,-0.262522",2925,172,307
1501176194,2017-07-27T17:23:14Z,ADB5573,"43.300552,-0.257476",2950,176,313
1501176188,2017-07-27T17:23:08Z,ADB5573,"43.297073,-0.253005",2975,180,316
1501176176,2017-07-27T17:22:56Z,ADB5573,"43.289566,-0.242977",3025,185,315
1501176169,2017-07-27T17:22:49Z,ADB5573,"43.285946,-0.238168",3050,188,315
1501176163,2017-07-27T17:22:43Z,ADB5573,"43.282104,-0.232821",3100,189,313
1501176155,2017-07-27T17:22:35Z,ADB5573,"43.27739,-0.224517",3275,185,299
1501176148,2017-07-27T17:22:28Z,ADB5573,"43.275284,-0.218257",3350,184,287
1501176140,2017-07-27T17:22:20Z,ADB5573,"43.274075,-0.207563",3400,187,270
1501176131,2017-07-27T17:22:11Z,ADB5573,"43.274357,-0.196969",3475,189,266
1501176125,2017-07-27T17:22:05Z,ADB5573,"43.274643,-0.190025",3550,189,266
1501176116,2017-07-27T17:21:56Z,ADB5573,"43.275101,-0.179182",3575,193,266
1501176109,2017-07-27T17:21:49Z,ADB5573,"43.275421,-0.171821",3600,195,266
1501176101,2017-07-27T17:21:41Z,ADB5573,"43.275936,-0.16074",3750,193,266
1501176092,2017-07-27T17:21:32Z,ADB5573,"43.276543,-0.149166",3925,191,266
1501176083,2017-07-27T17:21:23Z,ADB5573,"43.277069,-0.138862",4100,188,265
1501176077,2017-07-27T17:21:17Z,ADB5573,"43.277519,-0.131444",4250,188,265
1501176071,2017-07-27T17:21:11Z,ADB5573,"43.277939,-0.124427",4375,189,265
1501176059,2017-07-27T17:20:59Z,ADB5573,"43.278732,-0.109798",4625,191,266
1501176053,2017-07-27T17:20:53Z,ADB5573,"43.279175,-0.102262",4750,191,265
1501176040,2017-07-27T17:20:40Z,ADB5573,"43.279999,-0.087763",5050,191,265
1501176028,2017-07-27T17:20:28Z,ADB5573,"43.280827,-0.073242",5250,194,265
1501176016,2017-07-27T17:20:16Z,ADB5573,"43.281693,-0.057998",5475,195,265
1501176005,2017-07-27T17:20:05Z,ADB5573,"43.282471,-0.04337",5800,190,266
1501175992,2017-07-27T17:19:52Z,ADB5573,"43.283386,-0.028935",5875,197,265
1501175980,2017-07-27T17:19:40Z,ADB5573,"43.283936,-0.013541",5900,208,267
1501175965,2017-07-27T17:19:25Z,ADB5573,"43.284668,0.006515",5975,221,267
1501175932,2017-07-27T17:18:52Z,ADB5573,"43.2854,0.055507",6400,235,270
1501175921,2017-07-27T17:18:41Z,ADB5573,"43.284924,0.073896",6425,243,271
1501175908,2017-07-27T17:18:28Z,ADB5573,"43.284317,0.092403",6525,247,275
1501175893,2017-07-27T17:18:13Z,ADB5573,"43.28199,0.115749",6625,255,280
1501175887,2017-07-27T17:18:07Z,ADB5573,"43.280685,0.125558",6725,257,278
1501175863,2017-07-27T17:17:43Z,ADB5573,"43.27803,0.164923",7175,260,264
1501175857,2017-07-27T17:17:37Z,ADB5573,"43.279243,0.1748",7300,259,255
1501175845,2017-07-27T17:17:25Z,ADB5573,"43.28376,0.193765",7525,260,250
1501175827,2017-07-27T17:17:07Z,ADB5573,"43.291077,0.221834",7925,258,249
1501175816,2017-07-27T17:16:56Z,ADB5573,"43.296021,0.239655",8150,259,249
1501175795,2017-07-27T17:16:35Z,ADB5573,"43.304661,0.272435",8725,259,251
1501175782,2017-07-27T17:16:22Z,ADB5573,"43.309315,0.291007",9050,258,250
1501175770,2017-07-27T17:16:10Z,ADB5573,"43.31424,0.309597",9225,263,250
1501175758,2017-07-27T17:15:58Z,ADB5573,"43.318954,0.328696",9400,269,250
1501175746,2017-07-27T17:15:46Z,ADB5573,"43.324127,0.348113",9625,273,249
1501175735,2017-07-27T17:15:35Z,ADB5573,"43.329426,0.368042",9925,277,248
1501175722,2017-07-27T17:15:22Z,ADB5573,"43.335388,0.388035",10300,279,247
1501175710,2017-07-27T17:15:10Z,ADB5573,"43.341389,0.407344",10650,280,247
1501175699,2017-07-27T17:14:59Z,ADB5573,"43.347839,0.427573",10975,284,246
1501175665,2017-07-27T17:14:25Z,ADB5573,"43.364319,0.482121",12200,286,248
1501175659,2017-07-27T17:14:19Z,ADB5573,"43.367706,0.493107",12475,286,248
1501175653,2017-07-27T17:14:13Z,ADB5573,"43.370224,0.502433",12725,288,249
1501175647,2017-07-27T17:14:07Z,ADB5573,"43.373428,0.513611",13000,289,250
1501175629,2017-07-27T17:13:49Z,ADB5573,"43.379059,0.54542",13825,289,261
1501175596,2017-07-27T17:13:16Z,ADB5573,"43.386658,0.606164",15275,295,257
1501175563,2017-07-27T17:12:43Z,ADB5573,"43.396362,0.666781",16700,302,258
1501175557,2017-07-27T17:12:37Z,ADB5573,"43.397953,0.677883",16875,304,259
1501175551,2017-07-27T17:12:31Z,ADB5573,"43.399487,0.689196",17100,304,259
1501175545,2017-07-27T17:12:25Z,ADB5573,"43.400932,0.700967",17325,305,261
1501175506,2017-07-27T17:11:46Z,ADB5573,"43.401398,0.776772",18525,310,271
1501175443,2017-07-27T17:10:43Z,ADB5573,"43.398468,0.904009",20225,325,271
1501175380,2017-07-27T17:09:40Z,ADB5573,"43.395172,1.0361",22450,336,272
1501175316,2017-07-27T17:08:36Z,ADB5573,"43.391602,1.173876",24650,350,271
1501175254,2017-07-27T17:07:34Z,ADB5573,"43.387711,1.315482",27200,350,272
