Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1501493077,2017-07-31T09:24:37Z,ADB5575,"46.860638,1.723062",0,11,225
1501493053,2017-07-31T09:24:13Z,ADB5575,"46.860474,1.722725",0,13,225
1501493017,2017-07-31T09:23:37Z,ADB5575,"46.859646,1.721849",0,18,225
1501493008,2017-07-31T09:23:28Z,ADB5575,"46.859402,1.721695",0,16,225
1501492975,2017-07-31T09:22:55Z,ADB5575,"46.858528,1.722107",0,21,225
1501492969,2017-07-31T09:22:49Z,ADB5575,"46.858261,1.722158",0,23,225
1501492960,2017-07-31T09:22:40Z,ADB5575,"46.857853,1.721798",0,30,225
1501492954,2017-07-31T09:22:34Z,ADB5575,"46.857651,1.721504",0,29,225
1501492945,2017-07-31T09:22:25Z,ADB5575,"46.857319,1.720985",0,27,225
1501492888,2017-07-31T09:21:28Z,ADB5575,"46.855339,1.722536",0,24,225
1501492882,2017-07-31T09:21:22Z,ADB5575,"46.85527,1.722961",0,25,225
1501492876,2017-07-31T09:21:16Z,ADB5575,"46.855328,1.723363",0,29,225
1501492870,2017-07-31T09:21:10Z,ADB5575,"46.855713,1.723875",0,29,216
1501492864,2017-07-31T09:21:04Z,ADB5575,"46.856667,1.724802",0,50,213
1501492804,2017-07-31T09:20:04Z,ADB5575,"46.885483,1.752319",725,155,212
1501492798,2017-07-31T09:19:58Z,ADB5575,"46.889507,1.756122",825,157,212
1501492777,2017-07-31T09:19:37Z,ADB5575,"46.900818,1.766876",1050,155,213
1501492771,2017-07-31T09:19:31Z,ADB5575,"46.90501,1.7707",1125,156,213
1501492762,2017-07-31T09:19:22Z,ADB5575,"46.910736,1.776334",1250,158,213
1501492756,2017-07-31T09:19:16Z,ADB5575,"46.913864,1.779305",1300,158,213
1501492750,2017-07-31T09:19:10Z,ADB5575,"46.917801,1.783081",1400,157,213
1501492744,2017-07-31T09:19:04Z,ADB5575,"46.921005,1.786102",1475,157,212
1501492738,2017-07-31T09:18:58Z,ADB5575,"46.926636,1.791252",1600,158,213
1501492732,2017-07-31T09:18:52Z,ADB5575,"46.928879,1.793655",1650,158,213
1501492726,2017-07-31T09:18:46Z,ADB5575,"46.932198,1.796898",1675,158,214
1501492720,2017-07-31T09:18:40Z,ADB5575,"46.936066,1.800522",1725,156,213
1501492714,2017-07-31T09:18:34Z,ADB5575,"46.939636,1.804024",1775,155,213
1501492708,2017-07-31T09:18:28Z,ADB5575,"46.943275,1.807533",1850,157,213
1501492702,2017-07-31T09:18:22Z,ADB5575,"46.947006,1.811096",1925,160,212
1501492696,2017-07-31T09:18:16Z,ADB5575,"46.950584,1.814646",2025,161,212
1501492690,2017-07-31T09:18:10Z,ADB5575,"46.954468,1.818237",2125,161,212
1501492684,2017-07-31T09:18:04Z,ADB5575,"46.958221,1.821533",2225,162,212
1501492678,2017-07-31T09:17:58Z,ADB5575,"46.962177,1.825209",2325,162,212
1501492672,2017-07-31T09:17:52Z,ADB5575,"46.966095,1.82888",2450,163,213
1501492666,2017-07-31T09:17:46Z,ADB5575,"46.969719,1.832322",2550,163,213
1501492660,2017-07-31T09:17:40Z,ADB5575,"46.973629,1.836337",2675,164,213
1501492654,2017-07-31T09:17:34Z,ADB5575,"46.977398,1.839858",2775,165,213
1501492648,2017-07-31T09:17:28Z,ADB5575,"46.981216,1.843731",2900,165,213
1501492642,2017-07-31T09:17:22Z,ADB5575,"46.985081,1.847393",2875,173,213
1501492636,2017-07-31T09:17:16Z,ADB5575,"46.989441,1.85154",2825,185,213
1501492630,2017-07-31T09:17:10Z,ADB5575,"46.993744,1.855659",2850,189,213
1501492624,2017-07-31T09:17:04Z,ADB5575,"46.998394,1.86007",2850,195,212
1501492618,2017-07-31T09:16:58Z,ADB5575,"47.002716,1.864311",2875,198,212
1501492612,2017-07-31T09:16:52Z,ADB5575,"47.007519,1.868873",2900,203,213
1501492606,2017-07-31T09:16:46Z,ADB5575,"47.012192,1.873238",2925,206,212
1501492600,2017-07-31T09:16:40Z,ADB5575,"47.016781,1.877747",2975,206,212
