Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1502464203,2017-08-11T15:10:03Z,ADB5582,"46.896194,1.762276",750,140,215
1502464197,2017-08-11T15:09:57Z,ADB5582,"46.900177,1.766121",825,139,215
1502464191,2017-08-11T15:09:51Z,ADB5582,"46.902309,1.768517",875,137,215
1502464185,2017-08-11T15:09:45Z,ADB5582,"46.904892,1.771133",900,137,215
1502464179,2017-08-11T15:09:39Z,ADB5582,"46.908463,1.774841",1000,139,213
1502464173,2017-08-11T15:09:33Z,ADB5582,"46.911945,1.778236",1050,140,213
1502464167,2017-08-11T15:09:27Z,ADB5582,"46.914688,1.780884",1125,141,212
1502464161,2017-08-11T15:09:21Z,ADB5582,"46.917767,1.783729",1175,145,212
1502464155,2017-08-11T15:09:15Z,ADB5582,"46.921967,1.787544",1275,150,213
1502464149,2017-08-11T15:09:09Z,ADB5582,"46.924889,1.790349",1350,151,213
1502464143,2017-08-11T15:09:03Z,ADB5582,"46.928707,1.794152",1450,156,212
1502464137,2017-08-11T15:08:57Z,ADB5582,"46.932102,1.797321",1500,157,213
1502464131,2017-08-11T15:08:51Z,ADB5582,"46.935883,1.801003",1625,158,213
1502464125,2017-08-11T15:08:45Z,ADB5582,"46.939228,1.804363",1725,158,213
1502464119,2017-08-11T15:08:39Z,ADB5582,"46.943024,1.808006",1825,159,212
1502464113,2017-08-11T15:08:33Z,ADB5582,"46.947094,1.811688",1900,161,213
1502464107,2017-08-11T15:08:27Z,ADB5582,"46.950806,1.815422",2000,163,213
1502464101,2017-08-11T15:08:21Z,ADB5582,"46.954449,1.818942",2100,164,213
1502464095,2017-08-11T15:08:15Z,ADB5582,"46.958405,1.822701",2200,164,213
1502464083,2017-08-11T15:08:03Z,ADB5582,"46.966049,1.829979",2400,165,213
1502464077,2017-08-11T15:07:57Z,ADB5582,"46.96981,1.833801",2500,167,213
1502464071,2017-08-11T15:07:51Z,ADB5582,"46.973721,1.837675",2575,169,214
1502464063,2017-08-11T15:07:43Z,ADB5582,"46.979874,1.843781",2750,172,214
1502464053,2017-08-11T15:07:33Z,ADB5582,"46.985825,1.849506",2775,179,213
1502464047,2017-08-11T15:07:27Z,ADB5582,"46.98999,1.853737",2775,183,214
1502464041,2017-08-11T15:07:21Z,ADB5582,"46.994385,1.857925",2775,186,214
1502464035,2017-08-11T15:07:15Z,ADB5582,"46.998734,1.86232",2775,188,214
1502464029,2017-08-11T15:07:09Z,ADB5582,"47.003002,1.866619",2775,191,214
1502464023,2017-08-11T15:07:03Z,ADB5582,"47.007385,1.871246",2800,193,214
1502464017,2017-08-11T15:06:57Z,ADB5582,"47.011734,1.875229",2800,193,212
1502464011,2017-08-11T15:06:51Z,ADB5582,"47.016449,1.879555",2800,194,208
1502464000,2017-08-11T15:06:40Z,ADB5582,"47.02652,1.88546",2800,199,192
1502463977,2017-08-11T15:06:17Z,ADB5582,"47.048065,1.88331",2825,207,154
1502463969,2017-08-11T15:06:09Z,ADB5582,"47.055,1.877747",2800,211,140
1502463962,2017-08-11T15:06:02Z,ADB5582,"47.059937,1.871864",2800,212,133
1502463956,2017-08-11T15:05:56Z,ADB5582,"47.063507,1.865341",2800,210,122
1502463950,2017-08-11T15:05:50Z,ADB5582,"47.066452,1.857746",2825,208,112
1502463927,2017-08-11T15:05:27Z,ADB5582,"47.070038,1.826477",2800,200,80
1502463920,2017-08-11T15:05:20Z,ADB5582,"47.069,1.817276",2800,197,73
1502463911,2017-08-11T15:05:11Z,ADB5582,"47.066162,1.805603",2750,192,63
1502463903,2017-08-11T15:05:03Z,ADB5582,"47.061676,1.794617",2750,184,52
1502463887,2017-08-11T15:04:47Z,ADB5582,"47.054489,1.782532",2725,186,40
1502463881,2017-08-11T15:04:41Z,ADB5582,"47.04937,1.776053",2700,187,37
1502463875,2017-08-11T15:04:35Z,ADB5582,"47.044373,1.770653",2650,201,35
1502463869,2017-08-11T15:04:29Z,ADB5582,"47.040253,1.766396",2600,201,35
1502463863,2017-08-11T15:04:23Z,ADB5582,"47.036865,1.762894",2575,207,34
1502463792,2017-08-11T15:03:12Z,ADB5582,"46.972412,1.708786",2800,237,356
1502463780,2017-08-11T15:03:00Z,ADB5582,"46.957008,1.70936",2825,236,355
1502463771,2017-08-11T15:02:51Z,ADB5582,"46.946228,1.710777",2825,233,355
1502463764,2017-08-11T15:02:44Z,ADB5582,"46.940781,1.711464",2800,232,355
1502463755,2017-08-11T15:02:35Z,ADB5582,"46.931259,1.712563",2800,230,355
1502463747,2017-08-11T15:02:27Z,ADB5582,"46.922562,1.713656",2825,226,355
1502463741,2017-08-11T15:02:21Z,ADB5582,"46.916275,1.71436",2800,224,355
1502463731,2017-08-11T15:02:11Z,ADB5582,"46.906265,1.715584",2775,223,355
1502463723,2017-08-11T15:02:03Z,ADB5582,"46.897842,1.716684",2800,221,355
1502463716,2017-08-11T15:01:56Z,ADB5582,"46.892254,1.717318",2775,221,355
1502463708,2017-08-11T15:01:48Z,ADB5582,"46.882645,1.718536",2775,221,354
1502463696,2017-08-11T15:01:36Z,ADB5582,"46.870098,1.720135",2775,224,355
1502463687,2017-08-11T15:01:27Z,ADB5582,"46.860832,1.721352",2775,225,355
1502463681,2017-08-11T15:01:21Z,ADB5582,"46.853668,1.722241",2800,226,355
1502463671,2017-08-11T15:01:11Z,ADB5582,"46.8452,1.723246",2800,227,355
1502463663,2017-08-11T15:01:03Z,ADB5582,"46.835861,1.724385",2775,228,355
1502463641,2017-08-11T15:00:41Z,ADB5582,"46.812561,1.727332",2800,229,355
1502463635,2017-08-11T15:00:35Z,ADB5582,"46.806061,1.728069",2800,229,355
1502463629,2017-08-11T15:00:29Z,ADB5582,"46.800888,1.728739",2775,229,354
1502463623,2017-08-11T15:00:23Z,ADB5582,"46.794449,1.729523",2775,228,354
