Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1502907305,2017-08-16T18:15:05Z,ADB5578,"32.845467,-106.12925",0,31,227
1502907299,2017-08-16T18:14:59Z,ADB5578,"32.845398,-106.129654",0,30,227
1502907293,2017-08-16T18:14:53Z,ADB5578,"32.845379,-106.130028",0,28,227
1502907287,2017-08-16T18:14:47Z,ADB5578,"32.845409,-106.130409",0,26,227
1502907281,2017-08-16T18:14:41Z,ADB5578,"32.845501,-106.13073",0,24,227
1502907275,2017-08-16T18:14:35Z,ADB5578,"32.845619,-106.130974",0,18,227
1502907263,2017-08-16T18:14:23Z,ADB5578,"32.845791,-106.131226",0,13,227
1502907245,2017-08-16T18:14:05Z,ADB5578,"32.84602,-106.131485",0,15,227
1502907237,2017-08-16T18:13:57Z,ADB5578,"32.846237,-106.131737",0,24,227
1502907230,2017-08-16T18:13:50Z,ADB5578,"32.846478,-106.131981",0,29,227
1502907224,2017-08-16T18:13:44Z,ADB5578,"32.846806,-106.132095",0,28,227
1502907218,2017-08-16T18:13:38Z,ADB5578,"32.847118,-106.132004",0,29,227
1502907212,2017-08-16T18:13:32Z,ADB5578,"32.847374,-106.131744",0,30,227
1502907206,2017-08-16T18:13:26Z,ADB5578,"32.847618,-106.131409",0,34,227
1502907200,2017-08-16T18:13:20Z,ADB5578,"32.847912,-106.131012",0,18,227
1502907194,2017-08-16T18:13:14Z,ADB5578,"32.848263,-106.130539",0,21,227
1502907188,2017-08-16T18:13:08Z,ADB5578,"32.848686,-106.12999",0,22,227
1502907182,2017-08-16T18:13:02Z,ADB5578,"32.849121,-106.12944",0,21,227
1502907176,2017-08-16T18:12:56Z,ADB5578,"32.849495,-106.128922",0,21,230
1502907170,2017-08-16T18:12:50Z,ADB5578,"32.850002,-106.12822",0,33,227
1502907164,2017-08-16T18:12:44Z,ADB5578,"32.850681,-106.127289",0,44,230
1502907158,2017-08-16T18:12:38Z,ADB5578,"32.851635,-106.126007",0,59,226
1502907152,2017-08-16T18:12:32Z,ADB5578,"32.852978,-106.124252",0,82,226
1502907145,2017-08-16T18:12:25Z,ADB5578,"32.854889,-106.121986",0,105,226
1502907137,2017-08-16T18:12:17Z,ADB5578,"32.858223,-106.117393",0,140,226
1502907130,2017-08-16T18:12:10Z,ADB5578,"32.861084,-106.113693",3900,153,227
1502907122,2017-08-16T18:12:02Z,ADB5578,"32.865368,-106.1082",3950,157,227
1502907113,2017-08-16T18:11:53Z,ADB5578,"32.869995,-106.102386",4075,154,228
1502907104,2017-08-16T18:11:44Z,ADB5578,"32.874069,-106.09684",4175,152,227
1502907098,2017-08-16T18:11:38Z,ADB5578,"32.877193,-106.092957",4225,152,228
1502907091,2017-08-16T18:11:31Z,ADB5578,"32.879974,-106.089096",4300,157,227
1502907085,2017-08-16T18:11:25Z,ADB5578,"32.882919,-106.085327",4400,157,227
1502907077,2017-08-16T18:11:17Z,ADB5578,"32.887432,-106.07933",4575,159,228
