Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503581353,2017-08-24T13:29:13Z,ADB586F,"48.790054,4.079379",1425,138,101
1503581347,2017-08-24T13:29:07Z,ADB586F,"48.790878,4.073252",1525,139,102
1503581336,2017-08-24T13:28:56Z,ADB586F,"48.79248,4.062124",1675,140,101
1503581329,2017-08-24T13:28:49Z,ADB586F,"48.793171,4.057135",1750,142,101
1503581315,2017-08-24T13:28:35Z,ADB586F,"48.794952,4.042194",1950,146,99
1503581308,2017-08-24T13:28:28Z,ADB586F,"48.795776,4.035363",2050,145,100
1503581299,2017-08-24T13:28:19Z,ADB586F,"48.796829,4.027053",2200,145,101
1503581293,2017-08-24T13:28:13Z,ADB586F,"48.797733,4.020924",2300,143,102
1503581287,2017-08-24T13:28:07Z,ADB586F,"48.798523,4.015286",2350,143,102
1503581278,2017-08-24T13:27:58Z,ADB586F,"48.79985,4.006348",2400,148,102
1503581272,2017-08-24T13:27:52Z,ADB586F,"48.800903,4.000221",2425,153,102
1503581266,2017-08-24T13:27:46Z,ADB586F,"48.801689,3.993603",2475,158,102
1503581260,2017-08-24T13:27:40Z,ADB586F,"48.802711,3.986519",2475,167,101
1503581252,2017-08-24T13:27:32Z,ADB586F,"48.804245,3.974797",2475,176,100
1503581245,2017-08-24T13:27:25Z,ADB586F,"48.804977,3.968952",2500,174,100
1503581189,2017-08-24T13:26:29Z,ADB586F,"48.813721,3.899935",2750,179,108
1503581183,2017-08-24T13:26:23Z,ADB586F,"48.815094,3.893245",2800,179,108
1503581171,2017-08-24T13:26:11Z,ADB586F,"48.818115,3.88085",2925,182,112
1503581163,2017-08-24T13:26:03Z,ADB586F,"48.821365,3.869582",3100,183,115
1503581153,2017-08-24T13:25:53Z,ADB586F,"48.824734,3.859671",3225,184,117
1503581147,2017-08-24T13:25:47Z,ADB586F,"48.827179,3.85268",3300,184,122
1503581141,2017-08-24T13:25:41Z,ADB586F,"48.82962,3.847166",3350,185,124
1503581135,2017-08-24T13:25:35Z,ADB586F,"48.832691,3.840372",3450,181,123
1503581127,2017-08-24T13:25:27Z,ADB586F,"48.836601,3.830976",3575,177,122
1503581120,2017-08-24T13:25:20Z,ADB586F,"48.83931,3.82444",3625,173,122
1503581114,2017-08-24T13:25:14Z,ADB586F,"48.841919,3.818383",3675,168,123
1503581099,2017-08-24T13:24:59Z,ADB586F,"48.848892,3.80351",3800,176,120
1503581093,2017-08-24T13:24:53Z,ADB586F,"48.851074,3.797185",3850,179,117
1503581087,2017-08-24T13:24:47Z,ADB586F,"48.853455,3.790211",3875,185,117
1503581078,2017-08-24T13:24:38Z,ADB586F,"48.857117,3.779508",3900,195,115
