Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505003882,2017-09-10T00:38:02Z,ADB3875,"40.677429,49.557007",1100,164,180
1505003876,2017-09-10T00:37:56Z,ADB3875,"40.681999,49.557018",1250,164,180
1505003870,2017-09-10T00:37:50Z,ADB3875,"40.686703,49.557079",1350,165,180
1505003849,2017-09-10T00:37:29Z,ADB3875,"40.702103,49.556702",1775,160,180
1505003843,2017-09-10T00:37:23Z,ADB3875,"40.706627,49.556828",1800,159,182
1505003837,2017-09-10T00:37:17Z,ADB3875,"40.711143,49.55714",1850,158,182
1505003831,2017-09-10T00:37:11Z,ADB3875,"40.715424,49.557434",1850,162,182
1505003822,2017-09-10T00:37:02Z,ADB3875,"40.722919,49.557766",1800,177,180
1505003816,2017-09-10T00:36:56Z,ADB3875,"40.727646,49.5578",1825,183,179
1505003810,2017-09-10T00:36:50Z,ADB3875,"40.733185,49.557739",1850,184,178
1505003804,2017-09-10T00:36:44Z,ADB3875,"40.738888,49.557453",1875,183,177
1505003798,2017-09-10T00:36:38Z,ADB3875,"40.742981,49.557129",1875,184,173
1505003792,2017-09-10T00:36:32Z,ADB3875,"40.748245,49.555847",1875,185,162
1505003786,2017-09-10T00:36:26Z,ADB3875,"40.753132,49.553333",1875,188,151
1505003780,2017-09-10T00:36:20Z,ADB3875,"40.757629,49.55011",1875,188,151
1505003774,2017-09-10T00:36:14Z,ADB3875,"40.762573,49.54657",1875,188,152
1505003765,2017-09-10T00:36:05Z,ADB3875,"40.770077,49.541412",1875,188,153
1505003742,2017-09-10T00:35:42Z,ADB3875,"40.788116,49.535706",1850,191,189
1505003736,2017-09-10T00:35:36Z,ADB3875,"40.793354,49.537415",1875,191,203
1505003730,2017-09-10T00:35:30Z,ADB3875,"40.797638,49.540527",1900,190,218
1505003724,2017-09-10T00:35:24Z,ADB3875,"40.801594,49.54578",1875,192,231
1505003700,2017-09-10T00:35:00Z,ADB3875,"40.808212,49.572571",1900,198,272
1505003694,2017-09-10T00:34:54Z,ADB3875,"40.807739,49.580051",1900,200,277
1505003688,2017-09-10T00:34:48Z,ADB3875,"40.807041,49.586418",1900,201,277
1505003682,2017-09-10T00:34:42Z,ADB3875,"40.80629,49.593628",1900,202,277
1505003676,2017-09-10T00:34:36Z,ADB3875,"40.80542,49.601501",1900,204,278
1505003670,2017-09-10T00:34:30Z,ADB3875,"40.804619,49.608578",1900,204,278
1505003664,2017-09-10T00:34:24Z,ADB3875,"40.803688,49.616444",1900,203,278
1505003658,2017-09-10T00:34:18Z,ADB3875,"40.802856,49.623596",1900,203,278
1505003652,2017-09-10T00:34:12Z,ADB3875,"40.801941,49.631287",1875,202,278
1505003646,2017-09-10T00:34:06Z,ADB3875,"40.801083,49.638538",1850,202,278
1505003640,2017-09-10T00:34:00Z,ADB3875,"40.800247,49.645508",1850,200,278
1505003634,2017-09-10T00:33:54Z,ADB3875,"40.799267,49.653835",1825,197,279
1505003628,2017-09-10T00:33:48Z,ADB3875,"40.798416,49.660217",1800,195,279
1505003622,2017-09-10T00:33:42Z,ADB3875,"40.797546,49.66687",1775,193,279
1505003616,2017-09-10T00:33:36Z,ADB3875,"40.79652,49.674622",1750,190,280
1505003610,2017-09-10T00:33:30Z,ADB3875,"40.795494,49.681797",1775,190,281
1505003604,2017-09-10T00:33:24Z,ADB3875,"40.794239,49.688168",1850,190,290
1505003598,2017-09-10T00:33:18Z,ADB3875,"40.791824,49.694214",1975,194,305
1505003592,2017-09-10T00:33:12Z,ADB3875,"40.788437,49.69928",2150,194,320
1505003586,2017-09-10T00:33:06Z,ADB3875,"40.78381,49.703335",2300,195,333
1505003580,2017-09-10T00:33:00Z,ADB3875,"40.778824,49.706055",2450,196,344
1505003556,2017-09-10T00:32:36Z,ADB3875,"40.756344,49.709015",2800,214,1
1505003550,2017-09-10T00:32:30Z,ADB3875,"40.750294,49.708767",2850,220,1
1505003544,2017-09-10T00:32:24Z,ADB3875,"40.744053,49.708515",2825,228,1
1505003538,2017-09-10T00:32:18Z,ADB3875,"40.737583,49.708267",2800,237,1
1505003532,2017-09-10T00:32:12Z,ADB3875,"40.730461,49.707954",2825,245,2
1505003526,2017-09-10T00:32:06Z,ADB3875,"40.724224,49.707642",2900,249,2
1505003520,2017-09-10T00:32:00Z,ADB3875,"40.716637,49.707203",2975,253,2
1505003514,2017-09-10T00:31:54Z,ADB3875,"40.710022,49.706909",3100,255,1
1505003505,2017-09-10T00:31:45Z,ADB3875,"40.699318,49.706516",3300,256,1
1505003499,2017-09-10T00:31:39Z,ADB3875,"40.692055,49.706329",3425,257,1
1505003493,2017-09-10T00:31:33Z,ADB3875,"40.684841,49.706142",3450,262,1
1505003487,2017-09-10T00:31:27Z,ADB3875,"40.677155,49.705627",3450,268,4
1505003481,2017-09-10T00:31:21Z,ADB3875,"40.670132,49.704521",3475,273,10
1505003475,2017-09-10T00:31:15Z,ADB3875,"40.662323,49.702026",3575,277,20
1505003467,2017-09-10T00:31:07Z,ADB3875,"40.652252,49.695034",3725,280,37
1505003460,2017-09-10T00:31:00Z,ADB3875,"40.646393,49.688477",3850,282,47
1505003454,2017-09-10T00:30:54Z,ADB3875,"40.641594,49.679676",3975,283,61
1505003447,2017-09-10T00:30:47Z,ADB3875,"40.638474,49.670715",4075,283,72
1505003441,2017-09-10T00:30:41Z,ADB3875,"40.636322,49.660095",4150,285,79
1505003435,2017-09-10T00:30:35Z,ADB3875,"40.635075,49.65015",4200,287,81
1505003429,2017-09-10T00:30:29Z,ADB3875,"40.63382,49.639664",4300,288,81
1505003423,2017-09-10T00:30:23Z,ADB3875,"40.632523,49.629028",4400,288,81
1505003417,2017-09-10T00:30:17Z,ADB3875,"40.63121,49.618004",4500,289,81
1505003411,2017-09-10T00:30:11Z,ADB3875,"40.630005,49.608154",4600,289,81
1505003405,2017-09-10T00:30:05Z,ADB3875,"40.628696,49.597153",4725,290,81
1505003399,2017-09-10T00:29:59Z,ADB3875,"40.627583,49.586605",4800,291,82
1505003393,2017-09-10T00:29:53Z,ADB3875,"40.626617,49.576477",4875,292,83
1505003387,2017-09-10T00:29:47Z,ADB3875,"40.625702,49.565857",4900,295,83
1505003381,2017-09-10T00:29:41Z,ADB3875,"40.624741,49.554993",4925,300,83
1505003375,2017-09-10T00:29:35Z,ADB3875,"40.623688,49.543518",4925,305,82
1505003369,2017-09-10T00:29:29Z,ADB3875,"40.622322,49.531174",4950,308,83
1505003357,2017-09-10T00:29:17Z,ADB3875,"40.621063,49.510201",5075,313,88
1505003345,2017-09-10T00:29:05Z,ADB3875,"40.620552,49.486355",5250,317,88
1505003332,2017-09-10T00:28:52Z,ADB3875,"40.619854,49.461262",5450,320,88
1505003320,2017-09-10T00:28:40Z,ADB3875,"40.619202,49.437866",5850,316,87
1505003308,2017-09-10T00:28:28Z,ADB3875,"40.618378,49.414856",6225,312,87
1505003296,2017-09-10T00:28:16Z,ADB3875,"40.617992,49.391785",6550,310,88
1505003284,2017-09-10T00:28:04Z,ADB3875,"40.617477,49.369999",6700,314,88
1505003272,2017-09-10T00:27:52Z,ADB3875,"40.616867,49.346252",6875,319,88
1505003260,2017-09-10T00:27:40Z,ADB3875,"40.616222,49.322433",7225,319,87
1505003248,2017-09-10T00:27:28Z,ADB3875,"40.61557,49.299961",7600,318,88
1505003236,2017-09-10T00:27:16Z,ADB3875,"40.615013,49.276676",7925,321,88
1505003224,2017-09-10T00:27:04Z,ADB3875,"40.614407,49.253082",8250,323,87
1505003212,2017-09-10T00:26:52Z,ADB3875,"40.613571,49.228516",8625,324,87
1505003199,2017-09-10T00:26:39Z,ADB3875,"40.612885,49.203064",8975,327,88
1505003187,2017-09-10T00:26:27Z,ADB3875,"40.612499,49.181297",9225,331,88
1505003175,2017-09-10T00:26:15Z,ADB3875,"40.612034,49.156826",9400,337,88
1505003163,2017-09-10T00:26:03Z,ADB3875,"40.611614,49.132107",9600,342,88
1505003151,2017-09-10T00:25:51Z,ADB3875,"40.611149,49.105892",9875,344,88
1505003139,2017-09-10T00:25:39Z,ADB3875,"40.610596,49.078613",10150,346,88
1505003127,2017-09-10T00:25:27Z,ADB3875,"40.610218,49.056202",10300,351,88
1505003115,2017-09-10T00:25:15Z,ADB3875,"40.609707,49.030548",10525,354,88
1505003103,2017-09-10T00:25:03Z,ADB3875,"40.6091,49.004017",10750,358,88
1505003092,2017-09-10T00:24:52Z,ADB3875,"40.608494,48.977676",11025,360,88
1505003076,2017-09-10T00:24:36Z,ADB3875,"40.607937,48.94434",11375,362,88
1505003043,2017-09-10T00:24:03Z,ADB3875,"40.606308,48.871994",12150,366,88
1505003010,2017-09-10T00:23:30Z,ADB3875,"40.604771,48.796589",12975,371,88
1505002977,2017-09-10T00:22:57Z,ADB3875,"40.603088,48.722412",13775,375,88
1505002944,2017-09-10T00:22:24Z,ADB3875,"40.601303,48.646423",14675,377,88
1505002908,2017-09-10T00:21:48Z,ADB3875,"40.599419,48.56263",15700,379,88
1505002875,2017-09-10T00:21:15Z,ADB3875,"40.597603,48.487286",16450,387,88
1505002842,2017-09-10T00:20:42Z,ADB3875,"40.595646,48.40826",17250,395,88
1505002811,2017-09-10T00:20:11Z,ADB3875,"40.59383,48.336098",17950,403,88
1505002748,2017-09-10T00:19:08Z,ADB3875,"40.58963,48.178589",19675,413,87
1505002685,2017-09-10T00:18:05Z,ADB3875,"40.586197,48.012253",21425,428,90
1505002656,2017-09-10T00:17:36Z,ADB3875,"40.590714,47.935909",22300,436,102
1505002611,2017-09-10T00:16:51Z,ADB3875,"40.618645,47.825985",23500,447,110
1505002548,2017-09-10T00:15:48Z,ADB3875,"40.664639,47.663937",25450,458,110
1505002485,2017-09-10T00:14:45Z,ADB3875,"40.712173,47.495178",27375,472,110
1505002422,2017-09-10T00:13:42Z,ADB3875,"40.760441,47.323048",28450,480,110
1505002359,2017-09-10T00:12:39Z,ADB3875,"40.808994,47.148952",29000,489,109
1505002298,2017-09-10T00:11:38Z,ADB3875,"40.855316,46.980846",29025,489,109
1505002235,2017-09-10T00:10:35Z,ADB3875,"40.904522,46.801758",29025,490,109
1505002172,2017-09-10T00:09:32Z,ADB3875,"40.95303,46.623169",29025,491,109
1505002109,2017-09-10T00:08:29Z,ADB3875,"41.00148,46.444641",29025,492,109
1505002048,2017-09-10T00:07:28Z,ADB3875,"41.047436,46.273788",29000,494,109
1505001985,2017-09-10T00:06:25Z,ADB3875,"41.095615,46.092701",28950,500,109
1505001922,2017-09-10T00:05:22Z,ADB3875,"41.144032,45.910118",29075,497,109
1505001859,2017-09-10T00:04:19Z,ADB3875,"41.191727,45.729126",29225,496,108
1505001798,2017-09-10T00:03:18Z,ADB3875,"41.23764,45.552429",29850,513,109
1505001735,2017-09-10T00:02:15Z,ADB3875,"41.287926,45.358242",30625,528,108
1505001671,2017-09-10T00:01:11Z,ADB3875,"41.33997,45.167168",32025,525,111
1505001665,2017-09-10T00:01:05Z,ADB3875,"41.345673,45.148743",32125,526,111
1505001659,2017-09-10T00:00:59Z,ADB3875,"41.351097,45.128464",32275,526,108
1505001599,2017-09-09T23:59:59Z,ADB3875,"41.377258,44.937889",32975,527,99
1505001538,2017-09-09T23:58:58Z,ADB3875,"41.400787,44.738388",32975,526,98
1505001476,2017-09-09T23:57:56Z,ADB3875,"41.423206,44.544323",32975,526,98
1505001415,2017-09-09T23:56:55Z,ADB3875,"41.445599,44.348167",32975,526,98
1505001354,2017-09-09T23:55:54Z,ADB3875,"41.467339,44.155201",33000,525,98
1505001291,2017-09-09T23:54:51Z,ADB3875,"41.489914,43.952274",33000,525,98
1505001228,2017-09-09T23:53:48Z,ADB3875,"41.51226,43.748516",33000,526,98
1505001165,2017-09-09T23:52:45Z,ADB3875,"41.533722,43.546497",33000,525,97
1505001102,2017-09-09T23:51:42Z,ADB3875,"41.554996,43.344257",33000,526,97
1505001041,2017-09-09T23:50:41Z,ADB3875,"41.575287,43.151112",32975,526,97
1505000978,2017-09-09T23:49:38Z,ADB3875,"41.595749,42.948116",33000,525,97
1505000915,2017-09-09T23:48:35Z,ADB3875,"41.61607,42.74448",33000,525,97
1505000852,2017-09-09T23:47:32Z,ADB3875,"41.635986,42.541622",32975,525,97
1505000789,2017-09-09T23:46:29Z,ADB3875,"41.655453,42.339584",33000,525,97
1505000728,2017-09-09T23:45:28Z,ADB3875,"41.673981,42.145088",33000,525,97
1505000665,2017-09-09T23:44:25Z,ADB3875,"41.692474,41.942928",32975,524,97
1505000602,2017-09-09T23:43:22Z,ADB3875,"41.711151,41.738373",32975,524,96
1505000512,2017-09-09T23:41:52Z,ADB3875,"41.737198,41.444923",32975,523,96
1505000464,2017-09-09T23:41:04Z,ADB3875,"41.750187,41.295052",33000,523,96
1505000401,2017-09-09T23:40:01Z,ADB3875,"41.767502,41.09174",33000,523,96
1505000313,2017-09-09T23:38:33Z,ADB3875,"41.791481,40.803097",33000,523,93
1505000280,2017-09-09T23:38:00Z,ADB3875,"41.797207,40.69585",33025,521,95
1505000253,2017-09-09T23:37:33Z,ADB3875,"41.806549,40.616329",32975,522,104
1505000190,2017-09-09T23:36:30Z,ADB3875,"41.847713,40.420235",32975,522,105
1505000127,2017-09-09T23:35:27Z,ADB3875,"41.888626,40.223755",32975,523,105
1505000066,2017-09-09T23:34:26Z,ADB3875,"41.927628,40.036114",33000,522,105
1505000003,2017-09-09T23:33:23Z,ADB3875,"41.968193,39.836872",32975,523,105
1504999942,2017-09-09T23:32:22Z,ADB3875,"42.006729,39.646725",33000,522,105
1504999879,2017-09-09T23:31:19Z,ADB3875,"42.04668,39.44788",33000,522,105
1504999816,2017-09-09T23:30:16Z,ADB3875,"42.085739,39.251652",32975,522,104
