Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505231458,2017-09-12T15:50:58Z,ADB2142,"26.456612,49.791271",0,17,165
1505231451,2017-09-12T15:50:51Z,ADB2142,"26.457092,49.791122",0,21,165
1505231440,2017-09-12T15:50:40Z,ADB2142,"26.458797,49.790607",0,33,165
1505231422,2017-09-12T15:50:22Z,ADB2142,"26.461853,49.789665",0,56,165
1505231409,2017-09-12T15:50:09Z,ADB2142,"26.465343,49.788586",0,80,163
1505231401,2017-09-12T15:50:01Z,ADB2142,"26.469032,49.787437",0,105,165
1505231391,2017-09-12T15:49:51Z,ADB2142,"26.473938,49.785931",0,130,163
1505231385,2017-09-12T15:49:45Z,ADB2142,"26.479706,49.784184",225,148,164
1505231370,2017-09-12T15:49:30Z,ADB2142,"26.487808,49.781593",300,157,164
1505231362,2017-09-12T15:49:22Z,ADB2142,"26.495819,49.779209",425,157,164
1505231355,2017-09-12T15:49:15Z,ADB2142,"26.499344,49.778069",500,157,164
1505231349,2017-09-12T15:49:09Z,ADB2142,"26.503447,49.77673",600,155,163
1505231343,2017-09-12T15:49:03Z,ADB2142,"26.507542,49.77541",675,154,164
1505231337,2017-09-12T15:48:57Z,ADB2142,"26.511593,49.774193",725,154,165
1505231329,2017-09-12T15:48:49Z,ADB2142,"26.517654,49.772369",825,152,164
1505231322,2017-09-12T15:48:42Z,ADB2142,"26.521927,49.770973",875,149,164
1505231314,2017-09-12T15:48:34Z,ADB2142,"26.528091,49.769104",975,151,164
1505231307,2017-09-12T15:48:27Z,ADB2142,"26.532074,49.76786",1050,155,165
1505231301,2017-09-12T15:48:21Z,ADB2142,"26.536423,49.76651",1100,160,164
1505231293,2017-09-12T15:48:13Z,ADB2142,"26.542969,49.764473",1225,167,164
1505231283,2017-09-12T15:48:03Z,ADB2142,"26.549973,49.762314",1375,172,164
1505231277,2017-09-12T15:47:57Z,ADB2142,"26.554688,49.760811",1475,175,163
1505231271,2017-09-12T15:47:51Z,ADB2142,"26.558983,49.75935",1600,178,164
1505231265,2017-09-12T15:47:45Z,ADB2142,"26.563824,49.757874",1725,181,165
1505231259,2017-09-12T15:47:39Z,ADB2142,"26.569061,49.756302",1875,182,164
1505231253,2017-09-12T15:47:33Z,ADB2142,"26.574112,49.754757",1975,184,164
1505231247,2017-09-12T15:47:27Z,ADB2142,"26.579041,49.753296",2075,187,164
1505231241,2017-09-12T15:47:21Z,ADB2142,"26.584354,49.75164",2200,189,164
1505231235,2017-09-12T15:47:15Z,ADB2142,"26.589066,49.750187",2300,191,164
1505231226,2017-09-12T15:47:06Z,ADB2142,"26.597435,49.747677",2425,197,165
1505231220,2017-09-12T15:47:00Z,ADB2142,"26.602432,49.746147",2475,202,165
1505231214,2017-09-12T15:46:54Z,ADB2142,"26.60788,49.744488",2500,202,165
1505231205,2017-09-12T15:46:45Z,ADB2142,"26.616531,49.741898",2375,208,165
1505231199,2017-09-12T15:46:39Z,ADB2142,"26.621874,49.740284",2350,208,164
1505231193,2017-09-12T15:46:33Z,ADB2142,"26.627563,49.738632",2350,207,164
1505231187,2017-09-12T15:46:27Z,ADB2142,"26.633331,49.736816",2350,205,164
1505231181,2017-09-12T15:46:21Z,ADB2142,"26.638824,49.735054",2325,204,163
1505231175,2017-09-12T15:46:15Z,ADB2142,"26.644455,49.733189",2325,204,162
1505231169,2017-09-12T15:46:09Z,ADB2142,"26.649902,49.731274",2300,202,162
1505231163,2017-09-12T15:46:03Z,ADB2142,"26.655029,49.729408",2300,201,162
1505231157,2017-09-12T15:45:57Z,ADB2142,"26.660614,49.727386",2300,200,162
1505231151,2017-09-12T15:45:51Z,ADB2142,"26.665649,49.725521",2300,198,162
1505231145,2017-09-12T15:45:45Z,ADB2142,"26.670914,49.723808",2325,200,163
1505231139,2017-09-12T15:45:39Z,ADB2142,"26.676294,49.722061",2325,201,165
1505231133,2017-09-12T15:45:33Z,ADB2142,"26.681946,49.720493",2350,205,166
1505231124,2017-09-12T15:45:24Z,ADB2142,"26.690689,49.718369",2475,207,168
1505231118,2017-09-12T15:45:18Z,ADB2142,"26.696218,49.717148",2550,209,169
1505231111,2017-09-12T15:45:11Z,ADB2142,"26.702042,49.715881",2625,211,169
1505231105,2017-09-12T15:45:05Z,ADB2142,"26.707764,49.714668",2675,214,168
1505231097,2017-09-12T15:44:57Z,ADB2142,"26.716599,49.712616",2725,220,168
1505231087,2017-09-12T15:44:47Z,ADB2142,"26.72592,49.710335",2725,230,166
1505231079,2017-09-12T15:44:39Z,ADB2142,"26.735504,49.707436",2775,238,163
1505231073,2017-09-12T15:44:33Z,ADB2142,"26.74198,49.705265",2800,243,161
1505231066,2017-09-12T15:44:26Z,ADB2142,"26.748505,49.702564",2900,246,158
1505231058,2017-09-12T15:44:18Z,ADB2142,"26.758039,49.698135",3050,248,156
1505231049,2017-09-12T15:44:09Z,ADB2142,"26.767639,49.693184",3225,249,152
1505231042,2017-09-12T15:44:02Z,ADB2142,"26.773361,49.689659",3350,249,148
1505231036,2017-09-12T15:43:56Z,ADB2142,"26.779541,49.685047",3475,251,141
1505231017,2017-09-12T15:43:37Z,ADB2142,"26.797377,49.667393",3900,257,138
1505231010,2017-09-12T15:43:30Z,ADB2142,"26.802979,49.661934",3950,261,139
1505231004,2017-09-12T15:43:24Z,ADB2142,"26.80806,49.656906",4050,265,139
1505230998,2017-09-12T15:43:18Z,ADB2142,"26.813902,49.65139",4125,268,139
1505230992,2017-09-12T15:43:12Z,ADB2142,"26.820095,49.645737",4225,271,139
1505230986,2017-09-12T15:43:06Z,ADB2142,"26.825638,49.640324",4350,274,139
1505230980,2017-09-12T15:43:00Z,ADB2142,"26.831497,49.634624",4475,275,138
1505230974,2017-09-12T15:42:54Z,ADB2142,"26.837265,49.629078",4575,277,138
1505230968,2017-09-12T15:42:48Z,ADB2142,"26.84317,49.623173",4675,280,137
1505230962,2017-09-12T15:42:42Z,ADB2142,"26.848818,49.617481",4750,283,137
1505230956,2017-09-12T15:42:36Z,ADB2142,"26.854868,49.611034",4825,290,137
1505230950,2017-09-12T15:42:30Z,ADB2142,"26.860565,49.605137",4925,293,137
1505230938,2017-09-12T15:42:18Z,ADB2142,"26.873062,49.592751",5200,294,138
1505230926,2017-09-12T15:42:06Z,ADB2142,"26.885687,49.580452",5325,298,139
