Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505301026,2017-09-13T11:10:26Z,ADB242F,"45.710403,5.085347",0,10,174
1505301002,2017-09-13T11:10:02Z,ADB242F,"45.710083,5.085313",0,13,174
1505300984,2017-09-13T11:09:44Z,ADB242F,"45.709873,5.085331",0,2,174
1505300969,2017-09-13T11:09:29Z,ADB242F,"45.709759,5.085537",0,12,174
1505300957,2017-09-13T11:09:17Z,ADB242F,"45.709717,5.085983",0,17,174
1505300951,2017-09-13T11:09:11Z,ADB242F,"45.709694,5.086218",0,17,174
1505300937,2017-09-13T11:08:57Z,ADB242F,"45.709991,5.086515",0,17,174
1505300931,2017-09-13T11:08:51Z,ADB242F,"45.710197,5.086519",0,23,174
1505300924,2017-09-13T11:08:44Z,ADB242F,"45.710491,5.086533",0,26,174
1505300915,2017-09-13T11:08:35Z,ADB242F,"45.710907,5.086703",0,26,174
1505300909,2017-09-13T11:08:29Z,ADB242F,"45.711052,5.087048",0,25,174
1505300900,2017-09-13T11:08:20Z,ADB242F,"45.710968,5.087717",0,26,174
1505300885,2017-09-13T11:08:05Z,ADB242F,"45.71077,5.088867",0,31,174
1505300873,2017-09-13T11:07:53Z,ADB242F,"45.710831,5.089983",0,31,174
1505300867,2017-09-13T11:07:47Z,ADB242F,"45.710854,5.090412",0,31,174
1505300861,2017-09-13T11:07:41Z,ADB242F,"45.710888,5.091013",0,31,174
1505300852,2017-09-13T11:07:32Z,ADB242F,"45.710922,5.091717",0,27,174
1505300846,2017-09-13T11:07:26Z,ADB242F,"45.710953,5.092113",0,26,174
1505300840,2017-09-13T11:07:20Z,ADB242F,"45.710979,5.092558",0,30,174
1505300834,2017-09-13T11:07:14Z,ADB242F,"45.711014,5.093107",0,31,174
1505300828,2017-09-13T11:07:08Z,ADB242F,"45.71104,5.093605",0,31,174
1505300822,2017-09-13T11:07:02Z,ADB242F,"45.71109,5.094072",0,26,174
1505300811,2017-09-13T11:06:51Z,ADB242F,"45.711506,5.094652",0,26,174
1505300801,2017-09-13T11:06:41Z,ADB242F,"45.71196,5.094704",0,34,174
1505300795,2017-09-13T11:06:35Z,ADB242F,"45.712517,5.094618",0,21,174
1505300783,2017-09-13T11:06:23Z,ADB242F,"45.71402,5.094429",0,35,174
1505300777,2017-09-13T11:06:17Z,ADB242F,"45.715599,5.094273",0,45,174
1505300771,2017-09-13T11:06:11Z,ADB242F,"45.716572,5.094122",0,49,174
1505300762,2017-09-13T11:06:02Z,ADB242F,"45.71838,5.093888",0,52,174
1505300756,2017-09-13T11:05:56Z,ADB242F,"45.719856,5.09372",0,55,174
1505300750,2017-09-13T11:05:50Z,ADB242F,"45.721516,5.093536",0,63,174
1505300744,2017-09-13T11:05:44Z,ADB242F,"45.723347,5.093336",0,74,174
1505300738,2017-09-13T11:05:38Z,ADB242F,"45.725658,5.093034",0,92,174
1505300729,2017-09-13T11:05:29Z,ADB242F,"45.73008,5.092506",625,121,174
1505300723,2017-09-13T11:05:23Z,ADB242F,"45.733711,5.092026",625,126,175
1505300717,2017-09-13T11:05:17Z,ADB242F,"45.737106,5.091545",700,127,175
1505300711,2017-09-13T11:05:11Z,ADB242F,"45.740692,5.091133",775,126,174
1505300705,2017-09-13T11:05:05Z,ADB242F,"45.744278,5.090689",850,124,174
1505300699,2017-09-13T11:04:59Z,ADB242F,"45.747581,5.09024",925,125,175
1505300693,2017-09-13T11:04:53Z,ADB242F,"45.751144,5.089751",1000,126,175
1505300684,2017-09-13T11:04:44Z,ADB242F,"45.756638,5.089149",1075,128,175
1505300675,2017-09-13T11:04:35Z,ADB242F,"45.761921,5.088524",1175,125,174
1505300666,2017-09-13T11:04:26Z,ADB242F,"45.767227,5.087769",1275,125,174
1505300659,2017-09-13T11:04:19Z,ADB242F,"45.770828,5.087206",1350,126,174
1505300651,2017-09-13T11:04:11Z,ADB242F,"45.775978,5.086464",1475,129,175
1505300644,2017-09-13T11:04:04Z,ADB242F,"45.77948,5.086134",1550,126,175
1505300636,2017-09-13T11:03:56Z,ADB242F,"45.784637,5.085503",1625,126,175
1505300630,2017-09-13T11:03:50Z,ADB242F,"45.788544,5.085062",1675,128,174
1505300623,2017-09-13T11:03:43Z,ADB242F,"45.792068,5.084593",1750,130,174
1505300617,2017-09-13T11:03:37Z,ADB242F,"45.795593,5.084057",1825,133,175
1505300611,2017-09-13T11:03:31Z,ADB242F,"45.799347,5.083655",1900,136,175
1505300605,2017-09-13T11:03:25Z,ADB242F,"45.803146,5.083321",2000,138,176
1505300599,2017-09-13T11:03:19Z,ADB242F,"45.806946,5.082985",2100,140,177
