Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505341261,2017-09-13T22:21:01Z,ADB2176,"24.4438,54.639118",0,12,309
1505341252,2017-09-13T22:20:52Z,ADB2176,"24.44359,54.639408",0,11,308
1505341246,2017-09-13T22:20:46Z,ADB2176,"24.443359,54.63974",0,11,309
1505341206,2017-09-13T22:20:06Z,ADB2176,"24.441601,54.642208",0,20,306
1505341181,2017-09-13T22:19:41Z,ADB2176,"24.440149,54.644249",0,17,306
1505341165,2017-09-13T22:19:25Z,ADB2176,"24.439476,54.645206",0,15,309
1505341155,2017-09-13T22:19:15Z,ADB2176,"24.439087,54.645763",0,33,307
1505341145,2017-09-13T22:19:05Z,ADB2176,"24.438667,54.646385",0,29,310
1505341134,2017-09-13T22:18:54Z,ADB2176,"24.438341,54.646851",0,27,226
1505340992,2017-09-13T22:16:32Z,ADB2176,"24.441601,54.650398",0,11,218
1505340966,2017-09-13T22:16:06Z,ADB2176,"24.44249,54.65115",0,11,221
1505340956,2017-09-13T22:15:56Z,ADB2176,"24.44285,54.651451",0,13,219
1505340946,2017-09-13T22:15:46Z,ADB2176,"24.44339,54.65192",0,13,218
1505340936,2017-09-13T22:15:36Z,ADB2176,"24.44381,54.652279",0,12,218
1505340921,2017-09-13T22:15:21Z,ADB2176,"24.44466,54.652988",0,15,218
1505340896,2017-09-13T22:14:56Z,ADB2176,"24.44622,54.654308",0,14,218
1505340852,2017-09-13T22:14:12Z,ADB2176,"24.448231,54.656021",0,10,218
1505340832,2017-09-13T22:13:52Z,ADB2176,"24.449169,54.656799",0,9,188
1505340826,2017-09-13T22:13:46Z,ADB2176,"24.449369,54.65683",0,9,222
1505340787,2017-09-13T22:13:07Z,ADB2176,"24.450531,54.656181",0,19,154
1505340766,2017-09-13T22:12:46Z,ADB2176,"24.45112,54.655922",0,21,154
1505340756,2017-09-13T22:12:36Z,ADB2176,"24.45155,54.655724",0,29,154
1505340692,2017-09-13T22:11:32Z,ADB2176,"24.461519,54.643299",325,115,123
1505340686,2017-09-13T22:11:26Z,ADB2176,"24.46339,54.640659",325,117,124
1505340671,2017-09-13T22:11:11Z,ADB2176,"24.468201,54.63409",450,122,125
1505340661,2017-09-13T22:11:01Z,ADB2176,"24.472139,54.628479",575,120,123
1505340652,2017-09-13T22:10:52Z,ADB2176,"24.47562,54.62331",675,121,125
1505340641,2017-09-13T22:10:41Z,ADB2176,"24.47887,54.618778",750,129,128
1505340631,2017-09-13T22:10:31Z,ADB2176,"24.482759,54.613548",850,134,127
1505340621,2017-09-13T22:10:21Z,ADB2176,"24.486509,54.608002",950,138,127
1505340612,2017-09-13T22:10:12Z,ADB2176,"24.490669,54.602261",1075,140,127
1505340601,2017-09-13T22:10:01Z,ADB2176,"24.494749,54.596199",1200,139,125
1505340591,2017-09-13T22:09:51Z,ADB2176,"24.49905,54.590401",1325,140,125
1505340581,2017-09-13T22:09:41Z,ADB2176,"24.503241,54.584381",1475,142,125
1505340572,2017-09-13T22:09:32Z,ADB2176,"24.50729,54.578629",1600,145,124
1505340562,2017-09-13T22:09:22Z,ADB2176,"24.511641,54.572701",1725,145,124
1505340552,2017-09-13T22:09:12Z,ADB2176,"24.51572,54.56675",1850,149,124
1505340541,2017-09-13T22:09:01Z,ADB2176,"24.51993,54.560452",1975,157,127
1505340532,2017-09-13T22:08:52Z,ADB2176,"24.5247,54.553799",2125,159,127
1505340521,2017-09-13T22:08:41Z,ADB2176,"24.529579,54.546909",2250,162,129
1505340511,2017-09-13T22:08:31Z,ADB2176,"24.533871,54.541061",2375,156,128
1505340501,2017-09-13T22:08:21Z,ADB2176,"24.53927,54.534321",2525,155,130
1505340492,2017-09-13T22:08:12Z,ADB2176,"24.54406,54.52877",2650,156,130
1505340482,2017-09-13T22:08:02Z,ADB2176,"24.549179,54.522812",2750,156,130
1505340472,2017-09-13T22:07:52Z,ADB2176,"24.55402,54.516441",2825,164,126
1505340461,2017-09-13T22:07:41Z,ADB2176,"24.55887,54.509338",2875,174,124
1505340452,2017-09-13T22:07:32Z,ADB2176,"24.56431,54.501671",2850,188,126
1505340441,2017-09-13T22:07:21Z,ADB2176,"24.569139,54.494068",2800,196,125
1505340432,2017-09-13T22:07:12Z,ADB2176,"24.57436,54.485882",2800,198,124
1505340421,2017-09-13T22:07:01Z,ADB2176,"24.579531,54.477081",2800,194,120
1505340412,2017-09-13T22:06:52Z,ADB2176,"24.58415,54.46859",2800,191,122
1505340401,2017-09-13T22:06:41Z,ADB2176,"24.58917,54.460781",2775,183,122
1505340392,2017-09-13T22:06:32Z,ADB2176,"24.593639,54.452541",2775,186,115
1505340381,2017-09-13T22:06:21Z,ADB2176,"24.597521,54.444069",2800,190,116
1505340372,2017-09-13T22:06:12Z,ADB2176,"24.602011,54.434052",2800,191,115
