Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505488014,2017-09-15T15:06:54Z,ADB2177,"48.941891,-54.566887",0,16,191
1505488002,2017-09-15T15:06:42Z,ADB2177,"48.941036,-54.566204",0,18,191
1505487986,2017-09-15T15:06:26Z,ADB2177,"48.939686,-54.565517",0,21,191
1505487978,2017-09-15T15:06:18Z,ADB2177,"48.938984,-54.565712",0,24,191
1505487971,2017-09-15T15:06:11Z,ADB2177,"48.938221,-54.565922",0,26,191
1505487963,2017-09-15T15:06:03Z,ADB2177,"48.937237,-54.566219",0,27,191
1505487941,2017-09-15T15:05:41Z,ADB2177,"48.934456,-54.567032",0,27,191
1505487935,2017-09-15T15:05:35Z,ADB2177,"48.933701,-54.567249",0,26,191
1505487926,2017-09-15T15:05:26Z,ADB2177,"48.932682,-54.567543",0,23,191
1505487919,2017-09-15T15:05:19Z,ADB2177,"48.932117,-54.567699",0,22,191
1505487902,2017-09-15T15:05:02Z,ADB2177,"48.930485,-54.568176",0,16,191
1505487895,2017-09-15T15:04:55Z,ADB2177,"48.930069,-54.568298",0,33,191
1505487889,2017-09-15T15:04:49Z,ADB2177,"48.929729,-54.568386",0,29,191
1505487878,2017-09-15T15:04:38Z,ADB2177,"48.929077,-54.568527",0,28,191
1505487865,2017-09-15T15:04:25Z,ADB2177,"48.928482,-54.568195",0,27,191
1505487857,2017-09-15T15:04:17Z,ADB2177,"48.928116,-54.567825",0,26,191
1505487850,2017-09-15T15:04:10Z,ADB2177,"48.927795,-54.56749",0,25,191
1505487833,2017-09-15T15:03:53Z,ADB2177,"48.927277,-54.566669",0,26,191
1505487818,2017-09-15T15:03:38Z,ADB2177,"48.927452,-54.565746",0,23,191
1505487811,2017-09-15T15:03:31Z,ADB2177,"48.927715,-54.565639",0,26,191
1505487805,2017-09-15T15:03:25Z,ADB2177,"48.92807,-54.565536",0,16,191
1505487799,2017-09-15T15:03:19Z,ADB2177,"48.928562,-54.565411",0,20,191
1505487790,2017-09-15T15:03:10Z,ADB2177,"48.92952,-54.565117",0,27,191
1505487784,2017-09-15T15:03:04Z,ADB2177,"48.930347,-54.564865",0,32,191
1505487778,2017-09-15T15:02:58Z,ADB2177,"48.931583,-54.564533",0,36,191
1505487772,2017-09-15T15:02:52Z,ADB2177,"48.93235,-54.564304",0,35,191
1505487766,2017-09-15T15:02:46Z,ADB2177,"48.933323,-54.564022",0,34,191
1505487760,2017-09-15T15:02:40Z,ADB2177,"48.93428,-54.563744",0,34,191
1505487754,2017-09-15T15:02:34Z,ADB2177,"48.93512,-54.563492",0,33,191
1505487748,2017-09-15T15:02:28Z,ADB2177,"48.935989,-54.563248",0,31,191
1505487742,2017-09-15T15:02:22Z,ADB2177,"48.937038,-54.562946",0,30,191
1505487735,2017-09-15T15:02:15Z,ADB2177,"48.937889,-54.562714",0,28,191
1505487709,2017-09-15T15:01:49Z,ADB2177,"48.941078,-54.561775",0,22,191
1505487669,2017-09-15T15:01:09Z,ADB2177,"48.944359,-54.560871",0,34,109
1505487663,2017-09-15T15:01:03Z,ADB2177,"48.94471,-54.560764",0,33,109
1505487657,2017-09-15T15:00:57Z,ADB2177,"48.945168,-54.560623",0,31,109
1505487642,2017-09-15T15:00:42Z,ADB2177,"48.945976,-54.560364",0,29,109
1505487635,2017-09-15T15:00:35Z,ADB2177,"48.94635,-54.560257",0,28,109
1505487623,2017-09-15T15:00:23Z,ADB2177,"48.946918,-54.560078",0,27,109
1505487606,2017-09-15T15:00:06Z,ADB2177,"48.947826,-54.560509",0,33,109
1505487599,2017-09-15T14:59:59Z,ADB2177,"48.94799,-54.561123",0,17,109
1505487587,2017-09-15T14:59:47Z,ADB2177,"48.948341,-54.562786",0,26,109
1505487581,2017-09-15T14:59:41Z,ADB2177,"48.948635,-54.564144",0,28,109
1505487545,2017-09-15T14:59:05Z,ADB2177,"48.950031,-54.570675",0,24,106
1505487539,2017-09-15T14:58:59Z,ADB2177,"48.950214,-54.571495",0,23,109
1505487533,2017-09-15T14:58:53Z,ADB2177,"48.95042,-54.572437",0,22,109
1505487527,2017-09-15T14:58:47Z,ADB2177,"48.950787,-54.573334",0,21,106
1505487521,2017-09-15T14:58:41Z,ADB2177,"48.950783,-54.574169",0,20,106
1505487515,2017-09-15T14:58:35Z,ADB2177,"48.950958,-54.574974",0,19,106
1505487509,2017-09-15T14:58:29Z,ADB2177,"48.95113,-54.575783",0,19,106
1505487503,2017-09-15T14:58:23Z,ADB2177,"48.95129,-54.576523",0,18,106
1505487497,2017-09-15T14:58:17Z,ADB2177,"48.951447,-54.577278",0,18,106
1505487491,2017-09-15T14:58:11Z,ADB2177,"48.951622,-54.578125",0,18,106
1505487484,2017-09-15T14:58:04Z,ADB2177,"48.951775,-54.578758",0,18,109
1505487458,2017-09-15T14:57:38Z,ADB2177,"48.95248,-54.581997",0,15,278
1505487451,2017-09-15T14:57:31Z,ADB2177,"48.952618,-54.582596",0,33,278
1505487445,2017-09-15T14:57:25Z,ADB2177,"48.95274,-54.583134",0,29,278
