Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506040494,2017-09-22T00:34:54Z,ADB5599,"32.842022,-106.122787",0,2,222
1506040469,2017-09-22T00:34:29Z,ADB5599,"32.841988,-106.123024",0,10,222
1506040451,2017-09-22T00:34:11Z,ADB5599,"32.841946,-106.123299",0,11,222
1506040433,2017-09-22T00:33:53Z,ADB5599,"32.841831,-106.123604",0,11,222
1506040412,2017-09-22T00:33:32Z,ADB5599,"32.841824,-106.123863",0,10,222
1506040394,2017-09-22T00:33:14Z,ADB5599,"32.842068,-106.123978",0,14,222
1506040382,2017-09-22T00:33:02Z,ADB5599,"32.842312,-106.124031",0,13,222
1506040370,2017-09-22T00:32:50Z,ADB5599,"32.84259,-106.124092",0,16,222
1506040358,2017-09-22T00:32:38Z,ADB5599,"32.84293,-106.124168",0,18,222
1506040346,2017-09-22T00:32:26Z,ADB5599,"32.843266,-106.124229",0,16,222
1506040333,2017-09-22T00:32:13Z,ADB5599,"32.843594,-106.124306",0,17,222
1506040325,2017-09-22T00:32:05Z,ADB5599,"32.843861,-106.124367",0,18,222
1506040312,2017-09-22T00:31:52Z,ADB5599,"32.844212,-106.124443",0,17,222
1506040300,2017-09-22T00:31:40Z,ADB5599,"32.844566,-106.124512",0,17,222
1506040291,2017-09-22T00:31:31Z,ADB5599,"32.844803,-106.124565",0,15,222
1506040277,2017-09-22T00:31:17Z,ADB5599,"32.845104,-106.124626",0,12,222
1506040264,2017-09-22T00:31:04Z,ADB5599,"32.845398,-106.124695",0,19,222
1506040255,2017-09-22T00:30:55Z,ADB5599,"32.845665,-106.124741",0,15,222
1506040243,2017-09-22T00:30:43Z,ADB5599,"32.845898,-106.124763",0,11,222
1506040213,2017-09-22T00:30:13Z,ADB5599,"32.846169,-106.124947",0,10,222
1506040199,2017-09-22T00:29:59Z,ADB5599,"32.846153,-106.125214",0,14,222
1506040189,2017-09-22T00:29:49Z,ADB5599,"32.846096,-106.125435",0,15,222
1506040174,2017-09-22T00:29:34Z,ADB5599,"32.846008,-106.12587",0,17,222
1506040167,2017-09-22T00:29:27Z,ADB5599,"32.845985,-106.126076",0,16,222
1506040155,2017-09-22T00:29:15Z,ADB5599,"32.845921,-106.126442",0,15,222
1506040143,2017-09-22T00:29:03Z,ADB5599,"32.845882,-106.126732",0,14,222
1506040131,2017-09-22T00:28:51Z,ADB5599,"32.84584,-106.126991",0,11,222
1506040117,2017-09-22T00:28:37Z,ADB5599,"32.845779,-106.12735",0,13,222
1506040104,2017-09-22T00:28:24Z,ADB5599,"32.845757,-106.127571",0,10,222
1506040077,2017-09-22T00:27:57Z,ADB5599,"32.845722,-106.127792",0,13,222
1506040071,2017-09-22T00:27:51Z,ADB5599,"32.845676,-106.128014",0,22,222
1506040065,2017-09-22T00:27:45Z,ADB5599,"32.845631,-106.128342",0,26,222
1506040059,2017-09-22T00:27:39Z,ADB5599,"32.845573,-106.128685",0,25,222
