Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506414501,2017-09-26T08:28:21Z,ADB514F,"33.766296,42.751446",5375,222,324
1506414483,2017-09-26T08:28:03Z,ADB514F,"33.750504,42.7649",5950,222,324
1506414471,2017-09-26T08:27:51Z,ADB514F,"33.739655,42.774147",6325,223,324
1506414460,2017-09-26T08:27:40Z,ADB514F,"33.730495,42.781963",6675,223,324
1506414449,2017-09-26T08:27:29Z,ADB514F,"33.723141,42.788429",6925,224,324
1506414437,2017-09-26T08:27:17Z,ADB514F,"33.712738,42.797298",7275,225,324
1506414425,2017-09-26T08:27:05Z,ADB514F,"33.702255,42.805984",7575,226,324
1506414413,2017-09-26T08:26:53Z,ADB514F,"33.691269,42.815346",7925,227,324
1506414401,2017-09-26T08:26:41Z,ADB514F,"33.681244,42.823906",8200,228,324
1506414389,2017-09-26T08:26:29Z,ADB514F,"33.669479,42.8339",8550,230,324
1506414377,2017-09-26T08:26:17Z,ADB514F,"33.660152,42.841873",8825,232,324
1506414365,2017-09-26T08:26:05Z,ADB514F,"33.649704,42.850883",9150,232,324
1506414352,2017-09-26T08:25:52Z,ADB514F,"33.63818,42.860641",9500,234,324
1506414340,2017-09-26T08:25:40Z,ADB514F,"33.627987,42.86911",9850,233,324
1506414328,2017-09-26T08:25:28Z,ADB514F,"33.616837,42.878799",10375,225,324
1506414316,2017-09-26T08:25:16Z,ADB514F,"33.606857,42.88715",10650,225,324
1506414304,2017-09-26T08:25:04Z,ADB514F,"33.595963,42.896454",10975,226,324
1506414292,2017-09-26T08:24:52Z,ADB514F,"33.586487,42.904636",11300,225,324
1506414261,2017-09-26T08:24:21Z,ADB514F,"33.560394,42.926949",12000,231,324
1506414228,2017-09-26T08:23:48Z,ADB514F,"33.529724,42.953194",12550,244,324
1506414192,2017-09-26T08:23:12Z,ADB514F,"33.495529,42.981262",13525,242,326
1506414186,2017-09-26T08:23:06Z,ADB514F,"33.490219,42.985382",13750,239,327
