Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506615667,2017-09-28T16:21:07Z,ADB5615,"40.139969,33.010765",0,28,36
1506615642,2017-09-28T16:20:42Z,ADB5615,"40.14101,33.01001",0,27,36
1506615636,2017-09-28T16:20:36Z,ADB5615,"40.141056,33.00975",0,28,36
1506615592,2017-09-28T16:19:52Z,ADB5615,"40.142181,33.00708",0,28,36
1506615549,2017-09-28T16:19:09Z,ADB5615,"40.137039,33.001999",0,57,36
1506615540,2017-09-28T16:19:00Z,ADB5615,"40.134808,33.000046",0,66,36
1506615534,2017-09-28T16:18:54Z,ADB5615,"40.133476,32.998608",0,74,36
1506615528,2017-09-28T16:18:48Z,ADB5615,"40.131775,32.996979",0,82,36
1506615519,2017-09-28T16:18:39Z,ADB5615,"40.127563,32.992973",0,110,36
1506615513,2017-09-28T16:18:33Z,ADB5615,"40.124863,32.990383",0,125,36
1506615507,2017-09-28T16:18:27Z,ADB5615,"40.123203,32.988785",0,135,36
1506615498,2017-09-28T16:18:18Z,ADB5615,"40.117035,32.983032",3000,149,36
1506615492,2017-09-28T16:18:12Z,ADB5615,"40.113602,32.979797",3075,147,35
1506615483,2017-09-28T16:18:03Z,ADB5615,"40.109966,32.976276",3125,142,35
1506615477,2017-09-28T16:17:57Z,ADB5615,"40.106644,32.973145",3200,139,36
1506615471,2017-09-28T16:17:51Z,ADB5615,"40.103634,32.970219",3250,139,36
1506615465,2017-09-28T16:17:45Z,ADB5615,"40.10051,32.967285",3325,141,35
1506615459,2017-09-28T16:17:39Z,ADB5615,"40.096977,32.964104",3400,145,35
1506615450,2017-09-28T16:17:30Z,ADB5615,"40.092278,32.959484",3500,149,36
1506615443,2017-09-28T16:17:23Z,ADB5615,"40.088924,32.956299",3575,152,36
1506615437,2017-09-28T16:17:17Z,ADB5615,"40.08511,32.952866",3625,153,36
1506615429,2017-09-28T16:17:09Z,ADB5615,"40.080139,32.947876",3750,149,36
1506615423,2017-09-28T16:17:03Z,ADB5615,"40.076309,32.944378",3850,147,36
1506615417,2017-09-28T16:16:57Z,ADB5615,"40.07309,32.941223",3925,148,36
1506615408,2017-09-28T16:16:48Z,ADB5615,"40.068443,32.936638",4075,151,35
1506615399,2017-09-28T16:16:39Z,ADB5615,"40.063156,32.931702",4200,155,35
1506615393,2017-09-28T16:16:33Z,ADB5615,"40.059505,32.928333",4300,159,35
1506615384,2017-09-28T16:16:24Z,ADB5615,"40.05415,32.923405",4450,161,35
1506615375,2017-09-28T16:16:15Z,ADB5615,"40.048519,32.918159",4600,163,36
1506615368,2017-09-28T16:16:08Z,ADB5615,"40.045029,32.914795",4725,164,37
1506615362,2017-09-28T16:16:02Z,ADB5615,"40.04121,32.910858",4850,166,38
1506615351,2017-09-28T16:15:51Z,ADB5615,"40.033855,32.903305",5100,171,38
1506615336,2017-09-28T16:15:36Z,ADB5615,"40.024311,32.893753",5400,179,35
1506615329,2017-09-28T16:15:29Z,ADB5615,"40.019943,32.889771",5500,186,33
1506615314,2017-09-28T16:15:14Z,ADB5615,"40.008408,32.880798",5600,203,28
1506615308,2017-09-28T16:15:08Z,ADB5615,"40.003235,32.877319",5725,204,23
1506615287,2017-09-28T16:14:47Z,ADB5615,"39.983532,32.871094",6200,210,357
1506615281,2017-09-28T16:14:41Z,ADB5615,"39.977806,32.871342",6350,212,354
1506615275,2017-09-28T16:14:35Z,ADB5615,"39.971695,32.872864",6550,214,340
1506615269,2017-09-28T16:14:29Z,ADB5615,"39.966797,32.875977",6725,215,327
1506615263,2017-09-28T16:14:23Z,ADB5615,"39.96199,32.880737",6925,217,317
1506615251,2017-09-28T16:14:11Z,ADB5615,"39.952881,32.892151",7325,215,316
1506615239,2017-09-28T16:13:59Z,ADB5615,"39.944458,32.902527",7700,215,316
1506615233,2017-09-28T16:13:53Z,ADB5615,"39.940109,32.907837",7900,215,316
1506615227,2017-09-28T16:13:47Z,ADB5615,"39.93576,32.913208",8075,214,315
1506615221,2017-09-28T16:13:41Z,ADB5615,"39.930927,32.919159",8250,215,314
1506615215,2017-09-28T16:13:35Z,ADB5615,"39.92688,32.924683",8425,216,312
1506615207,2017-09-28T16:13:27Z,ADB5615,"39.921524,32.933838",8700,216,300
1506615197,2017-09-28T16:13:17Z,ADB5615,"39.917984,32.944641",9000,216,284
1506615185,2017-09-28T16:13:05Z,ADB5615,"39.915379,32.9599",9350,217,283
1506615172,2017-09-28T16:12:52Z,ADB5615,"39.912445,32.975098",9650,220,283
1506615161,2017-09-28T16:12:41Z,ADB5615,"39.90942,32.990967",9700,231,283
1506615149,2017-09-28T16:12:29Z,ADB5615,"39.906162,33.007507",9925,237,284
1506615137,2017-09-28T16:12:17Z,ADB5615,"39.902664,33.024483",10225,239,285
1506615125,2017-09-28T16:12:05Z,ADB5615,"39.898727,33.041382",10375,236,287
1506615113,2017-09-28T16:11:53Z,ADB5615,"39.894524,33.057434",10525,238,287
1506615107,2017-09-28T16:11:47Z,ADB5615,"39.892776,33.065384",10650,239,286
1506615083,2017-09-28T16:11:23Z,ADB5615,"39.888798,33.099915",11200,241,266
1506615071,2017-09-28T16:11:11Z,ADB5615,"39.889587,33.117371",11425,245,266
1506615059,2017-09-28T16:10:59Z,ADB5615,"39.890335,33.135193",11650,246,266
1506615047,2017-09-28T16:10:47Z,ADB5615,"39.891312,33.15411",11675,256,265
1506615035,2017-09-28T16:10:35Z,ADB5615,"39.892593,33.172798",11725,265,264
1506615022,2017-09-28T16:10:22Z,ADB5615,"39.893967,33.191906",11975,264,265
1506614989,2017-09-28T16:09:49Z,ADB5615,"39.897354,33.244629",12800,267,265
1506614953,2017-09-28T16:09:13Z,ADB5615,"39.900295,33.303162",13625,272,266
1506614920,2017-09-28T16:08:40Z,ADB5615,"39.903122,33.359627",13825,298,266
1506614889,2017-09-28T16:08:09Z,ADB5615,"39.906326,33.415157",14775,305,264
1506614857,2017-09-28T16:07:37Z,ADB5615,"39.911095,33.476257",15925,307,265
1506614848,2017-09-28T16:07:28Z,ADB5615,"39.91198,33.492737",16250,307,266
1506614839,2017-09-28T16:07:19Z,ADB5615,"39.912643,33.510094",16550,308,268
1506614832,2017-09-28T16:07:12Z,ADB5615,"39.912724,33.520569",16700,310,271
1506614824,2017-09-28T16:07:04Z,ADB5615,"39.911407,33.53672",16975,310,281
1506614791,2017-09-28T16:06:31Z,ADB5615,"39.898106,33.597229",17750,315,288
