Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506683863,2017-09-29T11:17:43Z,ADB291F,"51.452301,5.38382",0,0,216
1506683843,2017-09-29T11:17:23Z,ADB291F,"51.452511,5.38406",0,6,215
1506683833,2017-09-29T11:17:13Z,ADB291F,"51.452801,5.38437",0,6,219
1506683822,2017-09-29T11:17:02Z,ADB291F,"51.452999,5.3846",0,6,222
1506683808,2017-09-29T11:16:48Z,ADB291F,"51.453369,5.38506",0,5,182
1506683798,2017-09-29T11:16:38Z,ADB291F,"51.45359,5.38493",0,5,122
1506683763,2017-09-29T11:16:03Z,ADB291F,"51.453331,5.38378",0,7,34
1506683753,2017-09-29T11:15:53Z,ADB291F,"51.45295,5.38336",0,8,32
1506683744,2017-09-29T11:15:44Z,ADB291F,"51.452728,5.38313",0,8,47
1506683718,2017-09-29T11:15:18Z,ADB291F,"51.452309,5.38229",0,4,144
1506683708,2017-09-29T11:15:08Z,ADB291F,"51.452572,5.38198",0,5,107
1506683694,2017-09-29T11:14:54Z,ADB291F,"51.452702,5.38132",0,12,124
1506683664,2017-09-29T11:14:24Z,ADB291F,"51.453751,5.3789",0,11,125
1506683658,2017-09-29T11:14:18Z,ADB291F,"51.453899,5.37857",0,11,125
1506683643,2017-09-29T11:14:03Z,ADB291F,"51.45446,5.37731",0,8,39
1506683611,2017-09-29T11:13:31Z,ADB291F,"51.454071,5.376129",0,31,33
1506683570,2017-09-29T11:12:50Z,ADB291F,"51.451199,5.372944",0,15,36
1506683560,2017-09-29T11:12:40Z,ADB291F,"51.450748,5.372444",0,32,36
1506683550,2017-09-29T11:12:30Z,ADB291F,"51.450119,5.371739",0,15,36
1506683497,2017-09-29T11:11:37Z,ADB291F,"51.44611,5.36724",0,23,36
1506683444,2017-09-29T11:10:44Z,ADB291F,"51.442085,5.362739",0,17,33
1506683428,2017-09-29T11:10:28Z,ADB291F,"51.441032,5.361532",0,30,213
1506683419,2017-09-29T11:10:19Z,ADB291F,"51.440586,5.361031",0,25,213
1506683408,2017-09-29T11:10:08Z,ADB291F,"51.440292,5.360737",0,24,213
1506683383,2017-09-29T11:09:43Z,ADB291F,"51.439407,5.361958",0,28,213
1506683348,2017-09-29T11:09:08Z,ADB291F,"51.442154,5.365596",0,38,213
1506683342,2017-09-29T11:09:02Z,ADB291F,"51.442726,5.366228",0,40,213
1506683322,2017-09-29T11:08:42Z,ADB291F,"51.44762,5.37172",0,72,216
1506683307,2017-09-29T11:08:27Z,ADB291F,"51.45166,5.37607",0,96,213
1506683297,2017-09-29T11:08:17Z,ADB291F,"51.456242,5.38116",0,122,214
1506683287,2017-09-29T11:08:07Z,ADB291F,"51.460739,5.38612",0,119,217
1506683277,2017-09-29T11:07:57Z,ADB291F,"51.4655,5.39147",100,120,217
1506683267,2017-09-29T11:07:47Z,ADB291F,"51.470539,5.39711",225,118,216
1506683257,2017-09-29T11:07:37Z,ADB291F,"51.47504,5.4023",325,122,214
1506683247,2017-09-29T11:07:27Z,ADB291F,"51.480148,5.4078",425,123,214
1506683237,2017-09-29T11:07:17Z,ADB291F,"51.48418,5.41247",525,120,217
1506683227,2017-09-29T11:07:07Z,ADB291F,"51.48912,5.41819",600,124,215
1506683218,2017-09-29T11:06:58Z,ADB291F,"51.49416,5.42361",725,123,214
1506683208,2017-09-29T11:06:48Z,ADB291F,"51.498692,5.42877",825,120,216
1506683197,2017-09-29T11:06:37Z,ADB291F,"51.503632,5.43422",925,121,218
1506683187,2017-09-29T11:06:27Z,ADB291F,"51.508419,5.43991",1025,125,217
1506683177,2017-09-29T11:06:17Z,ADB291F,"51.51387,5.44594",1125,136,214
1506683167,2017-09-29T11:06:07Z,ADB291F,"51.518379,5.45105",1250,138,213
1506683158,2017-09-29T11:05:58Z,ADB291F,"51.52409,5.45694",1425,137,213
1506683147,2017-09-29T11:05:47Z,ADB291F,"51.52927,5.46265",1625,137,215
1506683137,2017-09-29T11:05:37Z,ADB291F,"51.534439,5.4686",1775,140,216
1506683127,2017-09-29T11:05:27Z,ADB291F,"51.539791,5.47513",1850,148,217
1506683112,2017-09-29T11:05:12Z,ADB291F,"51.54874,5.4863",1825,165,218
1506683102,2017-09-29T11:05:02Z,ADB291F,"51.5555,5.4942",1875,177,214
1506683092,2017-09-29T11:04:52Z,ADB291F,"51.561859,5.50059",1925,180,207
1506683082,2017-09-29T11:04:42Z,ADB291F,"51.569679,5.50583",2025,172,199
1506683062,2017-09-29T11:04:22Z,ADB291F,"51.586208,5.51064",2200,175,178
1506683047,2017-09-29T11:04:07Z,ADB291F,"51.598969,5.50674",2325,183,151
1506683037,2017-09-29T11:03:57Z,ADB291F,"51.606121,5.4974",2475,191,125
1506683027,2017-09-29T11:03:47Z,ADB291F,"51.61134,5.48574",2625,196,125
1506683018,2017-09-29T11:03:38Z,ADB291F,"51.61647,5.47423",2750,199,125
1506683007,2017-09-29T11:03:27Z,ADB291F,"51.621868,5.462952",2850,202,127
1506682992,2017-09-29T11:03:12Z,ADB291F,"51.630341,5.444717",3075,197,127
1506682986,2017-09-29T11:03:06Z,ADB291F,"51.633087,5.4389",3175,197,128
1506682972,2017-09-29T11:02:52Z,ADB291F,"51.64201,5.42071",3600,196,119
1506682962,2017-09-29T11:02:42Z,ADB291F,"51.64608,5.40565",3900,204,105
1506682951,2017-09-29T11:02:31Z,ADB291F,"51.64888,5.39184",4150,204,104
1506682942,2017-09-29T11:02:22Z,ADB291F,"51.651482,5.37712",4425,206,104
1506682936,2017-09-29T11:02:16Z,ADB291F,"51.652969,5.36903",4575,206,104
1506682926,2017-09-29T11:02:06Z,ADB291F,"51.655651,5.35435",4875,206,104
1506682912,2017-09-29T11:01:52Z,ADB291F,"51.659962,5.33112",5325,207,104
1506682901,2017-09-29T11:01:41Z,ADB291F,"51.662601,5.31631",5625,206,104
1506682886,2017-09-29T11:01:26Z,ADB291F,"51.666889,5.2932",6100,204,104
1506682871,2017-09-29T11:01:11Z,ADB291F,"51.670719,5.27284",6500,204,104
1506682856,2017-09-29T11:00:56Z,ADB291F,"51.674938,5.25032",6900,207,104
1506682842,2017-09-29T11:00:42Z,ADB291F,"51.679409,5.22598",6800,236,106
1506682831,2017-09-29T11:00:31Z,ADB291F,"51.682571,5.20882",6825,245,106
1506682816,2017-09-29T11:00:16Z,ADB291F,"51.687561,5.18102",6925,257,105
1506682802,2017-09-29T11:00:02Z,ADB291F,"51.69241,5.15407",6975,262,104
1506682791,2017-09-29T10:59:51Z,ADB291F,"51.695889,5.1344",7000,262,104
1506682776,2017-09-29T10:59:36Z,ADB291F,"51.700878,5.10731",7075,260,104
1506682761,2017-09-29T10:59:21Z,ADB291F,"51.706188,5.07821",7150,258,104
1506682746,2017-09-29T10:59:06Z,ADB291F,"51.711441,5.04982",7200,266,104
1506682735,2017-09-29T10:58:55Z,ADB291F,"51.715069,5.03018",7225,273,104
1506682722,2017-09-29T10:58:42Z,ADB291F,"51.720249,5.0013",7300,281,104
1506682711,2017-09-29T10:58:31Z,ADB291F,"51.72382,4.98138",7375,288,106
1506682696,2017-09-29T10:58:16Z,ADB291F,"51.72982,4.94888",7675,289,106
1506682682,2017-09-29T10:58:02Z,ADB291F,"51.735458,4.91821",7925,291,106
1506682671,2017-09-29T10:57:51Z,ADB291F,"51.73951,4.8967",8075,294,106
1506682656,2017-09-29T10:57:36Z,ADB291F,"51.74514,4.86458",8550,293,106
1506682641,2017-09-29T10:57:21Z,ADB291F,"51.75082,4.83213",9275,290,103
1506682626,2017-09-29T10:57:06Z,ADB291F,"51.755711,4.80293",9875,289,103
1506682611,2017-09-29T10:56:51Z,ADB291F,"51.76099,4.77089",10525,291,103
1506682602,2017-09-29T10:56:42Z,ADB291F,"51.76392,4.74958",10850,297,102
1506682591,2017-09-29T10:56:31Z,ADB291F,"51.766693,4.730148",11125,301,104
1506682581,2017-09-29T10:56:21Z,ADB291F,"51.77092,4.708903",11200,306,114
1506682571,2017-09-29T10:56:11Z,ADB291F,"51.777786,4.688861",11250,308,129
1506682561,2017-09-29T10:56:01Z,ADB291F,"51.788223,4.673569",11375,308,146
1506682546,2017-09-29T10:55:46Z,ADB291F,"51.808411,4.65605",11550,316,152
1506682511,2017-09-29T10:55:11Z,ADB291F,"51.854279,4.619231",12200,330,153
1506682476,2017-09-29T10:54:36Z,ADB291F,"51.902664,4.580307",13175,334,153
1506682441,2017-09-29T10:54:01Z,ADB291F,"51.951599,4.540806",14025,344,153
1506682406,2017-09-29T10:53:26Z,ADB291F,"52.00264,4.499741",15000,351,153
1506682371,2017-09-29T10:52:51Z,ADB291F,"52.054459,4.457703",15975,359,153
1506682336,2017-09-29T10:52:16Z,ADB291F,"52.10614,4.415665",17100,362,153
1506682271,2017-09-29T10:51:11Z,ADB291F,"52.20076,4.338684",19975,334,153
1506682206,2017-09-29T10:50:06Z,ADB291F,"52.292828,4.26348",20425,352,153
1506682145,2017-09-29T10:49:05Z,ADB291F,"52.383453,4.188919",21800,372,153
1506682080,2017-09-29T10:48:00Z,ADB291F,"52.484024,4.105682",23775,382,152
1506682015,2017-09-29T10:46:55Z,ADB291F,"52.588806,4.018799",23975,387,153
1506681950,2017-09-29T10:45:50Z,ADB291F,"52.694431,3.930594",23975,386,153
1506681885,2017-09-29T10:44:45Z,ADB291F,"52.796036,3.845367",23975,385,153
1506681820,2017-09-29T10:43:40Z,ADB291F,"52.899216,3.758316",24000,383,152
1506681755,2017-09-29T10:42:35Z,ADB291F,"53.003815,3.667374",24025,382,150
1506681745,2017-09-29T10:42:25Z,ADB291F,"53.01704,3.654994",24000,383,150
1506681735,2017-09-29T10:42:15Z,ADB291F,"53.03231,3.640477",23950,382,151
1506681725,2017-09-29T10:42:05Z,ADB291F,"53.048035,3.628693",23950,379,162
1506681700,2017-09-29T10:41:40Z,ADB291F,"53.092129,3.617641",23975,373,173
1506681635,2017-09-29T10:40:35Z,ADB291F,"53.202736,3.597538",24000,373,173
1506681570,2017-09-29T10:39:30Z,ADB291F,"53.313717,3.577342",23950,373,173
1506681505,2017-09-29T10:38:25Z,ADB291F,"53.426376,3.555568",24075,374,172
1506681440,2017-09-29T10:37:20Z,ADB291F,"53.537121,3.531054",24875,372,173
1506681414,2017-09-29T10:36:54Z,ADB291F,"53.586235,3.526854",25075,373,182
1506681407,2017-09-29T10:36:47Z,ADB291F,"53.593216,3.527419",25100,373,184
1506681401,2017-09-29T10:36:41Z,ADB291F,"53.605865,3.52975",25100,373,188
1506681395,2017-09-29T10:36:35Z,ADB291F,"53.613373,3.532026",25125,373,192
1506681330,2017-09-29T10:35:30Z,ADB291F,"53.716675,3.612563",25800,378,207
1506681267,2017-09-29T10:34:27Z,ADB291F,"53.81369,3.697213",27700,379,207
1506681204,2017-09-29T10:33:24Z,ADB291F,"53.914261,3.785339",29725,396,207
1506681143,2017-09-29T10:32:23Z,ADB291F,"54.012497,3.871896",30900,399,207
1506681080,2017-09-29T10:31:20Z,ADB291F,"54.116638,3.96426",31000,401,207
1506681017,2017-09-29T10:30:17Z,ADB291F,"54.220695,4.057106",31000,400,207
1506680954,2017-09-29T10:29:14Z,ADB291F,"54.323502,4.149278",31000,396,207
1506680891,2017-09-29T10:28:11Z,ADB291F,"54.425804,4.241388",30975,398,207
1506680814,2017-09-29T10:26:54Z,ADB291F,"54.552471,4.356828",31000,401,208
1506680751,2017-09-29T10:25:51Z,ADB291F,"54.658039,4.46029",31350,406,210
1506680690,2017-09-29T10:24:50Z,ADB291F,"54.761589,4.56307",32000,409,210
1506680629,2017-09-29T10:23:49Z,ADB291F,"54.85524,4.65659",32000,409,210
1506680560,2017-09-29T10:22:40Z,ADB291F,"54.96904,4.770894",32000,409,210
1506680497,2017-09-29T10:21:37Z,ADB291F,"55.070938,4.873971",31975,409,210
1506680434,2017-09-29T10:20:34Z,ADB291F,"55.173431,4.978221",31975,410,210
1506680371,2017-09-29T10:19:31Z,ADB291F,"55.275288,5.082758",32000,410,210
1506680310,2017-09-29T10:18:30Z,ADB291F,"55.373886,5.184093",32000,410,210
1506680247,2017-09-29T10:17:27Z,ADB291F,"55.477745,5.291634",32000,411,210
1506680184,2017-09-29T10:16:24Z,ADB291F,"55.581528,5.399864",31975,411,210
1506680121,2017-09-29T10:15:21Z,ADB291F,"55.684891,5.508229",31975,413,210
1506680058,2017-09-29T10:14:18Z,ADB291F,"55.790634,5.619673",32000,417,210
1506679994,2017-09-29T10:13:14Z,ADB291F,"55.894249,5.729799",32000,422,210
1506679931,2017-09-29T10:12:11Z,ADB291F,"56.000851,5.843868",32000,427,210
1506679868,2017-09-29T10:11:08Z,ADB291F,"56.108528,5.959482",32025,431,210
1506679805,2017-09-29T10:10:05Z,ADB291F,"56.21653,6.076469",32025,432,211
1506679741,2017-09-29T10:09:01Z,ADB291F,"56.325211,6.194957",32025,433,211
1506679678,2017-09-29T10:07:58Z,ADB291F,"56.433243,6.313726",32000,432,211
1506679615,2017-09-29T10:06:55Z,ADB291F,"56.541092,6.432753",32000,432,211
1506679551,2017-09-29T10:05:51Z,ADB291F,"56.649044,6.55299",32000,431,211
1506679488,2017-09-29T10:04:48Z,ADB291F,"56.756607,6.673336",32025,430,211
1506679427,2017-09-29T10:03:47Z,ADB291F,"56.858322,6.788263",32000,432,211
1506679361,2017-09-29T10:02:41Z,ADB291F,"56.970657,6.915894",32025,433,211
1506679298,2017-09-29T10:01:38Z,ADB291F,"57.078072,7.038338",32025,434,212
1506679235,2017-09-29T10:00:35Z,ADB291F,"57.186859,7.163601",32000,435,212
1506679174,2017-09-29T09:59:34Z,ADB291F,"57.289169,7.282133",32000,436,212
1506679111,2017-09-29T09:58:31Z,ADB291F,"57.397282,7.408418",32000,437,212
1506679050,2017-09-29T09:57:30Z,ADB291F,"57.500015,7.529325",32000,436,212
