Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506793544,2017-09-30T17:45:44Z,ADB2193,"17.813726,-63.440601",4550,212,34
1506793538,2017-09-30T17:45:38Z,ADB2193,"17.810165,-63.443008",4575,215,34
1506793530,2017-09-30T17:45:30Z,ADB2193,"17.802414,-63.448643",4600,223,34
1506793523,2017-09-30T17:45:23Z,ADB2193,"17.797106,-63.452419",4625,229,34
1506793489,2017-09-30T17:44:49Z,ADB2193,"17.764252,-63.476307",4975,251,34
1506793476,2017-09-30T17:44:36Z,ADB2193,"17.753395,-63.484005",5025,258,34
1506793464,2017-09-30T17:44:24Z,ADB2193,"17.74143,-63.492638",5200,260,35
1506793451,2017-09-30T17:44:11Z,ADB2193,"17.729233,-63.501614",5600,259,34
1506793439,2017-09-30T17:43:59Z,ADB2193,"17.716187,-63.511047",5950,264,34
1506793427,2017-09-30T17:43:47Z,ADB2193,"17.704096,-63.519665",6275,267,34
1506793414,2017-09-30T17:43:34Z,ADB2193,"17.691387,-63.528885",6675,268,34
1506793402,2017-09-30T17:43:22Z,ADB2193,"17.678631,-63.538204",7050,269,34
1506793389,2017-09-30T17:43:09Z,ADB2193,"17.665558,-63.547718",7425,271,34
1506793377,2017-09-30T17:42:57Z,ADB2193,"17.652969,-63.556919",7775,273,34
1506793364,2017-09-30T17:42:44Z,ADB2193,"17.639374,-63.56675",8175,276,34
1506793352,2017-09-30T17:42:32Z,ADB2193,"17.626261,-63.576065",8525,279,34
1506793336,2017-09-30T17:42:16Z,ADB2193,"17.609711,-63.588047",9000,281,34
1506793324,2017-09-30T17:42:04Z,ADB2193,"17.596481,-63.597687",9400,283,34
1506793312,2017-09-30T17:41:52Z,ADB2193,"17.58284,-63.607418",9775,286,34
1506793300,2017-09-30T17:41:40Z,ADB2193,"17.569656,-63.616959",10100,289,34
1506793288,2017-09-30T17:41:28Z,ADB2193,"17.555733,-63.626682",10550,290,33
1506793275,2017-09-30T17:41:15Z,ADB2193,"17.542191,-63.636139",10925,292,32
1506793267,2017-09-30T17:41:07Z,ADB2193,"17.531113,-63.643318",11225,294,31
1506793260,2017-09-30T17:41:00Z,ADB2193,"17.524218,-63.64777",11425,294,32
1506793226,2017-09-30T17:40:26Z,ADB2193,"17.489023,-63.679947",12575,298,43
1506793192,2017-09-30T17:39:52Z,ADB2193,"17.453783,-63.715847",13750,304,44
1506793160,2017-09-30T17:39:20Z,ADB2193,"17.422268,-63.747677",14425,308,44
1506793129,2017-09-30T17:38:49Z,ADB2193,"17.389309,-63.781178",14950,318,44
1506793098,2017-09-30T17:38:18Z,ADB2193,"17.356398,-63.814625",15025,322,44
1506793066,2017-09-30T17:37:46Z,ADB2193,"17.322414,-63.849056",15025,331,43
1506793035,2017-09-30T17:37:15Z,ADB2193,"17.288269,-63.883907",15025,335,44
1506793002,2017-09-30T17:36:42Z,ADB2193,"17.250183,-63.922264",15200,344,44
1506792971,2017-09-30T17:36:11Z,ADB2193,"17.214132,-63.958775",15525,362,44
1506792938,2017-09-30T17:35:38Z,ADB2193,"17.172134,-64.00148",16350,370,44
1506792906,2017-09-30T17:35:06Z,ADB2193,"17.133783,-64.040382",17325,374,44
1506792844,2017-09-30T17:34:04Z,ADB2193,"17.055817,-64.119202",19225,382,44
1506792783,2017-09-30T17:33:03Z,ADB2193,"16.976074,-64.199715",21025,396,44
1506792720,2017-09-30T17:32:00Z,ADB2193,"16.893202,-64.283508",23125,405,44
1506792659,2017-09-30T17:30:59Z,ADB2193,"16.809967,-64.367569",25625,408,44
1506792598,2017-09-30T17:29:58Z,ADB2193,"16.726173,-64.452179",28075,417,44
1506792536,2017-09-30T17:28:56Z,ADB2193,"16.638611,-64.540146",30600,435,44
1506792475,2017-09-30T17:27:55Z,ADB2193,"16.546854,-64.632179",32225,453,43
1506792414,2017-09-30T17:26:54Z,ADB2193,"16.453491,-64.725662",32950,456,43
1506792353,2017-09-30T17:25:53Z,ADB2193,"16.359833,-64.819435",32975,452,44
1506792291,2017-09-30T17:24:51Z,ADB2193,"16.266815,-64.912331",32900,451,44
1506792230,2017-09-30T17:23:50Z,ADB2193,"16.174759,-65.004272",32925,448,43
1506792142,2017-09-30T17:22:22Z,ADB2193,"16.042831,-65.135628",32950,446,43
1506792097,2017-09-30T17:21:37Z,ADB2193,"15.976356,-65.201942",32950,445,43
1506792033,2017-09-30T17:20:33Z,ADB2193,"15.877533,-65.300034",32925,445,43
1506791969,2017-09-30T17:19:29Z,ADB2193,"15.782885,-65.393814",32900,444,43
1506791883,2017-09-30T17:18:03Z,ADB2193,"15.653275,-65.522415",32950,448,43
1506791857,2017-09-30T17:17:37Z,ADB2193,"15.615902,-65.559441",32925,449,43
1506791705,2017-09-30T17:15:05Z,ADB2193,"15.382814,-65.790596",32975,451,43
1506791645,2017-09-30T17:14:05Z,ADB2193,"15.295898,-65.876625",32950,450,43
1506791583,2017-09-30T17:13:03Z,ADB2193,"15.201462,-65.968567",32975,447,43
1506790643,2017-09-30T16:57:23Z,ADB2193,"13.851013,-67.300919",26550,413,41
1506790500,2017-09-30T16:55:00Z,ADB2193,"13.65678,-67.500572",25150,394,46
1506790490,2017-09-30T16:54:50Z,ADB2193,"13.64595,-67.511902",25075,394,46
1506790425,2017-09-30T16:53:45Z,ADB2193,"13.56102,-67.600487",24175,395,46
1506790360,2017-09-30T16:52:40Z,ADB2193,"13.47766,-67.68763",23350,398,44
1506790295,2017-09-30T16:51:35Z,ADB2193,"13.39294,-67.776062",22300,395,46
1506790230,2017-09-30T16:50:30Z,ADB2193,"13.30843,-67.864304",21375,391,46
1506790166,2017-09-30T16:49:26Z,ADB2193,"13.22405,-67.950729",20475,393,45
1506790101,2017-09-30T16:48:21Z,ADB2193,"13.14193,-68.036163",19600,377,46
1506790035,2017-09-30T16:47:15Z,ADB2193,"13.06065,-68.120872",18450,374,46
1506790000,2017-09-30T16:46:40Z,ADB2193,"13.01815,-68.164818",17975,372,45
1506789965,2017-09-30T16:46:05Z,ADB2193,"12.97583,-68.208809",17400,367,44
1506789930,2017-09-30T16:45:30Z,ADB2193,"12.93434,-68.251953",16825,356,46
1506789895,2017-09-30T16:44:55Z,ADB2193,"12.89333,-68.294518",16250,352,46
1506789861,2017-09-30T16:44:21Z,ADB2193,"12.85228,-68.336937",15600,348,46
1506789830,2017-09-30T16:43:50Z,ADB2193,"12.81793,-68.372559",15050,350,46
1506789795,2017-09-30T16:43:15Z,ADB2193,"12.77884,-68.413712",14475,336,46
1506789761,2017-09-30T16:42:41Z,ADB2193,"12.74025,-68.454437",13800,331,47
1506789730,2017-09-30T16:42:10Z,ADB2193,"12.70747,-68.489014",13050,331,47
1506789695,2017-09-30T16:41:35Z,ADB2193,"12.66961,-68.529152",12275,329,47
1506789681,2017-09-30T16:41:21Z,ADB2193,"12.65341,-68.54631",11975,333,46
1506789670,2017-09-30T16:41:10Z,ADB2193,"12.6427,-68.55777",11750,331,46
1506789655,2017-09-30T16:40:55Z,ADB2193,"12.62631,-68.574959",11375,331,46
1506789641,2017-09-30T16:40:41Z,ADB2193,"12.6103,-68.591743",11100,326,46
1506789630,2017-09-30T16:40:30Z,ADB2193,"12.59997,-68.602821",10875,323,46
1506789620,2017-09-30T16:40:20Z,ADB2193,"12.58951,-68.613449",10625,318,43
1506789605,2017-09-30T16:40:05Z,ADB2193,"12.57202,-68.6287",10275,319,36
1506789590,2017-09-30T16:39:50Z,ADB2193,"12.55362,-68.641441",9900,318,34
1506789575,2017-09-30T16:39:35Z,ADB2193,"12.53456,-68.654427",9475,317,34
1506789561,2017-09-30T16:39:21Z,ADB2193,"12.51581,-68.667198",9050,317,34
1506789550,2017-09-30T16:39:10Z,ADB2193,"12.5034,-68.675728",8800,316,34
1506789535,2017-09-30T16:38:55Z,ADB2193,"12.48445,-68.688751",8400,314,34
1506789520,2017-09-30T16:38:40Z,ADB2193,"12.4655,-68.701721",7950,314,34
1506789505,2017-09-30T16:38:25Z,ADB2193,"12.44709,-68.714333",7575,312,34
1506789490,2017-09-30T16:38:10Z,ADB2193,"12.42898,-68.726852",7200,315,33
1506789470,2017-09-30T16:37:50Z,ADB2193,"12.40462,-68.743301",6650,314,33
1506789455,2017-09-30T16:37:35Z,ADB2193,"12.38603,-68.75618",6225,312,34
1506789440,2017-09-30T16:37:20Z,ADB2193,"12.36859,-68.767967",5875,308,33
1506789425,2017-09-30T16:37:05Z,ADB2193,"12.35087,-68.780151",5475,299,34
1506789411,2017-09-30T16:36:51Z,ADB2193,"12.33271,-68.792442",5000,299,34
1506789405,2017-09-30T16:36:45Z,ADB2193,"12.32652,-68.796677",4825,307,33
1506789395,2017-09-30T16:36:35Z,ADB2193,"12.31512,-68.804527",4575,299,34
1506789385,2017-09-30T16:36:25Z,ADB2193,"12.30267,-68.812912",4275,297,34
