Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1498982198,2017-07-02T07:56:38Z,ADB2110,"43.063995,74.502686",0,23,90
1498982192,2017-07-02T07:56:32Z,ADB2110,"43.063946,74.502251",0,27,90
1498982185,2017-07-02T07:56:25Z,ADB2110,"43.064095,74.501884",0,31,90
1498982176,2017-07-02T07:56:16Z,ADB2110,"43.064312,74.500969",0,19,81
1498982170,2017-07-02T07:56:10Z,ADB2110,"43.064205,74.500038",0,23,81
1498982160,2017-07-02T07:56:00Z,ADB2110,"43.064072,74.498787",0,28,81
1498982154,2017-07-02T07:55:54Z,ADB2110,"43.063927,74.49765",0,37,78
1498982148,2017-07-02T07:55:48Z,ADB2110,"43.063648,74.495613",0,51,81
1498982138,2017-07-02T07:55:38Z,ADB2110,"43.063194,74.491928",0,68,81
1498982132,2017-07-02T07:55:32Z,ADB2110,"43.062859,74.489464",0,78,78
1498982125,2017-07-02T07:55:25Z,ADB2110,"43.062515,74.486694",0,82,78
1498982119,2017-07-02T07:55:19Z,ADB2110,"43.062069,74.483315",0,96,81
1498982113,2017-07-02T07:55:13Z,ADB2110,"43.061378,74.477966",0,110,78
1498982106,2017-07-02T07:55:06Z,ADB2110,"43.060741,74.47316",0,125,78
1498982099,2017-07-02T07:54:59Z,ADB2110,"43.060097,74.468109",0,140,81
1498982093,2017-07-02T07:54:53Z,ADB2110,"43.059353,74.462456",0,160,78
1498982086,2017-07-02T07:54:46Z,ADB2110,"43.058441,74.455307",2175,167,80
1498982080,2017-07-02T07:54:40Z,ADB2110,"43.057617,74.449043",2250,171,80
1498982073,2017-07-02T07:54:33Z,ADB2110,"43.056675,74.441528",2375,173,80
1498982066,2017-07-02T07:54:26Z,ADB2110,"43.055744,74.434464",2475,172,79
1498982060,2017-07-02T07:54:20Z,ADB2110,"43.054916,74.427963",2575,171,79
1498982054,2017-07-02T07:54:14Z,ADB2110,"43.054001,74.421135",2650,171,80
1498982048,2017-07-02T07:54:08Z,ADB2110,"43.053177,74.414619",2750,170,80
1498982042,2017-07-02T07:54:02Z,ADB2110,"43.052395,74.408569",2800,171,80
1498982035,2017-07-02T07:53:55Z,ADB2110,"43.051464,74.401115",2900,171,80
1498982029,2017-07-02T07:53:49Z,ADB2110,"43.050484,74.394768",3000,172,79
1498982022,2017-07-02T07:53:42Z,ADB2110,"43.049652,74.387276",3125,174,79
1498982016,2017-07-02T07:53:36Z,ADB2110,"43.048782,74.380699",3250,175,80
1498982010,2017-07-02T07:53:30Z,ADB2110,"43.04797,74.374306",3350,176,80
1498982004,2017-07-02T07:53:24Z,ADB2110,"43.047134,74.367371",3450,179,81
1498981998,2017-07-02T07:53:18Z,ADB2110,"43.046249,74.360374",3525,180,79
1498981992,2017-07-02T07:53:12Z,ADB2110,"43.045273,74.35331",3550,188,78
1498981985,2017-07-02T07:53:05Z,ADB2110,"43.044155,74.346054",3575,191,77
1498981979,2017-07-02T07:52:59Z,ADB2110,"43.042923,74.338669",3550,192,76
1498981973,2017-07-02T07:52:53Z,ADB2110,"43.041546,74.331337",3525,192,75
1498981966,2017-07-02T07:52:46Z,ADB2110,"43.040058,74.323952",3550,192,73
1498981942,2017-07-02T07:52:22Z,ADB2110,"43.035645,74.292549",3825,211,98
1498981935,2017-07-02T07:52:15Z,ADB2110,"43.037079,74.283928",3925,216,112
1498981929,2017-07-02T07:52:09Z,ADB2110,"43.039963,74.276733",4050,219,125
1498981923,2017-07-02T07:52:03Z,ADB2110,"43.04393,74.270386",4125,224,135
