Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1502829461,2017-08-15T20:37:41Z,ADB3855,"24.119972,47.575516",2525,165,175
1502829455,2017-08-15T20:37:35Z,ADB3855,"24.123741,47.575153",2600,165,175
1502829449,2017-08-15T20:37:29Z,ADB3855,"24.129002,47.574688",2675,167,175
1502829442,2017-08-15T20:37:22Z,ADB3855,"24.132614,47.574413",2750,169,176
1502829436,2017-08-15T20:37:16Z,ADB3855,"24.137661,47.574066",2825,172,176
1502829430,2017-08-15T20:37:10Z,ADB3855,"24.14241,47.57365",2925,173,175
1502829424,2017-08-15T20:37:04Z,ADB3855,"24.147079,47.573193",3000,172,174
1502829418,2017-08-15T20:36:58Z,ADB3855,"24.151999,47.572666",3075,170,174
1502829412,2017-08-15T20:36:52Z,ADB3855,"24.1567,47.572147",3175,171,175
1502829406,2017-08-15T20:36:46Z,ADB3855,"24.161776,47.571682",3275,173,175
1502829400,2017-08-15T20:36:40Z,ADB3855,"24.166477,47.57132",3375,175,176
1502829394,2017-08-15T20:36:34Z,ADB3855,"24.171225,47.570957",3475,177,176
1502829388,2017-08-15T20:36:28Z,ADB3855,"24.176161,47.570595",3575,175,175
1502829380,2017-08-15T20:36:20Z,ADB3855,"24.183609,47.570023",3750,168,175
1502829374,2017-08-15T20:36:14Z,ADB3855,"24.188324,47.56963",3775,165,175
1502829367,2017-08-15T20:36:07Z,ADB3855,"24.193085,47.569172",3750,166,174
1502829358,2017-08-15T20:35:58Z,ADB3855,"24.200926,47.568211",3750,169,173
1502829352,2017-08-15T20:35:52Z,ADB3855,"24.204742,47.567692",3750,171,172
1502829346,2017-08-15T20:35:46Z,ADB3855,"24.209656,47.567089",3775,173,173
1502829340,2017-08-15T20:35:40Z,ADB3855,"24.214378,47.566498",3800,176,174
1502829334,2017-08-15T20:35:34Z,ADB3855,"24.219315,47.565968",3825,183,175
1502829328,2017-08-15T20:35:28Z,ADB3855,"24.224442,47.56551",3850,191,176
1502829322,2017-08-15T20:35:22Z,ADB3855,"24.230759,47.565258",3900,200,178
1502829316,2017-08-15T20:35:16Z,ADB3855,"24.235611,47.565205",3900,208,180
1502829310,2017-08-15T20:35:10Z,ADB3855,"24.241566,47.565308",3925,217,181
1502829304,2017-08-15T20:35:04Z,ADB3855,"24.247805,47.565514",4050,220,182
1502829298,2017-08-15T20:34:58Z,ADB3855,"24.25474,47.565983",4200,220,184
1502829292,2017-08-15T20:34:52Z,ADB3855,"24.260187,47.566605",4300,222,187
1502829286,2017-08-15T20:34:46Z,ADB3855,"24.266472,47.567692",4450,223,189
1502829280,2017-08-15T20:34:40Z,ADB3855,"24.272781,47.568867",4600,223,188
1502829274,2017-08-15T20:34:34Z,ADB3855,"24.278482,47.569763",4750,223,185
1502829262,2017-08-15T20:34:22Z,ADB3855,"24.29133,47.570957",5025,224,184
1502829250,2017-08-15T20:34:10Z,ADB3855,"24.303993,47.571991",5325,226,184
1502829237,2017-08-15T20:33:57Z,ADB3855,"24.316681,47.57304",5600,227,184
1502829225,2017-08-15T20:33:45Z,ADB3855,"24.329411,47.574066",5900,228,184
1502829213,2017-08-15T20:33:33Z,ADB3855,"24.342352,47.575153",6200,230,183
1502829201,2017-08-15T20:33:21Z,ADB3855,"24.3552,47.576138",6500,231,183
1502829189,2017-08-15T20:33:09Z,ADB3855,"24.368095,47.577175",6800,231,184
1502829177,2017-08-15T20:32:57Z,ADB3855,"24.3815,47.578278",7075,233,184
1502829165,2017-08-15T20:32:45Z,ADB3855,"24.394592,47.579346",7400,234,184
1502829153,2017-08-15T20:32:33Z,ADB3855,"24.407431,47.580441",7700,235,184
1502829083,2017-08-15T20:31:23Z,ADB3855,"24.490391,47.586449",9075,261,183
1502829058,2017-08-15T20:30:58Z,ADB3855,"24.51672,47.588139",9275,273,183
1502829043,2017-08-15T20:30:43Z,ADB3855,"24.53586,47.58947",9375,274,183
1502829028,2017-08-15T20:30:28Z,ADB3855,"24.55686,47.590912",9400,292,183
1502829013,2017-08-15T20:30:13Z,ADB3855,"24.57733,47.592319",9475,292,183
1502828998,2017-08-15T20:29:58Z,ADB3855,"24.59857,47.593761",9550,309,183
1502828983,2017-08-15T20:29:43Z,ADB3855,"24.623341,47.59552",9850,303,183
1502828968,2017-08-15T20:29:28Z,ADB3855,"24.64201,47.59687",10100,304,183
1502828953,2017-08-15T20:29:13Z,ADB3855,"24.66444,47.598518",10400,305,183
1502828938,2017-08-15T20:28:58Z,ADB3855,"24.69182,47.600609",10775,306,184
1502828923,2017-08-15T20:28:43Z,ADB3855,"24.707569,47.601879",10950,308,184
1502828908,2017-08-15T20:28:28Z,ADB3855,"24.729059,47.6036",11200,310,184
1502828893,2017-08-15T20:28:13Z,ADB3855,"24.752331,47.605438",11475,320,183
1502828878,2017-08-15T20:27:58Z,ADB3855,"24.77412,47.607079",11725,321,183
1502828843,2017-08-15T20:27:23Z,ADB3855,"24.82663,47.61039",12400,324,181
1502828833,2017-08-15T20:27:13Z,ADB3855,"24.841999,47.610809",12575,325,180
1502828823,2017-08-15T20:27:03Z,ADB3855,"24.857031,47.610439",12800,324,176
1502828813,2017-08-15T20:26:53Z,ADB3855,"24.87648,47.608292",12975,318,162
1502828804,2017-08-15T20:26:44Z,ADB3855,"24.886959,47.605289",13100,325,158
1502828798,2017-08-15T20:26:38Z,ADB3855,"24.893459,47.602081",13200,325,151
1502828768,2017-08-15T20:26:08Z,ADB3855,"24.92989,47.571991",13200,314,140
1502828733,2017-08-15T20:25:33Z,ADB3855,"24.97113,47.536079",13175,326,141
1502828698,2017-08-15T20:24:58Z,ADB3855,"25.012659,47.499649",13275,330,141
