Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505769037,2017-09-18T21:10:37Z,ADB2175,"51.408604,12.208672",0,0,165
1505769025,2017-09-18T21:10:25Z,ADB2175,"51.408714,12.208465",0,13,267
1505769010,2017-09-18T21:10:10Z,ADB2175,"51.408886,12.20813",0,13,267
1505768998,2017-09-18T21:09:58Z,ADB2175,"51.409046,12.207833",0,15,267
1505768989,2017-09-18T21:09:49Z,ADB2175,"51.409149,12.207527",0,16,267
1505768983,2017-09-18T21:09:43Z,ADB2175,"51.409161,12.20726",0,16,267
1505768977,2017-09-18T21:09:37Z,ADB2175,"51.409149,12.206998",0,16,267
1505768971,2017-09-18T21:09:31Z,ADB2175,"51.409138,12.206745",0,16,267
1505768965,2017-09-18T21:09:25Z,ADB2175,"51.409126,12.206402",0,20,267
1505768959,2017-09-18T21:09:19Z,ADB2175,"51.409103,12.206097",0,20,267
1505768953,2017-09-18T21:09:13Z,ADB2175,"51.409069,12.205658",0,19,267
1505768938,2017-09-18T21:08:58Z,ADB2175,"51.409069,12.205142",0,14,267
1505768932,2017-09-18T21:08:52Z,ADB2175,"51.409069,12.204933",0,16,267
1505768916,2017-09-18T21:08:36Z,ADB2175,"51.409332,12.204419",0,18,267
1505768910,2017-09-18T21:08:30Z,ADB2175,"51.409573,12.204382",0,18,267
1505768902,2017-09-18T21:08:22Z,ADB2175,"51.409836,12.204641",0,18,267
1505768889,2017-09-18T21:08:09Z,ADB2175,"51.40995,12.205106",0,19,267
1505768883,2017-09-18T21:08:03Z,ADB2175,"51.409966,12.205429",0,20,267
1505768877,2017-09-18T21:07:57Z,ADB2175,"51.409977,12.205772",0,20,267
1505768871,2017-09-18T21:07:51Z,ADB2175,"51.409988,12.206154",0,24,267
1505768862,2017-09-18T21:07:42Z,ADB2175,"51.410023,12.206879",0,30,267
1505768856,2017-09-18T21:07:36Z,ADB2175,"51.410057,12.207508",0,29,267
1505768850,2017-09-18T21:07:30Z,ADB2175,"51.41008,12.208157",0,15,267
1505768842,2017-09-18T21:07:22Z,ADB2175,"51.410122,12.209132",0,15,264
1505768835,2017-09-18T21:07:15Z,ADB2175,"51.410156,12.209782",0,15,264
1505768829,2017-09-18T21:07:09Z,ADB2175,"51.410179,12.21045",0,17,264
1505768823,2017-09-18T21:07:03Z,ADB2175,"51.410225,12.211248",0,17,267
1505768817,2017-09-18T21:06:57Z,ADB2175,"51.410259,12.211953",0,17,264
1505768808,2017-09-18T21:06:48Z,ADB2175,"51.410336,12.213116",0,16,261
1505768802,2017-09-18T21:06:42Z,ADB2175,"51.410442,12.213879",0,15,250
1505768796,2017-09-18T21:06:36Z,ADB2175,"51.410568,12.214527",0,15,247
1505768790,2017-09-18T21:06:30Z,ADB2175,"51.41074,12.215145",0,16,244
