Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506694814,2017-09-29T14:20:14Z,ADB273F,"51.408783,12.208298",0,9,264
1506694796,2017-09-29T14:19:56Z,ADB273F,"51.408962,12.207966",0,15,264
1506694784,2017-09-29T14:19:44Z,ADB273F,"51.409126,12.207527",0,17,264
1506694772,2017-09-29T14:19:32Z,ADB273F,"51.409115,12.20672",0,26,264
1506694766,2017-09-29T14:19:26Z,ADB273F,"51.409092,12.20623",0,26,264
1506694757,2017-09-29T14:19:17Z,ADB273F,"51.409069,12.205772",0,24,264
1506694750,2017-09-29T14:19:10Z,ADB273F,"51.409058,12.205179",0,20,264
1506694744,2017-09-29T14:19:04Z,ADB273F,"51.409058,12.204971",0,18,264
1506694730,2017-09-29T14:18:50Z,ADB273F,"51.409252,12.204475",0,17,264
1506694718,2017-09-29T14:18:38Z,ADB273F,"51.409626,12.204418",0,20,264
1506694708,2017-09-29T14:18:28Z,ADB273F,"51.40987,12.204808",0,23,264
1506694700,2017-09-29T14:18:20Z,ADB273F,"51.40995,12.205458",0,28,264
1506694684,2017-09-29T14:18:04Z,ADB273F,"51.410023,12.207317",0,18,264
1506694676,2017-09-29T14:17:56Z,ADB273F,"51.410076,12.208557",0,17,264
1506694670,2017-09-29T14:17:50Z,ADB273F,"51.410103,12.209053",0,18,267
1506694663,2017-09-29T14:17:43Z,ADB273F,"51.410133,12.209856",0,17,264
1506694652,2017-09-29T14:17:32Z,ADB273F,"51.41021,12.21138",0,17,267
1506694646,2017-09-29T14:17:26Z,ADB273F,"51.410244,12.212086",0,17,267
1506694637,2017-09-29T14:17:17Z,ADB273F,"51.410316,12.213308",0,17,264
1506694630,2017-09-29T14:17:10Z,ADB273F,"51.410339,12.214087",0,17,264
1506694621,2017-09-29T14:17:01Z,ADB273F,"51.410397,12.215294",0,18,264
1506694613,2017-09-29T14:16:53Z,ADB273F,"51.410454,12.216434",0,16,267
1506694606,2017-09-29T14:16:46Z,ADB273F,"51.410488,12.217236",0,19,264
1506694600,2017-09-29T14:16:40Z,ADB273F,"51.410534,12.218245",0,21,267
1506694594,2017-09-29T14:16:34Z,ADB273F,"51.410568,12.219048",0,21,264
1506694564,2017-09-29T14:16:04Z,ADB273F,"51.410786,12.223905",0,22,264
1506694552,2017-09-29T14:15:52Z,ADB273F,"51.410885,12.22559",0,22,264
1506694544,2017-09-29T14:15:44Z,ADB273F,"51.410942,12.227135",0,18,267
1506694538,2017-09-29T14:15:38Z,ADB273F,"51.410965,12.227707",0,20,267
1506694490,2017-09-29T14:14:50Z,ADB273F,"51.411346,12.235485",0,24,267
1506694472,2017-09-29T14:14:32Z,ADB273F,"51.411476,12.23835",0,26,264
1506694454,2017-09-29T14:14:14Z,ADB273F,"51.411621,12.24133",0,22,264
1506694448,2017-09-29T14:14:08Z,ADB273F,"51.411655,12.242481",0,17,267
1506694424,2017-09-29T14:13:44Z,ADB273F,"51.41217,12.2443",0,29,90
1506694405,2017-09-29T14:13:25Z,ADB273F,"51.413109,12.244578",0,27,90
