Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1499120926,2017-07-03T22:28:46Z,ADB353F,"38.13142,27.429127",6808,203,223
1499120895,2017-07-03T22:28:15Z,ADB353F,"38.133896,27.432186",7000,199,222
1499120889,2017-07-03T22:28:09Z,ADB353F,"38.136234,27.434874",7050,200,222
1499120160,2017-07-03T22:16:00Z,ADB353F,"38.54707,28.497828",18200,288,259
1499120117,2017-07-03T22:15:17Z,ADB353F,"38.548016,28.504841",18250,300,259
1499120058,2017-07-03T22:14:18Z,ADB353F,"38.566135,28.628281",19925,312,259
1499119988,2017-07-03T22:13:08Z,ADB353F,"38.583511,28.742178",21975,313,259
1499119899,2017-07-03T22:11:39Z,ADB353F,"38.607544,28.900837",24625,319,260
1499119881,2017-07-03T22:11:21Z,ADB353F,"38.612015,28.931101",25149,320,263
1499119820,2017-07-03T22:10:20Z,ADB353F,"38.62627,29.064802",27075,339,263
1499119757,2017-07-03T22:09:17Z,ADB353F,"38.638237,29.188715",29422,350,263
1499119691,2017-07-03T22:08:11Z,ADB353F,"38.650646,29.32461",31175,372,263
1499119629,2017-07-03T22:07:09Z,ADB353F,"38.663906,29.45492",32025,376,261
1499119567,2017-07-03T22:06:07Z,ADB353F,"38.682949,29.604696",32000,380,261
1499119502,2017-07-03T22:05:02Z,ADB353F,"38.700134,29.740156",32000,382,261
1499119441,2017-07-03T22:04:01Z,ADB353F,"38.716206,29.874252",31999,383,261
1499119378,2017-07-03T22:02:58Z,ADB353F,"38.736313,30.027609",32000,383,260
1499119316,2017-07-03T22:01:56Z,ADB353F,"38.754448,30.162783",31975,384,260
1499119254,2017-07-03T22:00:54Z,ADB353F,"38.77206,30.303892",31975,385,261
1499119190,2017-07-03T21:59:50Z,ADB353F,"38.785507,30.440535",31950,386,258
1499119128,2017-07-03T21:58:48Z,ADB353F,"38.806671,30.588266",31925,390,259
1499119061,2017-07-03T21:57:41Z,ADB353F,"38.824757,30.742004",31975,384,257
1499119054,2017-07-03T21:57:34Z,ADB353F,"38.825649,30.749292",31975,384,253
1499119046,2017-07-03T21:57:26Z,ADB353F,"38.830708,30.77256",31975,384,250
1499119039,2017-07-03T21:57:19Z,ADB353F,"38.835171,30.789217",31975,384,245
1499119029,2017-07-03T21:57:09Z,ADB353F,"38.840202,30.806219",31975,384,231
1499118998,2017-07-03T21:56:38Z,ADB353F,"38.864403,30.849428",31975,380,206
1499118942,2017-07-03T21:55:42Z,ADB353F,"38.868904,30.993633",31924,380,288
1499118915,2017-07-03T21:55:15Z,ADB353F,"38.8624,31.056747",31950,378,258
1499118824,2017-07-03T21:53:44Z,ADB353F,"38.889996,31.277391",31975,376,261
1499118779,2017-07-03T21:52:59Z,ADB353F,"38.901089,31.375984",31950,382,261
1499118689,2017-07-03T21:51:29Z,ADB353F,"38.927319,31.605196",32000,385,261
1499118631,2017-07-03T21:50:31Z,ADB353F,"38.939262,31.712891",32024,385,261
1499118604,2017-07-03T21:50:04Z,ADB353F,"38.951485,31.822796",32025,386,261
1499118516,2017-07-03T21:48:36Z,ADB353F,"38.988102,32.156132",32025,385,263
1499118423,2017-07-03T21:47:03Z,ADB353F,"38.989136,32.165161",32025,385,263
1499118399,2017-07-03T21:46:39Z,ADB353F,"38.998703,32.255051",32000,385,263
1499116542,2017-07-03T21:15:42Z,ADB353F,"39.406311,37.041576",32025,404,266
1499116339,2017-07-03T21:12:19Z,ADB353F,"39.440659,37.593193",32000,405,266
1499116110,2017-07-03T21:08:30Z,ADB353F,"39.441185,37.602039",32004,407,266
1499112590,2017-07-03T20:09:50Z,ADB353F,"40.354542,46.591228",32025,447,275
1499112535,2017-07-03T20:08:55Z,ADB353F,"40.344437,46.764816",32000,446,273
1499112437,2017-07-03T20:07:17Z,ADB353F,"40.334007,46.989719",32000,444,273
1499112415,2017-07-03T20:06:55Z,ADB353F,"40.330082,47.078312",32000,443,273
1499112316,2017-07-03T20:05:16Z,ADB353F,"40.312939,47.505524",32000,441,276
1499111676,2017-07-03T19:54:36Z,ADB353F,"40.197048,49.421642",32000,442,276
1499111517,2017-07-03T19:51:57Z,ADB353F,"40.171314,49.714703",32000,447,276
1499111380,2017-07-03T19:49:40Z,ADB353F,"40.134071,50.122086",32025,449,277
1499111254,2017-07-03T19:47:34Z,ADB353F,"40.125244,50.207016",32025,449,277
1499111224,2017-07-03T19:47:04Z,ADB353F,"40.123787,50.221855",32000,449,277
1499111203,2017-07-03T19:46:43Z,ADB353F,"40.096104,50.489643",32025,449,281
1499111118,2017-07-03T19:45:18Z,ADB353F,"40.061039,50.783279",32000,450,278
