Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504180467,2017-08-31T11:54:27Z,ADB376F,"51.423576,12.497601",3400,146,266
1504180376,2017-08-31T11:52:56Z,ADB376F,"51.423962,12.503887",3450,168,266
1504180363,2017-08-31T11:52:43Z,ADB376F,"51.427181,12.557524",3625,176,266
1504180330,2017-08-31T11:52:10Z,ADB376F,"51.427608,12.566999",3625,188,266
1504180324,2017-08-31T11:52:04Z,ADB376F,"51.42786,12.57326",3675,189,263
1504180314,2017-08-31T11:51:54Z,ADB376F,"51.428715,12.587994",3761,186,262
1504180307,2017-08-31T11:51:47Z,ADB376F,"51.429657,12.600031",3900,182,261
1504180297,2017-08-31T11:51:37Z,ADB376F,"51.430573,12.610581",4100,180,256
1504180291,2017-08-31T11:51:31Z,ADB376F,"51.431274,12.615382",4168,178,253
1504180284,2017-08-31T11:51:24Z,ADB376F,"51.433308,12.630822",4350,178,253
1504180271,2017-08-31T11:51:11Z,ADB376F,"51.435513,12.647939",4550,177,253
1504180258,2017-08-31T11:50:58Z,ADB376F,"51.437687,12.659714",4725,175,254
1504180252,2017-08-31T11:50:52Z,ADB376F,"51.438866,12.665768",4800,176,254
1504180231,2017-08-31T11:50:31Z,ADB376F,"51.444309,12.70156",5050,181,271
1504180203,2017-08-31T11:50:03Z,ADB376F,"51.446304,12.748817",5350,185,270
1504180178,2017-08-31T11:49:38Z,ADB376F,"51.444622,12.785953",5675,184,283
1504180172,2017-08-31T11:49:32Z,ADB376F,"51.443733,12.792982",5700,186,283
1504180165,2017-08-31T11:49:25Z,ADB376F,"51.443089,12.799023",5725,191,283
1504180159,2017-08-31T11:49:19Z,ADB376F,"51.441467,12.811271",5805,193,290
1504180153,2017-08-31T11:49:13Z,ADB376F,"51.440502,12.817595",5850,193,290
1504180147,2017-08-31T11:49:07Z,ADB376F,"51.437962,12.829818",5960,194,296
1504180140,2017-08-31T11:49:00Z,ADB376F,"51.435764,12.841272",6050,194,320
1504180127,2017-08-31T11:48:47Z,ADB376F,"51.427837,12.852874",6181,195,323
