Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504478681,2017-09-03T22:44:41Z,ADB5603,"40.380569,51.970753",32925,475,103
1504477817,2017-09-03T22:30:17Z,ADB5603,"40.670982,49.744282",32900,470,95
1504476813,2017-09-03T22:13:33Z,ADB5603,"41.196159,45.709167",32975,468,109
1504476370,2017-09-03T22:06:10Z,ADB5603,"41.201832,45.687511",33000,465,109
1504476315,2017-09-03T22:05:15Z,ADB5603,"41.246819,45.516407",32974,465,110
1504476245,2017-09-03T22:04:05Z,ADB5603,"41.289001,45.366581",32950,464,112
1504476182,2017-09-03T22:03:02Z,ADB5603,"41.337379,45.193504",32950,464,108
1504476123,2017-09-03T22:02:03Z,ADB5603,"41.365639,45.030235",32975,461,98
1504476058,2017-09-03T22:00:58Z,ADB5603,"41.38805,44.848877",32959,460,98
1504475995,2017-09-03T21:59:55Z,ADB5603,"41.409523,44.671539",32950,460,98
1504475934,2017-09-03T21:58:54Z,ADB5603,"41.429897,44.503262",32925,460,98
1504475872,2017-09-03T21:57:52Z,ADB5603,"41.45092,44.325439",32925,458,98
1504475805,2017-09-03T21:56:45Z,ADB5603,"41.471912,44.14576",32924,458,98
1504475743,2017-09-03T21:55:43Z,ADB5603,"41.492489,43.967163",32924,458,98
1504475680,2017-09-03T21:54:40Z,ADB5603,"41.5116,43.800011",32911,458,98
1504475619,2017-09-03T21:53:39Z,ADB5603,"41.531521,43.62077",32924,456,98
1504475558,2017-09-03T21:52:38Z,ADB5603,"41.553303,43.423229",32975,456,98
1504475487,2017-09-03T21:51:27Z,ADB5603,"41.571747,43.255001",32974,456,98
1504475385,2017-09-03T21:49:45Z,ADB5603,"41.623104,42.786392",33000,456,96
1504475253,2017-09-03T21:47:33Z,ADB5603,"41.6567,42.21019",32975,456,94
1504475046,2017-09-03T21:44:06Z,ADB5603,"41.692764,41.791721",33000,458,94
1504474959,2017-09-03T21:42:39Z,ADB5603,"41.706139,41.640015",33000,458,94
1504474901,2017-09-03T21:41:41Z,ADB5603,"41.720348,41.479126",32975,458,94
1504474849,2017-09-03T21:40:49Z,ADB5603,"41.736568,41.287651",33000,459,94
1504474782,2017-09-03T21:39:42Z,ADB5603,"41.739399,41.253223",33000,459,94
1504474686,2017-09-03T21:38:06Z,ADB5603,"41.757423,41.00687",33000,460,96
1504474633,2017-09-03T21:37:13Z,ADB5603,"41.770046,40.849457",32950,462,96
1504474574,2017-09-03T21:36:14Z,ADB5603,"41.787407,40.633171",33000,462,96
1504474475,2017-09-03T21:34:35Z,ADB5603,"41.805882,40.396915",32975,461,96
1504474460,2017-09-03T21:34:20Z,ADB5603,"41.810009,40.346825",32975,462,93
1504474396,2017-09-03T21:33:16Z,ADB5603,"41.818962,40.188602",32975,462,92
1504474333,2017-09-03T21:32:13Z,ADB5603,"41.827549,39.971367",32975,461,92
1504474271,2017-09-03T21:31:11Z,ADB5603,"41.834362,39.798168",32975,464,91
