Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505129691,2017-09-11T11:34:51Z,ADB548F,"50.900524,4.860195",3675,219,26
1505129681,2017-09-11T11:34:41Z,ADB548F,"50.889996,4.852308",3810,223,23
1505129670,2017-09-11T11:34:30Z,ADB548F,"50.88607,4.849646",3900,227,27
1505129664,2017-09-11T11:34:24Z,ADB548F,"50.873943,4.840112",4158,229,24
1505129651,2017-09-11T11:34:11Z,ADB548F,"50.866207,4.834409",4296,231,24
1505129645,2017-09-11T11:34:05Z,ADB548F,"50.862499,4.831781",4389,158,25
1505129636,2017-09-11T11:33:56Z,ADB548F,"50.854755,4.826117",4525,234,26
1505129630,2017-09-11T11:33:50Z,ADB548F,"50.845901,4.818981",4710,234,26
1505129624,2017-09-11T11:33:44Z,ADB548F,"50.841381,4.815158",4784,235,26
1505129618,2017-09-11T11:33:38Z,ADB548F,"50.833508,4.808951",4850,240,29
1505129611,2017-09-11T11:33:31Z,ADB548F,"50.824287,4.800983",4850,249,35
1505129604,2017-09-11T11:33:24Z,ADB548F,"50.81649,4.791771",4850,254,32
1505129596,2017-09-11T11:33:16Z,ADB548F,"50.807198,4.781968",4869,268,32
1505129588,2017-09-11T11:33:08Z,ADB548F,"50.79882,4.773481",4875,274,35
1505129581,2017-09-11T11:33:01Z,ADB548F,"50.794434,4.768717",4878,277,38
1505129575,2017-09-11T11:32:55Z,ADB548F,"50.785683,4.75855",4967,279,41
1505129569,2017-09-11T11:32:49Z,ADB548F,"50.781246,4.75283",5000,281,41
1505129563,2017-09-11T11:32:43Z,ADB548F,"50.772923,4.741733",5025,284,44
1505129557,2017-09-11T11:32:37Z,ADB548F,"50.76902,4.736135",5010,290,47
1505129551,2017-09-11T11:32:31Z,ADB548F,"50.761581,4.724517",5050,291,52
1505129545,2017-09-11T11:32:25Z,ADB548F,"50.757702,4.717411",5091,292,52
1505129539,2017-09-11T11:32:19Z,ADB548F,"50.750828,4.703893",5125,294,57
1505129533,2017-09-11T11:32:13Z,ADB548F,"50.747723,4.696787",5150,294,63
1505129527,2017-09-11T11:32:07Z,ADB548F,"50.742508,4.683311",5200,297,69
1505129516,2017-09-11T11:31:56Z,ADB548F,"50.737591,4.665423",5249,206,72
1505129504,2017-09-11T11:31:44Z,ADB548F,"50.732643,4.641685",5386,301,73
1505129492,2017-09-11T11:31:32Z,ADB548F,"50.727798,4.61604",5503,303,73
1505129480,2017-09-11T11:31:20Z,ADB548F,"50.72139,4.581868",5681,305,73
1505129464,2017-09-11T11:31:04Z,ADB548F,"50.714985,4.54805",5895,304,73
1505129451,2017-09-11T11:30:51Z,ADB548F,"50.710155,4.52197",6027,305,73
1505129437,2017-09-11T11:30:37Z,ADB548F,"50.705559,4.497313",6205,304,73
1505129425,2017-09-11T11:30:25Z,ADB548F,"50.700668,4.471207",6297,310,73
1505129413,2017-09-11T11:30:13Z,ADB548F,"50.6959,4.44567",6424,309,73
1505129401,2017-09-11T11:30:01Z,ADB548F,"50.689259,4.409948",6540,311,73
1505129384,2017-09-11T11:29:44Z,ADB548F,"50.684357,4.383951",6710,310,73
1505129372,2017-09-11T11:29:32Z,ADB548F,"50.677467,4.347383",7024,311,73
1505129359,2017-09-11T11:29:19Z,ADB548F,"50.672466,4.321149",7194,314,73
1505129345,2017-09-11T11:29:05Z,ADB548F,"50.667324,4.294113",7397,314,73
1505129332,2017-09-11T11:28:52Z,ADB548F,"50.660919,4.260272",7652,317,73
1505129319,2017-09-11T11:28:39Z,ADB548F,"50.656006,4.234069",7887,318,73
1505129306,2017-09-11T11:28:26Z,ADB548F,"50.651257,4.209056",8141,316,73
1505129294,2017-09-11T11:28:14Z,ADB548F,"50.646469,4.183433",8433,317,73
1505129283,2017-09-11T11:28:03Z,ADB548F,"50.641689,4.157147",8745,315,73
1505129271,2017-09-11T11:27:51Z,ADB548F,"50.636887,4.130793",9021,316,73
1505129255,2017-09-11T11:27:35Z,ADB548F,"50.630608,4.096388",9349,317,73
1505129240,2017-09-11T11:27:20Z,ADB548F,"50.624809,4.06346",9667,319,73
1505129224,2017-09-11T11:27:04Z,ADB548F,"50.620438,4.038244",9906,320,73
1505129211,2017-09-11T11:26:51Z,ADB548F,"50.614418,4.003048",10225,324,69
1505129198,2017-09-11T11:26:38Z,ADB548F,"50.605942,3.969425",10350,329,72
1505129187,2017-09-11T11:26:27Z,ADB548F,"50.60033,3.941917",10448,338,72
1505129174,2017-09-11T11:26:14Z,ADB548F,"50.594765,3.913392",10552,346,72
