Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505332663,2017-09-13T19:57:43Z,ADB2180,"49.506729,-9.658306",32000,317,246
1505332643,2017-09-13T19:57:23Z,ADB2180,"49.517139,-9.621978",31974,317,247
1505332555,2017-09-13T19:55:55Z,ADB2180,"49.571018,-9.422521",31975,316,247
1505332531,2017-09-13T19:55:31Z,ADB2180,"49.582645,-9.38005",31975,317,247
1505332435,2017-09-13T19:53:55Z,ADB2180,"49.642616,-9.151953",32000,315,247
1505332384,2017-09-13T19:53:04Z,ADB2180,"49.66106,-9.082356",31974,315,247
1505332371,2017-09-13T19:52:51Z,ADB2180,"49.671581,-9.042483",32000,315,247
1505332273,2017-09-13T19:51:13Z,ADB2180,"49.729195,-8.826609",31975,311,248
1505332236,2017-09-13T19:50:36Z,ADB2180,"49.74654,-8.761303",31950,311,248
1505332171,2017-09-13T19:49:31Z,ADB2180,"49.780499,-8.628312",32000,312,248
1505332109,2017-09-13T19:48:29Z,ADB2180,"49.808468,-8.521334",32000,311,248
1505332048,2017-09-13T19:47:28Z,ADB2180,"49.841991,-8.394483",32024,311,249
1505331987,2017-09-13T19:46:27Z,ADB2180,"49.876282,-8.26182",31975,310,253
1505331925,2017-09-13T19:45:25Z,ADB2180,"49.906132,-8.140538",31950,309,248
1505331862,2017-09-13T19:44:22Z,ADB2180,"49.940434,-8.005902",31996,309,248
1505331800,2017-09-13T19:43:20Z,ADB2180,"49.97316,-7.876008",31975,308,248
1505331739,2017-09-13T19:42:19Z,ADB2180,"50.004597,-7.752481",31999,308,248
1505331677,2017-09-13T19:41:17Z,ADB2180,"50.035625,-7.628507",32000,308,249
1505331616,2017-09-13T19:40:16Z,ADB2180,"50.06805,-7.495708",31965,309,249
1505331554,2017-09-13T19:39:14Z,ADB2180,"50.098793,-7.371844",32024,309,250
1505331491,2017-09-13T19:38:11Z,ADB2180,"50.131172,-7.237244",31999,307,250
1505331427,2017-09-13T19:37:07Z,ADB2180,"50.163021,-7.106223",31975,305,247
1505331366,2017-09-13T19:36:06Z,ADB2180,"50.194138,-6.989047",31975,305,257
1505331351,2017-09-13T19:35:51Z,ADB2180,"50.200779,-6.949456",31956,304,250
1505331289,2017-09-13T19:34:49Z,ADB2180,"50.230419,-6.827419",31975,305,249
1505331227,2017-09-13T19:33:47Z,ADB2180,"50.262703,-6.695226",32007,306,250
1505331165,2017-09-13T19:32:45Z,ADB2180,"50.29203,-6.569302",31999,306,249
1505331104,2017-09-13T19:31:44Z,ADB2180,"50.321358,-6.446272",32024,304,250
1505331043,2017-09-13T19:30:43Z,ADB2180,"50.352558,-6.313493",31950,301,250
1505330980,2017-09-13T19:29:40Z,ADB2180,"50.382992,-6.183192",31957,300,250
1505330915,2017-09-13T19:28:35Z,ADB2180,"50.413212,-6.053669",31999,295,250
1505330853,2017-09-13T19:27:33Z,ADB2180,"50.44099,-5.934629",31975,293,250
1505330791,2017-09-13T19:26:31Z,ADB2180,"50.470169,-5.806159",31924,290,250
1505330728,2017-09-13T19:25:28Z,ADB2180,"50.497185,-5.688725",31938,285,250
1505330666,2017-09-13T19:24:26Z,ADB2180,"50.525005,-5.565045",31974,278,250
1505330603,2017-09-13T19:23:23Z,ADB2180,"50.552631,-5.44196",31925,276,250
1505330539,2017-09-13T19:22:19Z,ADB2180,"50.579781,-5.322063",31925,272,251
1505330473,2017-09-13T19:21:13Z,ADB2180,"50.606312,-5.204013",31925,266,251
1505330412,2017-09-13T19:20:12Z,ADB2180,"50.631863,-5.088603",31824,263,251
1505330347,2017-09-13T19:19:07Z,ADB2180,"50.657814,-4.971761",31552,264,251
1505330281,2017-09-13T19:18:01Z,ADB2180,"50.68314,-4.854752",31228,266,251
1505330217,2017-09-13T19:16:57Z,ADB2180,"50.709137,-4.737715",30936,268,251
1505330155,2017-09-13T19:15:55Z,ADB2180,"50.734482,-4.619491",30574,269,251
1505330093,2017-09-13T19:14:53Z,ADB2180,"50.758793,-4.505778",30250,268,251
1505330030,2017-09-13T19:13:50Z,ADB2180,"50.784172,-4.388269",30000,265,251
1505329966,2017-09-13T19:12:46Z,ADB2180,"50.809029,-4.271551",29750,261,251
1505329904,2017-09-13T19:11:44Z,ADB2180,"50.831787,-4.163488",29499,259,251
1505329843,2017-09-13T19:10:43Z,ADB2180,"50.856213,-4.049446",29119,256,252
1505329782,2017-09-13T19:09:42Z,ADB2180,"50.87833,-3.943768",28750,254,252
1505329720,2017-09-13T19:08:40Z,ADB2180,"50.902134,-3.829924",28374,254,252
1505329656,2017-09-13T19:07:36Z,ADB2180,"50.925522,-3.715925",27815,254,252
1505329590,2017-09-13T19:06:30Z,ADB2180,"50.948753,-3.603315",27351,250,252
1505329527,2017-09-13T19:05:27Z,ADB2180,"50.971355,-3.49347",26873,244,252
1505329466,2017-09-13T19:04:26Z,ADB2180,"50.99247,-3.391759",26200,243,253
1505329403,2017-09-13T19:03:23Z,ADB2180,"51.014221,-3.282968",25519,241,253
1505329339,2017-09-13T19:02:19Z,ADB2180,"51.036068,-3.172906",24925,236,252
1505329277,2017-09-13T19:01:17Z,ADB2180,"51.055958,-3.076591",24379,235,252
1505329216,2017-09-13T19:00:16Z,ADB2180,"51.077145,-2.971403",23749,232,253
1505329155,2017-09-13T18:59:15Z,ADB2180,"51.095089,-2.875294",23137,228,255
1505329091,2017-09-13T18:58:11Z,ADB2180,"51.112873,-2.767556",22027,237,255
1505329081,2017-09-13T18:58:01Z,ADB2180,"51.11491,-2.755416",21925,237,252
1505329020,2017-09-13T18:57:00Z,ADB2180,"51.143517,-2.652416",20957,238,244
1505328959,2017-09-13T18:55:59Z,ADB2180,"51.174816,-2.552399",19511,244,243
1505328897,2017-09-13T18:54:57Z,ADB2180,"51.206749,-2.459147",18261,254,237
1505328888,2017-09-13T18:54:48Z,ADB2180,"51.210781,-2.449071",18129,252,235
1505328863,2017-09-13T18:54:23Z,ADB2180,"51.224682,-2.419433",17601,250,224
1505328857,2017-09-13T18:54:17Z,ADB2180,"51.226669,-2.416179",17518,251,224
1505328851,2017-09-13T18:54:11Z,ADB2180,"51.230263,-2.410866",17352,251,227
1505328842,2017-09-13T18:54:02Z,ADB2180,"51.23431,-2.404116",17172,251,230
1505328836,2017-09-13T18:53:56Z,ADB2180,"51.238052,-2.398541",16992,251,248
