Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506138872,2017-09-23T03:54:32Z,ADB289F,"25.799999,-80.26667",200,127,60
1506138832,2017-09-23T03:53:52Z,ADB289F,"25.799999,-80.300003",300,127,60
1506138786,2017-09-23T03:53:06Z,ADB289F,"25.771151,-80.332314",600,126,60
1506138763,2017-09-23T03:52:43Z,ADB289F,"25.767136,-80.352165",900,139,60
1506138734,2017-09-23T03:52:14Z,ADB289F,"25.761665,-80.387955",1200,144,60
1506138706,2017-09-23T03:51:46Z,ADB289F,"25.752476,-80.4245",1600,152,60
1506138625,2017-09-23T03:50:25Z,ADB289F,"25.774614,-80.472015",2825,145,82
1506138604,2017-09-23T03:50:04Z,ADB289F,"25.767256,-80.491463",2850,164,130
1506138580,2017-09-23T03:49:40Z,ADB289F,"25.775707,-80.516167",3224,178,158
1506138571,2017-09-23T03:49:31Z,ADB289F,"25.78429,-80.520439",3425,181,158
1506138556,2017-09-23T03:49:16Z,ADB289F,"25.791857,-80.525429",3589,195,168
1506138549,2017-09-23T03:49:09Z,ADB289F,"25.800264,-80.528702",3775,202,173
1506138525,2017-09-23T03:48:45Z,ADB289F,"25.825201,-80.530762",4263,214,199
1506138519,2017-09-23T03:48:39Z,ADB289F,"25.829237,-80.52964",4340,214,199
1506138513,2017-09-23T03:48:33Z,ADB289F,"25.836411,-80.527695",4518,215,214
1506138507,2017-09-23T03:48:27Z,ADB289F,"25.83988,-80.525764",4585,218,231
1506138501,2017-09-23T03:48:21Z,ADB289F,"25.845844,-80.52108",4700,224,249
1506138492,2017-09-23T03:48:12Z,ADB289F,"25.851254,-80.510201",4824,227,255
1506138486,2017-09-23T03:48:06Z,ADB289F,"25.852444,-80.506241",4875,227,262
1506138471,2017-09-23T03:47:51Z,ADB289F,"25.85479,-80.489197",5025,220,265
1506138457,2017-09-23T03:47:37Z,ADB289F,"25.855911,-80.474899",5165,220,265
1506138445,2017-09-23T03:47:25Z,ADB289F,"25.857006,-80.46151",5224,224,263
1506138430,2017-09-23T03:47:10Z,ADB289F,"25.858912,-80.443512",5400,233,260
1506138409,2017-09-23T03:46:49Z,ADB289F,"25.863249,-80.417717",5650,247,255
1506138397,2017-09-23T03:46:37Z,ADB289F,"25.866695,-80.403526",5813,253,250
1506138381,2017-09-23T03:46:21Z,ADB289F,"25.873201,-80.38324",5997,263,248
1506138369,2017-09-23T03:46:09Z,ADB289F,"25.878508,-80.368561",6225,265,248
1506138357,2017-09-23T03:45:57Z,ADB289F,"25.88427,-80.352661",6405,266,249
1506138345,2017-09-23T03:45:45Z,ADB289F,"25.889736,-80.337021",6636,273,250
1506138331,2017-09-23T03:45:31Z,ADB289F,"25.895454,-80.319809",6928,279,252
1506138319,2017-09-23T03:45:19Z,ADB289F,"25.900721,-80.302612",7209,286,253
1506138307,2017-09-23T03:45:07Z,ADB289F,"25.905445,-80.285477",7556,291,254
1506138291,2017-09-23T03:44:51Z,ADB289F,"25.911987,-80.26033",8158,296,255
1506138279,2017-09-23T03:44:39Z,ADB289F,"25.916788,-80.240494",8425,303,255
1506138267,2017-09-23T03:44:27Z,ADB289F,"25.921173,-80.221329",8662,307,254
1506138255,2017-09-23T03:44:15Z,ADB289F,"25.92594,-80.201721",9025,302,253
1506138249,2017-09-23T03:44:09Z,ADB289F,"25.929394,-80.188911",9241,302,252
1506138243,2017-09-23T03:44:03Z,ADB289F,"25.931044,-80.182747",9324,301,250
1506138237,2017-09-23T03:43:57Z,ADB289F,"25.934799,-80.170403",9521,300,245
1506138228,2017-09-23T03:43:48Z,ADB289F,"25.938313,-80.15889",9710,300,242
1506138222,2017-09-23T03:43:42Z,ADB289F,"25.943687,-80.146965",9927,299,235
1506138215,2017-09-23T03:43:35Z,ADB289F,"25.945517,-80.142052",10019,297,235
1506138208,2017-09-23T03:43:28Z,ADB289F,"25.951805,-80.131142",10314,296,229
1506138202,2017-09-23T03:43:22Z,ADB289F,"25.954342,-80.12648",10403,295,213
1506138196,2017-09-23T03:43:16Z,ADB289F,"25.96719,-80.114647",10718,294,213
1506138184,2017-09-23T03:43:04Z,ADB289F,"25.97543,-80.108101",10865,295,205
1506138175,2017-09-23T03:42:55Z,ADB289F,"25.989531,-80.100861",11000,302,196
1506138161,2017-09-23T03:42:41Z,ADB289F,"26.007261,-80.094795",11159,311,195
1506138149,2017-09-23T03:42:29Z,ADB289F,"26.025473,-80.089493",11325,315,195
1506138137,2017-09-23T03:42:17Z,ADB289F,"26.041389,-80.084785",11374,323,194
1506138124,2017-09-23T03:42:04Z,ADB289F,"26.060022,-80.079681",11425,333,195
1506138112,2017-09-23T03:41:52Z,ADB289F,"26.079193,-80.074226",11507,342,195
1506138079,2017-09-23T03:41:19Z,ADB289F,"26.130217,-80.059517",12220,353,194
1506138047,2017-09-23T03:40:47Z,ADB289F,"26.180426,-80.045509",13216,352,194
1506138016,2017-09-23T03:40:16Z,ADB289F,"26.231054,-80.03093",14250,353,195
1506137983,2017-09-23T03:39:43Z,ADB289F,"26.281668,-80.015976",14914,353,195
1506137952,2017-09-23T03:39:12Z,ADB289F,"26.33345,-80.000832",15452,356,194
1506137919,2017-09-23T03:38:39Z,ADB289F,"26.385233,-79.986877",16104,358,193
1506137886,2017-09-23T03:38:06Z,ADB289F,"26.443396,-79.972527",16954,371,188
1506137820,2017-09-23T03:37:00Z,ADB289F,"26.553722,-79.952904",18377,364,191
1506137811,2017-09-23T03:36:51Z,ADB289F,"26.566082,-79.950577",18531,364,194
1506137805,2017-09-23T03:36:45Z,ADB289F,"26.580433,-79.946732",18757,363,194
1506137799,2017-09-23T03:36:39Z,ADB289F,"26.586939,-79.945068",18880,363,200
1506137793,2017-09-23T03:36:33Z,ADB289F,"26.599964,-79.941116",19172,360,204
1506137787,2017-09-23T03:36:27Z,ADB289F,"26.606586,-79.938438",19304,360,204
1506137781,2017-09-23T03:36:21Z,ADB289F,"26.619106,-79.932724",19532,361,210
1506137775,2017-09-23T03:36:15Z,ADB289F,"26.625614,-79.928787",19645,361,215
1506137769,2017-09-23T03:36:09Z,ADB289F,"26.636702,-79.921364",19869,362,218
1506137763,2017-09-23T03:36:03Z,ADB289F,"26.641954,-79.917358",19989,362,218
1506137757,2017-09-23T03:35:57Z,ADB289F,"26.651667,-79.909286",20200,363,224
1506137748,2017-09-23T03:35:48Z,ADB289F,"26.66193,-79.898888",20308,368,228
1506137736,2017-09-23T03:35:36Z,ADB289F,"26.676889,-79.880463",20725,370,232
1506137673,2017-09-23T03:34:33Z,ADB289F,"26.737932,-79.773804",22450,391,240
1506137609,2017-09-23T03:33:29Z,ADB289F,"26.801886,-79.653069",24289,398,233
1506137540,2017-09-23T03:32:20Z,ADB289F,"26.878052,-79.544258",25567,405,228
1506137531,2017-09-23T03:32:11Z,ADB289F,"26.886839,-79.532692",25700,405,224
1506137516,2017-09-23T03:31:56Z,ADB289F,"26.909979,-79.507683",25993,410,221
1506137504,2017-09-23T03:31:44Z,ADB289F,"26.935011,-79.486572",26388,407,214
1506137495,2017-09-23T03:31:35Z,ADB289F,"26.940645,-79.481789",26457,407,214
1506137489,2017-09-23T03:31:29Z,ADB289F,"26.952646,-79.472321",26608,408,211
