Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506570907,2017-09-28T03:55:07Z,ADB3881,"25.615673,52.39555",29124,435,105
1506570843,2017-09-28T03:54:03Z,ADB3881,"25.67676,52.237518",30000,439,105
1506570762,2017-09-28T03:52:42Z,ADB3881,"25.729145,52.095829",31000,445,105
1506570731,2017-09-28T03:52:11Z,ADB3881,"25.765747,51.999794",31674,448,111
1506570704,2017-09-28T03:51:44Z,ADB3881,"25.784597,51.955189",31950,451,125
1506570695,2017-09-28T03:51:35Z,ADB3881,"25.792456,51.9412",32045,453,125
1506570683,2017-09-28T03:51:23Z,ADB3881,"25.80603,51.916126",32249,454,128
1506570623,2017-09-28T03:50:23Z,ADB3881,"25.907459,51.818295",33000,459,142
1506570560,2017-09-28T03:49:20Z,ADB3881,"26.00256,51.740223",33025,461,142
1506569742,2017-09-28T03:35:42Z,ADB3881,"27.434376,50.557178",33025,464,144
1506569690,2017-09-28T03:34:50Z,ADB3881,"27.541445,50.474659",33025,465,144
1506569666,2017-09-28T03:34:26Z,ADB3881,"27.576128,50.448158",33025,464,144
1506569576,2017-09-28T03:32:56Z,ADB3881,"27.740549,50.322685",33050,465,147
1506569547,2017-09-28T03:32:27Z,ADB3881,"27.761707,50.307339",33025,464,148
1506569484,2017-09-28T03:31:24Z,ADB3881,"27.885904,50.217354",33050,466,149
1506569094,2017-09-28T03:24:54Z,ADB3881,"28.694523,49.390541",33025,476,146
1506568967,2017-09-28T03:22:47Z,ADB3881,"28.750376,49.348492",33050,470,146
1506568933,2017-09-28T03:22:13Z,ADB3881,"28.771519,49.332436",33050,470,146
1506568885,2017-09-28T03:21:25Z,ADB3881,"28.85211,49.272232",33025,471,146
1506568795,2017-09-28T03:19:55Z,ADB3881,"29.020018,49.146568",33050,472,146
1506568743,2017-09-28T03:19:03Z,ADB3881,"29.145153,49.052498",33050,472,146
1506568653,2017-09-28T03:17:33Z,ADB3881,"29.36656,48.884083",33050,473,146
1506568599,2017-09-28T03:16:39Z,ADB3881,"29.519819,48.767109",33050,472,146
1506568514,2017-09-28T03:15:14Z,ADB3881,"29.534796,48.756336",33050,474,146
1506568502,2017-09-28T03:15:02Z,ADB3881,"29.546829,48.747669",33050,473,146
