Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1499187393,2017-07-04T16:56:33Z,ADB349F,"50.572906,30.214333",950,136,333
1499187387,2017-07-04T16:56:27Z,ADB349F,"50.568996,30.217302",1050,135,334
1499187381,2017-07-04T16:56:21Z,ADB349F,"50.565765,30.219702",1125,135,334
1499187375,2017-07-04T16:56:15Z,ADB349F,"50.562435,30.2222",1200,134,334
1499187367,2017-07-04T16:56:07Z,ADB349F,"50.557526,30.22599",1275,131,333
1499187360,2017-07-04T16:56:00Z,ADB349F,"50.554321,30.228521",1300,130,333
1499187354,2017-07-04T16:55:54Z,ADB349F,"50.551121,30.231035",1325,131,332
1499187348,2017-07-04T16:55:48Z,ADB349F,"50.547863,30.233782",1375,130,330
1499187340,2017-07-04T16:55:40Z,ADB349F,"50.543198,30.237772",1450,127,332
1499187333,2017-07-04T16:55:33Z,ADB349F,"50.539856,30.240536",1500,125,333
1499187327,2017-07-04T16:55:27Z,ADB349F,"50.53688,30.242905",1550,126,332
1499187319,2017-07-04T16:55:19Z,ADB349F,"50.532211,30.246735",1625,127,333
1499187288,2017-07-04T16:54:48Z,ADB349F,"50.515091,30.260612",1900,126,332
1499187279,2017-07-04T16:54:39Z,ADB349F,"50.510342,30.264513",2000,129,332
1499187268,2017-07-04T16:54:28Z,ADB349F,"50.505455,30.268299",2125,132,335
1499187259,2017-07-04T16:54:19Z,ADB349F,"50.498844,30.27305",2200,137,335
1499187248,2017-07-04T16:54:08Z,ADB349F,"50.493073,30.27702",2175,149,337
1499187239,2017-07-04T16:53:59Z,ADB349F,"50.487347,30.280697",2300,148,337
1499187228,2017-07-04T16:53:48Z,ADB349F,"50.48064,30.285002",2450,153,337
1499187219,2017-07-04T16:53:39Z,ADB349F,"50.474304,30.289089",2500,162,337
1499187208,2017-07-04T16:53:28Z,ADB349F,"50.467747,30.293242",2700,161,338
1499187199,2017-07-04T16:53:19Z,ADB349F,"50.460663,30.297619",2925,161,339
1499187189,2017-07-04T16:53:09Z,ADB349F,"50.453659,30.301521",3150,160,342
1499187183,2017-07-04T16:53:03Z,ADB349F,"50.450382,30.303114",3225,160,344
1499187159,2017-07-04T16:52:39Z,ADB349F,"50.431576,30.304895",3700,167,7
1499187148,2017-07-04T16:52:28Z,ADB349F,"50.423523,30.302965",3900,168,9
1499187139,2017-07-04T16:52:19Z,ADB349F,"50.416119,30.301109",3975,175,8
1499187133,2017-07-04T16:52:13Z,ADB349F,"50.411957,30.300076",3975,180,8
1499187123,2017-07-04T16:52:03Z,ADB349F,"50.403458,30.298065",3975,183,8
1499187114,2017-07-04T16:51:54Z,ADB349F,"50.394516,30.296028",4000,189,8
1499187108,2017-07-04T16:51:48Z,ADB349F,"50.390888,30.295172",4000,190,7
1499187099,2017-07-04T16:51:39Z,ADB349F,"50.382065,30.293282",4075,192,7
1499187088,2017-07-04T16:51:28Z,ADB349F,"50.373245,30.291386",4200,194,8
1499187079,2017-07-04T16:51:19Z,ADB349F,"50.364487,30.289452",4325,193,7
1499187068,2017-07-04T16:51:08Z,ADB349F,"50.355515,30.287573",4575,189,7
1499187059,2017-07-04T16:50:59Z,ADB349F,"50.34671,30.285818",4825,189,7
1499187053,2017-07-04T16:50:53Z,ADB349F,"50.342381,30.285002",4925,190,6
1499187039,2017-07-04T16:50:39Z,ADB349F,"50.329102,30.282513",5300,190,6
1499187024,2017-07-04T16:50:24Z,ADB349F,"50.316284,30.279984",5600,192,7
1499187013,2017-07-04T16:50:13Z,ADB349F,"50.306721,30.278023",5875,191,7
1499186999,2017-07-04T16:49:59Z,ADB349F,"50.293121,30.275211",6200,193,7
1499186984,2017-07-04T16:49:44Z,ADB349F,"50.280655,30.272604",6500,194,7
1499186969,2017-07-04T16:49:29Z,ADB349F,"50.267487,30.269863",6825,195,7
1499186958,2017-07-04T16:49:18Z,ADB349F,"50.258495,30.268002",7100,194,7
1499186944,2017-07-04T16:49:04Z,ADB349F,"50.245193,30.26531",7475,193,7
1499186933,2017-07-04T16:48:53Z,ADB349F,"50.23629,30.263474",7700,194,7
1499186919,2017-07-04T16:48:39Z,ADB349F,"50.222855,30.260757",8000,196,7
1499186908,2017-07-04T16:48:28Z,ADB349F,"50.21347,30.259022",8200,198,6
1499186894,2017-07-04T16:48:14Z,ADB349F,"50.199886,30.256943",8200,212,5
1499186879,2017-07-04T16:47:59Z,ADB349F,"50.184036,30.254759",8250,228,4
1499186868,2017-07-04T16:47:48Z,ADB349F,"50.170898,30.253096",8350,237,4
1499186853,2017-07-04T16:47:33Z,ADB349F,"50.156845,30.251505",8525,243,4
1499186839,2017-07-04T16:47:19Z,ADB349F,"50.139877,30.249443",8650,251,4
1499186828,2017-07-04T16:47:08Z,ADB349F,"50.128101,30.247885",8675,258,5
1499186813,2017-07-04T16:46:53Z,ADB349F,"50.110691,30.245213",8900,260,5
1499186799,2017-07-04T16:46:39Z,ADB349F,"50.092484,30.24247",9175,261,5
1499186784,2017-07-04T16:46:24Z,ADB349F,"50.074612,30.239645",9375,263,5
1499186773,2017-07-04T16:46:13Z,ADB349F,"50.062271,30.237629",9525,265,6
1499186759,2017-07-04T16:45:59Z,ADB349F,"50.044029,30.234226",9750,267,7
1499186744,2017-07-04T16:45:44Z,ADB349F,"50.025269,30.229773",9975,271,11
1499186733,2017-07-04T16:45:33Z,ADB349F,"50.013519,30.225775",10100,275,13
1499186724,2017-07-04T16:45:24Z,ADB349F,"50.001247,30.220791",10200,278,15
1499186713,2017-07-04T16:45:13Z,ADB349F,"49.988342,30.214281",10300,285,22
1499186699,2017-07-04T16:44:59Z,ADB349F,"49.970009,30.201193",10350,294,22
1499186687,2017-07-04T16:44:47Z,ADB349F,"49.956711,30.192959",10450,300,21
1499186667,2017-07-04T16:44:27Z,ADB349F,"49.928513,30.175468",10675,310,21
1499186651,2017-07-04T16:44:11Z,ADB349F,"49.9086,30.163324",10825,316,21
1499186636,2017-07-04T16:43:56Z,ADB349F,"49.887241,30.150345",10925,326,21
1499186625,2017-07-04T16:43:45Z,ADB349F,"49.873089,30.141733",11075,331,21
1499186611,2017-07-04T16:43:31Z,ADB349F,"49.850323,30.127777",11450,333,21
1499186574,2017-07-04T16:42:54Z,ADB349F,"49.798885,30.096304",12350,337,21
