Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1502829835,2017-08-15T20:43:55Z,ADB200F,"43.679401,-79.629799",0,8,247
1502829825,2017-08-15T20:43:45Z,ADB200F,"43.67963,-79.629387",0,7,295
1502829815,2017-08-15T20:43:35Z,ADB200F,"43.679562,-79.628952",0,6,326
1502829772,2017-08-15T20:42:52Z,ADB200F,"43.679279,-79.628563",0,2,326
1502829755,2017-08-15T20:42:35Z,ADB200F,"43.678928,-79.62809",0,10,329
1502829745,2017-08-15T20:42:25Z,ADB200F,"43.67857,-79.627632",0,15,329
1502829736,2017-08-15T20:42:16Z,ADB200F,"43.67794,-79.626808",0,17,329
1502829726,2017-08-15T20:42:06Z,ADB200F,"43.67738,-79.626083",0,16,326
1502829665,2017-08-15T20:41:05Z,ADB200F,"43.673908,-79.621582",0,14,326
1502829626,2017-08-15T20:40:26Z,ADB200F,"43.672321,-79.619469",0,12,326
1502829550,2017-08-15T20:39:10Z,ADB200F,"43.670101,-79.615578",0,12,230
1502829525,2017-08-15T20:38:45Z,ADB200F,"43.67144,-79.613983",0,17,239
1502829506,2017-08-15T20:38:26Z,ADB200F,"43.672489,-79.612198",0,15,244
1502829500,2017-08-15T20:38:20Z,ADB200F,"43.672729,-79.61174",0,15,244
1502829476,2017-08-15T20:37:56Z,ADB200F,"43.673672,-79.610062",0,15,244
1502829465,2017-08-15T20:37:45Z,ADB200F,"43.674122,-79.609207",0,17,244
1502829436,2017-08-15T20:37:16Z,ADB200F,"43.675751,-79.606621",0,15,233
1502829385,2017-08-15T20:36:25Z,ADB200F,"43.67783,-79.603653",0,7,281
1502829355,2017-08-15T20:35:55Z,ADB200F,"43.677559,-79.602943",0,7,25
1502829345,2017-08-15T20:35:45Z,ADB200F,"43.677219,-79.603058",0,7,28
1502829330,2017-08-15T20:35:30Z,ADB200F,"43.676659,-79.603477",0,7,30
1502829320,2017-08-15T20:35:20Z,ADB200F,"43.67638,-79.60363",0,6,30
1502829290,2017-08-15T20:34:50Z,ADB200F,"43.675941,-79.603821",0,4,28
1502829280,2017-08-15T20:34:40Z,ADB200F,"43.67551,-79.604012",0,13,25
1502829256,2017-08-15T20:34:16Z,ADB200F,"43.671879,-79.607521",0,84,56
1502829245,2017-08-15T20:34:05Z,ADB200F,"43.667912,-79.613319",525,121,46
1502829225,2017-08-15T20:33:45Z,ADB200F,"43.660809,-79.623734",650,138,46
1502829215,2017-08-15T20:33:35Z,ADB200F,"43.656231,-79.63018",750,137,45
1502829205,2017-08-15T20:33:25Z,ADB200F,"43.651932,-79.636322",875,138,46
1502829195,2017-08-15T20:33:15Z,ADB200F,"43.647449,-79.642769",1000,142,45
1502829185,2017-08-15T20:33:05Z,ADB200F,"43.642818,-79.649353",1125,146,46
1502829175,2017-08-15T20:32:55Z,ADB200F,"43.63747,-79.657204",1250,148,47
1502829165,2017-08-15T20:32:45Z,ADB200F,"43.633179,-79.663429",1375,147,47
1502829155,2017-08-15T20:32:35Z,ADB200F,"43.627918,-79.670891",1525,150,48
1502829145,2017-08-15T20:32:25Z,ADB200F,"43.623051,-79.677902",1625,150,48
1502829136,2017-08-15T20:32:16Z,ADB200F,"43.618061,-79.68512",1725,147,48
1502829125,2017-08-15T20:32:05Z,ADB200F,"43.613441,-79.691818",1825,145,48
1502829115,2017-08-15T20:31:55Z,ADB200F,"43.608269,-79.699341",1975,147,48
1502829105,2017-08-15T20:31:45Z,ADB200F,"43.603821,-79.70575",2150,150,48
1502829095,2017-08-15T20:31:35Z,ADB200F,"43.59827,-79.713463",2300,159,44
1502829085,2017-08-15T20:31:25Z,ADB200F,"43.59343,-79.720177",2450,159,44
1502829075,2017-08-15T20:31:15Z,ADB200F,"43.5872,-79.728683",2700,160,44
1502829065,2017-08-15T20:31:05Z,ADB200F,"43.582481,-79.735168",2850,162,45
1502829056,2017-08-15T20:30:56Z,ADB200F,"43.577461,-79.742241",2925,171,46
1502829050,2017-08-15T20:30:50Z,ADB200F,"43.574341,-79.746811",2900,174,50
1502829040,2017-08-15T20:30:40Z,ADB200F,"43.568207,-79.756783",2950,187,51
1502829025,2017-08-15T20:30:25Z,ADB200F,"43.561024,-79.769508",2925,185,53
1502829015,2017-08-15T20:30:15Z,ADB200F,"43.55595,-79.778793",2900,183,52
1502829005,2017-08-15T20:30:05Z,ADB200F,"43.549896,-79.789192",2950,184,46
1502828995,2017-08-15T20:29:55Z,ADB200F,"43.544868,-79.796379",2975,190,41
1502828985,2017-08-15T20:29:45Z,ADB200F,"43.537994,-79.804047",3050,199,23
1502828979,2017-08-15T20:29:39Z,ADB200F,"43.534348,-79.807045",3100,199,23
1502828970,2017-08-15T20:29:30Z,ADB200F,"43.523361,-79.812012",3350,201,12
