Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503439284,2017-08-22T22:01:24Z,ADB3869,"48.162979,17.202494",0,11,39
1503439272,2017-08-22T22:01:12Z,ADB3869,"48.162815,17.202267",0,24,39
1503439266,2017-08-22T22:01:06Z,ADB3869,"48.1623,17.201544",0,32,36
1503439257,2017-08-22T22:00:57Z,ADB3869,"48.162106,17.201246",0,32,36
1503439245,2017-08-22T22:00:45Z,ADB3869,"48.161617,17.200579",0,28,39
1503439239,2017-08-22T22:00:39Z,ADB3869,"48.161385,17.200235",0,25,47
1503439233,2017-08-22T22:00:33Z,ADB3869,"48.161224,17.199945",0,23,70
1503439227,2017-08-22T22:00:27Z,ADB3869,"48.161121,17.199625",0,21,95
1503439221,2017-08-22T22:00:21Z,ADB3869,"48.161129,17.199278",0,21,118
1503439203,2017-08-22T22:00:03Z,ADB3869,"48.161545,17.198444",0,21,129
1503439185,2017-08-22T21:59:45Z,ADB3869,"48.162197,17.197865",0,23,188
1503439179,2017-08-22T21:59:39Z,ADB3869,"48.162518,17.197969",0,23,208
1503439167,2017-08-22T21:59:27Z,ADB3869,"48.162804,17.198235",0,23,213
1503439149,2017-08-22T21:59:09Z,ADB3869,"48.163433,17.199043",0,24,213
1503439137,2017-08-22T21:58:57Z,ADB3869,"48.163841,17.199566",0,25,213
1503439115,2017-08-22T21:58:35Z,ADB3869,"48.164585,17.200506",0,25,213
1503439103,2017-08-22T21:58:23Z,ADB3869,"48.165024,17.201086",0,26,213
1503439095,2017-08-22T21:58:15Z,ADB3869,"48.16539,17.201544",0,26,213
1503439088,2017-08-22T21:58:08Z,ADB3869,"48.165596,17.201809",0,26,213
1503439079,2017-08-22T21:57:59Z,ADB3869,"48.165958,17.202259",0,26,213
1503439061,2017-08-22T21:57:41Z,ADB3869,"48.166634,17.203144",0,26,213
1503439055,2017-08-22T21:57:35Z,ADB3869,"48.166889,17.203451",0,24,216
1503439043,2017-08-22T21:57:23Z,ADB3869,"48.167274,17.203957",0,23,216
1503439031,2017-08-22T21:57:11Z,ADB3869,"48.167725,17.204573",0,22,219
1503439023,2017-08-22T21:57:03Z,ADB3869,"48.167881,17.204807",0,22,219
1503439010,2017-08-22T21:56:50Z,ADB3869,"48.168274,17.205435",0,22,219
1503439001,2017-08-22T21:56:41Z,ADB3869,"48.168495,17.205782",0,22,222
1503438995,2017-08-22T21:56:35Z,ADB3869,"48.168671,17.206053",0,22,219
1503438987,2017-08-22T21:56:27Z,ADB3869,"48.16888,17.206379",0,22,222
1503438978,2017-08-22T21:56:18Z,ADB3869,"48.169159,17.206831",0,23,222
1503438971,2017-08-22T21:56:11Z,ADB3869,"48.169304,17.207054",0,23,219
1503438963,2017-08-22T21:56:03Z,ADB3869,"48.169567,17.20746",0,21,219
1503438956,2017-08-22T21:55:56Z,ADB3869,"48.169708,17.207697",0,19,219
1503438950,2017-08-22T21:55:50Z,ADB3869,"48.169846,17.207897",0,16,219
1503438941,2017-08-22T21:55:41Z,ADB3869,"48.169998,17.208168",0,13,205
1503438923,2017-08-22T21:55:23Z,ADB3869,"48.170265,17.208456",0,14,160
1503438911,2017-08-22T21:55:11Z,ADB3869,"48.170574,17.208305",0,18,126
1503438905,2017-08-22T21:55:05Z,ADB3869,"48.170723,17.208057",0,24,126
1503438899,2017-08-22T21:54:59Z,ADB3869,"48.170895,17.207777",0,24,126
1503438893,2017-08-22T21:54:53Z,ADB3869,"48.171047,17.207535",0,25,126
1503438881,2017-08-22T21:54:41Z,ADB3869,"48.171444,17.206896",0,27,126
1503438875,2017-08-22T21:54:35Z,ADB3869,"48.171684,17.206524",0,28,129
1503438867,2017-08-22T21:54:27Z,ADB3869,"48.172028,17.205997",0,27,126
1503438860,2017-08-22T21:54:20Z,ADB3869,"48.172279,17.205603",0,26,129
1503438851,2017-08-22T21:54:11Z,ADB3869,"48.172512,17.20524",0,24,126
1503438842,2017-08-22T21:54:02Z,ADB3869,"48.172783,17.204819",0,22,126
1503438836,2017-08-22T21:53:56Z,ADB3869,"48.173035,17.204409",0,19,129
1503438815,2017-08-22T21:53:35Z,ADB3869,"48.173355,17.20392",0,15,126
1503438803,2017-08-22T21:53:23Z,ADB3869,"48.173584,17.20356",0,17,135
1503438794,2017-08-22T21:53:14Z,ADB3869,"48.173767,17.203325",0,18,143
1503438785,2017-08-22T21:53:05Z,ADB3869,"48.174019,17.203093",0,14,160
1503438773,2017-08-22T21:52:53Z,ADB3869,"48.174248,17.203005",0,13,174
