Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503713837,2017-08-26T02:17:17Z,ADB2152,"31.492035,74.404099",1300,146,1
1503713821,2017-08-26T02:17:01Z,ADB2152,"31.481323,74.403809",1500,146,1
1503713815,2017-08-26T02:16:55Z,ADB2152,"31.477365,74.403755",1575,146,1
1503713799,2017-08-26T02:16:39Z,ADB2152,"31.466799,74.403641",1775,149,1
1503713788,2017-08-26T02:16:28Z,ADB2152,"31.458893,74.403564",1900,148,1
1503713777,2017-08-26T02:16:17Z,ADB2152,"31.451437,74.403481",2025,146,1
1503713756,2017-08-26T02:15:56Z,ADB2152,"31.436325,74.40313",2275,147,359
1503713745,2017-08-26T02:15:45Z,ADB2152,"31.429276,74.40313",2425,148,359
1503713739,2017-08-26T02:15:39Z,ADB2152,"31.425413,74.403152",2500,148,359
1503713728,2017-08-26T02:15:28Z,ADB2152,"31.41778,74.403206",2700,147,1
1503713718,2017-08-26T02:15:18Z,ADB2152,"31.410843,74.403091",2750,151,1
1503713712,2017-08-26T02:15:12Z,ADB2152,"31.406799,74.402916",2775,155,2
1503713697,2017-08-26T02:14:57Z,ADB2152,"31.39469,74.402382",2825,162,2
1503713685,2017-08-26T02:14:45Z,ADB2152,"31.38652,74.402054",2825,175,1
1503713663,2017-08-26T02:14:23Z,ADB2152,"31.367411,74.401665",2825,187,359
1503713652,2017-08-26T02:14:12Z,ADB2152,"31.358238,74.401779",2775,184,359
1503713642,2017-08-26T02:14:02Z,ADB2152,"31.349442,74.402",2725,182,358
1503713636,2017-08-26T02:13:56Z,ADB2152,"31.345064,74.402107",2675,181,359
1503713626,2017-08-26T02:13:46Z,ADB2152,"31.33622,74.402161",2650,182,1
1503713616,2017-08-26T02:13:36Z,ADB2152,"31.327377,74.40184",2700,184,4
1503713610,2017-08-26T02:13:30Z,ADB2152,"31.322571,74.401352",2700,191,6
1503713600,2017-08-26T02:13:20Z,ADB2152,"31.314148,74.400223",2850,192,7
1503713590,2017-08-26T02:13:10Z,ADB2152,"31.304705,74.39859",3050,195,9
1503713579,2017-08-26T02:12:59Z,ADB2152,"31.295021,74.396393",3300,195,13
1503713573,2017-08-26T02:12:53Z,ADB2152,"31.289993,74.394913",3350,199,15
1503713567,2017-08-26T02:12:47Z,ADB2152,"31.28508,74.393219",3425,202,17
1503713557,2017-08-26T02:12:37Z,ADB2152,"31.275467,74.389503",3600,208,18
1503713546,2017-08-26T02:12:26Z,ADB2152,"31.265259,74.386436",3850,211,8
1503713519,2017-08-26T02:11:59Z,ADB2152,"31.238434,74.386276",4550,213,7
1503713508,2017-08-26T02:11:48Z,ADB2152,"31.2285,74.38353",4775,215,20
1503713498,2017-08-26T02:11:38Z,ADB2152,"31.219025,74.378304",5025,213,29
1503713487,2017-08-26T02:11:27Z,ADB2152,"31.210327,74.37249",5275,210,30
1503713477,2017-08-26T02:11:17Z,ADB2152,"31.201359,74.365959",5425,213,37
1503713471,2017-08-26T02:11:11Z,ADB2152,"31.197634,74.362228",5525,213,46
1503713461,2017-08-26T02:11:01Z,ADB2152,"31.190735,74.351593",5750,214,57
1503713445,2017-08-26T02:10:45Z,ADB2152,"31.18222,74.336189",6025,219,57
1503713430,2017-08-26T02:10:30Z,ADB2152,"31.173519,74.320038",6425,220,58
1503713413,2017-08-26T02:10:13Z,ADB2152,"31.164963,74.303604",6850,220,59
1503713397,2017-08-26T02:09:57Z,ADB2152,"31.156668,74.287628",7250,222,58
1503713382,2017-08-26T02:09:42Z,ADB2152,"31.148758,74.272316",7750,218,59
1503713366,2017-08-26T02:09:26Z,ADB2152,"31.140236,74.255661",7700,242,59
1503713350,2017-08-26T02:09:10Z,ADB2152,"31.130692,74.236984",7600,265,59
1503713334,2017-08-26T02:08:54Z,ADB2152,"31.119873,74.216042",7550,280,59
1503713281,2017-08-26T02:08:01Z,ADB2152,"31.076458,74.140137",8150,334,53
1503713272,2017-08-26T02:07:52Z,ADB2152,"31.069473,74.129227",8475,335,53
1503713235,2017-08-26T02:07:15Z,ADB2152,"31.034655,74.075096",10000,342,53
1503713229,2017-08-26T02:07:09Z,ADB2152,"31.029922,74.067673",10175,344,53
1503713217,2017-08-26T02:06:57Z,ADB2152,"31.017197,74.047691",10650,349,53
1503713206,2017-08-26T02:06:46Z,ADB2152,"31.00705,74.031754",11100,350,53
1503713194,2017-08-26T02:06:34Z,ADB2152,"30.99527,74.012741",11575,353,54
1503713163,2017-08-26T02:06:03Z,ADB2152,"30.965057,73.96669",12875,357,51
