Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504212059,2017-08-31T20:40:59Z,ADB248F,"27.972897,-82.524658",0,13,278
1504212050,2017-08-31T20:40:50Z,ADB248F,"27.972891,-82.524452",0,16,278
1504212040,2017-08-31T20:40:40Z,ADB248F,"27.972891,-82.524155",0,18,278
1504212028,2017-08-31T20:40:28Z,ADB248F,"27.972874,-82.523621",0,26,278
1504212022,2017-08-31T20:40:22Z,ADB248F,"27.972857,-82.523239",0,25,275
1504212016,2017-08-31T20:40:16Z,ADB248F,"27.972851,-82.522881",0,23,275
1504212010,2017-08-31T20:40:10Z,ADB248F,"27.972851,-82.522629",0,22,275
1504212002,2017-08-31T20:40:02Z,ADB248F,"27.972839,-82.522217",0,20,278
1504211995,2017-08-31T20:39:55Z,ADB248F,"27.972839,-82.521996",0,18,284
1504211986,2017-08-31T20:39:46Z,ADB248F,"27.972828,-82.521729",0,15,306
1504211974,2017-08-31T20:39:34Z,ADB248F,"27.972715,-82.521431",0,15,343
1504211965,2017-08-31T20:39:25Z,ADB248F,"27.972507,-82.521294",0,18,11
1504211959,2017-08-31T20:39:19Z,ADB248F,"27.972267,-82.521309",0,21,19
1504211944,2017-08-31T20:39:04Z,ADB248F,"27.971775,-82.521545",0,20,84
1504211935,2017-08-31T20:38:55Z,ADB248F,"27.971706,-82.521889",0,20,98
1504211929,2017-08-31T20:38:49Z,ADB248F,"27.971716,-82.522202",0,28,98
1504211923,2017-08-31T20:38:43Z,ADB248F,"27.971739,-82.522575",0,31,98
1504211917,2017-08-31T20:38:37Z,ADB248F,"27.97175,-82.523033",0,33,98
1504211911,2017-08-31T20:38:31Z,ADB248F,"27.971762,-82.523537",0,31,98
1504211905,2017-08-31T20:38:25Z,ADB248F,"27.971775,-82.523895",0,30,98
1504211896,2017-08-31T20:38:16Z,ADB248F,"27.971786,-82.524506",0,28,98
1504211890,2017-08-31T20:38:10Z,ADB248F,"27.971798,-82.524857",0,27,95
1504211870,2017-08-31T20:37:50Z,ADB248F,"27.971844,-82.526009",0,24,95
1504211863,2017-08-31T20:37:43Z,ADB248F,"27.971844,-82.526321",0,24,98
1504211857,2017-08-31T20:37:37Z,ADB248F,"27.971855,-82.526604",0,24,95
1504211851,2017-08-31T20:37:31Z,ADB248F,"27.971855,-82.526924",0,24,98
1504211845,2017-08-31T20:37:25Z,ADB248F,"27.971855,-82.527252",0,24,98
1504211827,2017-08-31T20:37:07Z,ADB248F,"27.971889,-82.528099",0,20,120
1504211818,2017-08-31T20:36:58Z,ADB248F,"27.972006,-82.528435",0,21,165
1504211809,2017-08-31T20:36:49Z,ADB248F,"27.972324,-82.528572",0,23,188
1504211803,2017-08-31T20:36:43Z,ADB248F,"27.972624,-82.528542",0,29,188
1504211791,2017-08-31T20:36:31Z,ADB248F,"27.973446,-82.528534",0,29,185
1504211779,2017-08-31T20:36:19Z,ADB248F,"27.974077,-82.528503",0,29,185
1504211773,2017-08-31T20:36:13Z,ADB248F,"27.974407,-82.528488",0,32,188
1504211767,2017-08-31T20:36:07Z,ADB248F,"27.97473,-82.528488",0,33,188
1504211761,2017-08-31T20:36:01Z,ADB248F,"27.975161,-82.528465",0,15,188
1504211755,2017-08-31T20:35:55Z,ADB248F,"27.975683,-82.52845",0,15,188
1504211749,2017-08-31T20:35:49Z,ADB248F,"27.976067,-82.528442",0,33,188
1504211740,2017-08-31T20:35:40Z,ADB248F,"27.976593,-82.528412",0,32,188
1504211730,2017-08-31T20:35:30Z,ADB248F,"27.977325,-82.528389",0,16,188
1504211724,2017-08-31T20:35:24Z,ADB248F,"27.977909,-82.528358",0,17,185
1504211715,2017-08-31T20:35:15Z,ADB248F,"27.978584,-82.528343",0,16,188
1504211706,2017-08-31T20:35:06Z,ADB248F,"27.979221,-82.528328",0,15,188
1504211691,2017-08-31T20:34:51Z,ADB248F,"27.980246,-82.52829",0,34,185
1504211679,2017-08-31T20:34:39Z,ADB248F,"27.98098,-82.528275",0,32,188
1504211658,2017-08-31T20:34:18Z,ADB248F,"27.982283,-82.528206",0,31,188
1504211650,2017-08-31T20:34:10Z,ADB248F,"27.98283,-82.528198",0,32,188
1504211638,2017-08-31T20:33:58Z,ADB248F,"27.983574,-82.528168",0,29,188
1504211631,2017-08-31T20:33:51Z,ADB248F,"27.983906,-82.52816",0,28,188
1504211610,2017-08-31T20:33:30Z,ADB248F,"27.98497,-82.528107",0,22,185
1504211604,2017-08-31T20:33:24Z,ADB248F,"27.985233,-82.528107",0,20,174
1504211592,2017-08-31T20:33:12Z,ADB248F,"27.985577,-82.52816",0,20,132
1504211583,2017-08-31T20:33:03Z,ADB248F,"27.985794,-82.528465",0,22,95
1504211568,2017-08-31T20:32:48Z,ADB248F,"27.985748,-82.529205",0,22,78
1504211560,2017-08-31T20:32:40Z,ADB248F,"27.985611,-82.529716",0,24,92
1504211550,2017-08-31T20:32:30Z,ADB248F,"27.985588,-82.53006",0,23,98
1504211508,2017-08-31T20:31:48Z,ADB248F,"27.985645,-82.532097",0,33,98
1504211460,2017-08-31T20:31:00Z,ADB248F,"27.985737,-82.5354",0,28,98
1504211454,2017-08-31T20:30:54Z,ADB248F,"27.98575,-82.535881",0,28,98
1504211448,2017-08-31T20:30:48Z,ADB248F,"27.985762,-82.536247",0,27,98
1504211442,2017-08-31T20:30:42Z,ADB248F,"27.985762,-82.536476",0,27,98
1504211421,2017-08-31T20:30:21Z,ADB248F,"27.985737,-82.537735",0,28,67
1504211415,2017-08-31T20:30:15Z,ADB248F,"27.985588,-82.538078",0,28,53
1504211397,2017-08-31T20:29:57Z,ADB248F,"27.984913,-82.53891",0,30,53
1504211382,2017-08-31T20:29:42Z,ADB248F,"27.984297,-82.539665",0,31,50
1504211375,2017-08-31T20:29:35Z,ADB248F,"27.984051,-82.539963",0,28,39
1504211366,2017-08-31T20:29:26Z,ADB248F,"27.983656,-82.54023",0,27,11
1504211360,2017-08-31T20:29:20Z,ADB248F,"27.983219,-82.540268",0,26,8
1504211346,2017-08-31T20:29:06Z,ADB248F,"27.98243,-82.540298",0,15,8
1504211310,2017-08-31T20:28:30Z,ADB248F,"27.980001,-82.54039",0,32,8
1504211240,2017-08-31T20:27:20Z,ADB248F,"27.975883,-82.54052",0,29,8
1504211231,2017-08-31T20:27:11Z,ADB248F,"27.975393,-82.540543",0,28,8
1504211225,2017-08-31T20:27:05Z,ADB248F,"27.975071,-82.540558",0,27,5
1504211210,2017-08-31T20:26:50Z,ADB248F,"27.97419,-82.540588",0,25,8
1504211192,2017-08-31T20:26:32Z,ADB248F,"27.973434,-82.540604",0,23,8
1504211183,2017-08-31T20:26:23Z,ADB248F,"27.972973,-82.540619",0,25,8
1504211171,2017-08-31T20:26:11Z,ADB248F,"27.972414,-82.540649",0,31,8
1504211162,2017-08-31T20:26:02Z,ADB248F,"27.971878,-82.540657",0,29,8
1504211156,2017-08-31T20:25:56Z,ADB248F,"27.97154,-82.540657",0,31,8
1504211150,2017-08-31T20:25:50Z,ADB248F,"27.971146,-82.540672",0,31,8
1504211144,2017-08-31T20:25:44Z,ADB248F,"27.970797,-82.540688",0,30,8
1504211138,2017-08-31T20:25:38Z,ADB248F,"27.970436,-82.540703",0,29,8
1504211132,2017-08-31T20:25:32Z,ADB248F,"27.970097,-82.54071",0,27,8
1504211126,2017-08-31T20:25:26Z,ADB248F,"27.969795,-82.540718",0,26,8
1504211117,2017-08-31T20:25:17Z,ADB248F,"27.96933,-82.540741",0,28,8
1504211111,2017-08-31T20:25:11Z,ADB248F,"27.968992,-82.540756",0,33,8
1504211087,2017-08-31T20:24:47Z,ADB248F,"27.967327,-82.54081",0,34,8
1504211078,2017-08-31T20:24:38Z,ADB248F,"27.966652,-82.540825",0,31,8
1504211072,2017-08-31T20:24:32Z,ADB248F,"27.966339,-82.54084",0,30,5
1504211063,2017-08-31T20:24:23Z,ADB248F,"27.965836,-82.540848",0,28,8
1504211057,2017-08-31T20:24:17Z,ADB248F,"27.965548,-82.540863",0,26,8
1504211051,2017-08-31T20:24:11Z,ADB248F,"27.965199,-82.540878",0,25,11
1504211039,2017-08-31T20:23:59Z,ADB248F,"27.96472,-82.540901",0,25,22
1504211032,2017-08-31T20:23:52Z,ADB248F,"27.964396,-82.540985",0,28,67
1504211026,2017-08-31T20:23:46Z,ADB248F,"27.96422,-82.541283",0,27,98
1504211020,2017-08-31T20:23:40Z,ADB248F,"27.964197,-82.541618",0,25,129
1504211014,2017-08-31T20:23:34Z,ADB248F,"27.964302,-82.541885",0,22,154
1504211008,2017-08-31T20:23:28Z,ADB248F,"27.964546,-82.542061",0,29,180
