Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505373665,2017-09-14T07:21:05Z,ADB2146,"61.18576,-149.998749",0,12,337
1505373656,2017-09-14T07:20:56Z,ADB2146,"61.186501,-149.997803",0,12,337
1505373643,2017-09-14T07:20:43Z,ADB2146,"61.186295,-149.997711",0,16,354
1505373637,2017-09-14T07:20:37Z,ADB2146,"61.186085,-149.997711",0,19,28
1505373631,2017-09-14T07:20:31Z,ADB2146,"61.185905,-149.997925",0,18,53
1505373615,2017-09-14T07:20:15Z,ADB2146,"61.185738,-149.998962",0,22,59
1505373606,2017-09-14T07:20:06Z,ADB2146,"61.185642,-149.999741",0,23,59
1505373600,2017-09-14T07:20:00Z,ADB2146,"61.185585,-150.000275",0,19,59
1505373593,2017-09-14T07:19:53Z,ADB2146,"61.185539,-150.000717",0,21,56
1505373587,2017-09-14T07:19:47Z,ADB2146,"61.185493,-150.001099",0,17,53
1505373579,2017-09-14T07:19:39Z,ADB2146,"61.185402,-150.001663",0,19,39
1505373572,2017-09-14T07:19:32Z,ADB2146,"61.185299,-150.002106",0,21,16
1505373566,2017-09-14T07:19:26Z,ADB2146,"61.18515,-150.002441",0,20,348
1505373551,2017-09-14T07:19:11Z,ADB2146,"61.184677,-150.002441",0,16,326
1505373538,2017-09-14T07:18:58Z,ADB2146,"61.184338,-150.002243",0,20,326
1505373532,2017-09-14T07:18:52Z,ADB2146,"61.184116,-150.002106",0,22,329
1505373526,2017-09-14T07:18:46Z,ADB2146,"61.183891,-150.001999",0,23,326
1505373520,2017-09-14T07:18:40Z,ADB2146,"61.183605,-150.001831",0,25,326
1505373514,2017-09-14T07:18:34Z,ADB2146,"61.183319,-150.001663",0,26,326
1505373505,2017-09-14T07:18:25Z,ADB2146,"61.182884,-150.001419",0,27,326
1505373499,2017-09-14T07:18:19Z,ADB2146,"61.18256,-150.001221",0,29,326
1505373489,2017-09-14T07:18:09Z,ADB2146,"61.182011,-150.000916",0,30,329
1505373483,2017-09-14T07:18:03Z,ADB2146,"61.181614,-150.000702",0,29,326
1505373477,2017-09-14T07:17:57Z,ADB2146,"61.181328,-150.000534",0,29,329
1505373470,2017-09-14T07:17:50Z,ADB2146,"61.180996,-150.000336",0,28,329
1505373464,2017-09-14T07:17:44Z,ADB2146,"61.180653,-150.000168",0,27,329
1505373449,2017-09-14T07:17:29Z,ADB2146,"61.179905,-149.999741",0,26,326
1505373443,2017-09-14T07:17:23Z,ADB2146,"61.1796,-149.999573",0,25,326
1505373436,2017-09-14T07:17:16Z,ADB2146,"61.179302,-149.999374",0,24,326
1505373427,2017-09-14T07:17:07Z,ADB2146,"61.178928,-149.999161",0,21,329
1505373319,2017-09-14T07:15:19Z,ADB2146,"61.183334,-150",0,120,166
1505373245,2017-09-14T07:14:05Z,ADB2146,"61.217468,-150.024689",450,108,163
1505373235,2017-09-14T07:13:55Z,ADB2146,"61.22187,-150.027267",550,112,164
1505373225,2017-09-14T07:13:45Z,ADB2146,"61.226898,-150.030212",650,115,163
1505373215,2017-09-14T07:13:35Z,ADB2146,"61.2323,-150.033325",750,117,164
1505373209,2017-09-14T07:13:29Z,ADB2146,"61.234818,-150.03479",775,114,164
1505373184,2017-09-14T07:13:04Z,ADB2146,"61.249008,-150.042831",1050,121,164
1505373174,2017-09-14T07:12:54Z,ADB2146,"61.253529,-150.045578",1150,128,163
1505373168,2017-09-14T07:12:48Z,ADB2146,"61.256695,-150.047409",1225,132,164
1505373158,2017-09-14T07:12:38Z,ADB2146,"61.262512,-150.050766",1425,136,164
1505373143,2017-09-14T07:12:23Z,ADB2146,"61.272194,-150.056152",1700,147,165
1505373133,2017-09-14T07:12:13Z,ADB2146,"61.279449,-150.060104",1750,164,164
1505373124,2017-09-14T07:12:04Z,ADB2146,"61.286858,-150.064285",1925,170,164
1505373117,2017-09-14T07:11:57Z,ADB2146,"61.291283,-150.066833",2075,168,164
1505373107,2017-09-14T07:11:47Z,ADB2146,"61.298309,-150.070786",2350,165,164
1505373097,2017-09-14T07:11:37Z,ADB2146,"61.305759,-150.075073",2525,166,164
1505373087,2017-09-14T07:11:27Z,ADB2146,"61.313442,-150.079544",2675,169,165
1505373077,2017-09-14T07:11:17Z,ADB2146,"61.321426,-150.083939",2825,171,164
1505373071,2017-09-14T07:11:11Z,ADB2146,"61.325542,-150.086365",2875,168,164
1505373061,2017-09-14T07:11:01Z,ADB2146,"61.333134,-150.090836",2925,163,164
1505373051,2017-09-14T07:10:51Z,ADB2146,"61.340973,-150.095505",2925,165,164
1505373040,2017-09-14T07:10:40Z,ADB2146,"61.347977,-150.099625",2950,168,164
1505373030,2017-09-14T07:10:30Z,ADB2146,"61.355759,-150.10405",2950,169,164
1505373020,2017-09-14T07:10:20Z,ADB2146,"61.363438,-150.108444",2975,169,165
1505373010,2017-09-14T07:10:10Z,ADB2146,"61.371071,-150.112503",2975,169,165
1505373004,2017-09-14T07:10:04Z,ADB2146,"61.374985,-150.114441",2975,168,166
1505372994,2017-09-14T07:09:54Z,ADB2146,"61.382401,-150.118271",2950,168,165
1505372984,2017-09-14T07:09:44Z,ADB2146,"61.390484,-150.122482",2925,167,165
1505372975,2017-09-14T07:09:35Z,ADB2146,"61.397736,-150.126511",2925,164,164
1505372969,2017-09-14T07:09:29Z,ADB2146,"61.401627,-150.12886",2950,167,163
1505372959,2017-09-14T07:09:19Z,ADB2146,"61.409363,-150.133865",2975,172,161
1505372953,2017-09-14T07:09:13Z,ADB2146,"61.413063,-150.136414",2975,175,161
1505372943,2017-09-14T07:09:03Z,ADB2146,"61.421207,-150.142517",3000,176,160
1505372933,2017-09-14T07:08:53Z,ADB2146,"61.429092,-150.148682",2975,172,157
1505372923,2017-09-14T07:08:43Z,ADB2146,"61.436417,-150.155151",2950,168,156
1505372912,2017-09-14T07:08:32Z,ADB2146,"61.443558,-150.161728",2950,163,155
1505372903,2017-09-14T07:08:23Z,ADB2146,"61.450535,-150.168961",2950,165,147
1505372897,2017-09-14T07:08:17Z,ADB2146,"61.453995,-150.174377",2950,167,138
1505372891,2017-09-14T07:08:11Z,ADB2146,"61.456879,-150.179871",2975,169,137
1505372881,2017-09-14T07:08:01Z,ADB2146,"61.463562,-150.192627",2975,172,137
1505372871,2017-09-14T07:07:51Z,ADB2146,"61.468597,-150.202332",2975,174,136
1505372861,2017-09-14T07:07:41Z,ADB2146,"61.474731,-150.214691",2950,179,135
1505372851,2017-09-14T07:07:31Z,ADB2146,"61.480728,-150.227249",3025,173,134
1505372841,2017-09-14T07:07:21Z,ADB2146,"61.486195,-150.239563",3025,173,130
1505372835,2017-09-14T07:07:15Z,ADB2146,"61.488804,-150.246277",3025,173,125
1505372815,2017-09-14T07:06:55Z,ADB2146,"61.493549,-150.279739",2950,188,84
1505372805,2017-09-14T07:06:45Z,ADB2146,"61.491531,-150.297974",2925,202,70
1505372795,2017-09-14T07:06:35Z,ADB2146,"61.488243,-150.316666",2925,203,68
1505372784,2017-09-14T07:06:24Z,ADB2146,"61.484573,-150.334854",2925,204,63
1505372769,2017-09-14T07:06:09Z,ADB2146,"61.475441,-150.359802",2875,219,38
1505372745,2017-09-14T07:05:45Z,ADB2146,"61.451614,-150.375565",2850,236,354
1505372739,2017-09-14T07:05:39Z,ADB2146,"61.44537,-150.374146",2900,237,351
1505372733,2017-09-14T07:05:33Z,ADB2146,"61.436188,-150.371338",2975,234,351
1505372726,2017-09-14T07:05:26Z,ADB2146,"61.43145,-150.369873",3025,233,351
1505372720,2017-09-14T07:05:20Z,ADB2146,"61.425446,-150.368042",3100,233,351
1505372714,2017-09-14T07:05:14Z,ADB2146,"61.417007,-150.365356",3225,234,351
1505372708,2017-09-14T07:05:08Z,ADB2146,"61.412064,-150.363785",3275,235,351
1505372699,2017-09-14T07:04:59Z,ADB2146,"61.401051,-150.360214",3450,236,351
1505372693,2017-09-14T07:04:53Z,ADB2146,"61.395172,-150.358398",3525,237,351
1505372687,2017-09-14T07:04:47Z,ADB2146,"61.38913,-150.356537",3600,239,352
1505372678,2017-09-14T07:04:38Z,ADB2146,"61.377125,-150.353195",3750,239,352
1505372656,2017-09-14T07:04:16Z,ADB2146,"61.355484,-150.349365",4100,240,1
1505372650,2017-09-14T07:04:10Z,ADB2146,"61.348633,-150.350143",4200,240,4
1505372644,2017-09-14T07:04:04Z,ADB2146,"61.342392,-150.351135",4275,242,4
1505372638,2017-09-14T07:03:58Z,ADB2146,"61.335434,-150.35231",4375,244,4
1505372632,2017-09-14T07:03:52Z,ADB2146,"61.32843,-150.3535",4450,245,4
1505372626,2017-09-14T07:03:46Z,ADB2146,"61.321152,-150.354675",4550,246,4
1505372620,2017-09-14T07:03:40Z,ADB2146,"61.314697,-150.355728",4625,247,4
1505372613,2017-09-14T07:03:33Z,ADB2146,"61.307575,-150.356949",4725,246,4
1505372607,2017-09-14T07:03:27Z,ADB2146,"61.30064,-150.35817",4800,245,5
1505372601,2017-09-14T07:03:21Z,ADB2146,"61.29364,-150.359482",4900,244,5
1505372595,2017-09-14T07:03:15Z,ADB2146,"61.286907,-150.360825",4925,246,5
1505372589,2017-09-14T07:03:09Z,ADB2146,"61.279816,-150.362228",4975,248,5
1505372577,2017-09-14T07:02:57Z,ADB2146,"61.265957,-150.364792",5050,251,5
1505372565,2017-09-14T07:02:45Z,ADB2146,"61.251945,-150.367432",5150,254,5
1505372552,2017-09-14T07:02:32Z,ADB2146,"61.237381,-150.37027",5300,254,5
1505372540,2017-09-14T07:02:20Z,ADB2146,"61.222733,-150.37291",5400,256,5
1505372528,2017-09-14T07:02:08Z,ADB2146,"61.20837,-150.375778",5500,259,5
1505372516,2017-09-14T07:01:56Z,ADB2146,"61.193569,-150.37883",5575,264,5
1505372503,2017-09-14T07:01:43Z,ADB2146,"61.179108,-150.381546",5675,267,5
1505372491,2017-09-14T07:01:31Z,ADB2146,"61.163589,-150.384415",5775,272,5
