Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1505777722,2017-09-18T23:35:22Z,ADB2092,"53.918186,-50.223831",33000,460,66
1505777665,2017-09-18T23:34:25Z,ADB2092,"53.870335,-50.41296",33000,450,66
1505777541,2017-09-18T23:32:21Z,ADB2092,"53.765751,-50.806232",33000,450,67
1505777478,2017-09-18T23:31:18Z,ADB2092,"53.709164,-51.012665",33000,460,65
1505777422,2017-09-18T23:30:22Z,ADB2092,"53.65519,-51.19875",33000,460,68
1505777361,2017-09-18T23:29:21Z,ADB2092,"53.596291,-51.399292",33000,460,58
1505777305,2017-09-18T23:28:25Z,ADB2092,"53.538643,-51.571037",33000,460,58
1505777239,2017-09-18T23:27:19Z,ADB2092,"53.483391,-51.766151",33000,460,67
1505777175,2017-09-18T23:26:15Z,ADB2092,"53.440208,-51.966213",33000,450,72
1505777113,2017-09-18T23:25:13Z,ADB2092,"53.403522,-52.160172",33000,450,68
1505777052,2017-09-18T23:24:12Z,ADB2092,"53.362946,-52.35989",33000,450,63
1505776977,2017-09-18T23:22:57Z,ADB2092,"53.314133,-52.585979",33025,451,65
1505776897,2017-09-18T23:21:37Z,ADB2092,"53.246033,-52.835754",32975,450,65
1505776827,2017-09-18T23:20:27Z,ADB2092,"53.186508,-53.051411",32950,447,65
1505776762,2017-09-18T23:19:22Z,ADB2092,"53.128647,-53.259758",32950,448,65
1505776667,2017-09-18T23:17:47Z,ADB2092,"53.044647,-53.56604",32975,449,65
1505776632,2017-09-18T23:17:12Z,ADB2092,"53.017365,-53.665161",33000,450,65
1505776567,2017-09-18T23:16:07Z,ADB2092,"52.959824,-53.875885",32975,451,65
1505776502,2017-09-18T23:15:02Z,ADB2092,"52.903976,-54.078751",32950,454,66
1505776437,2017-09-18T23:13:57Z,ADB2092,"52.850475,-54.276306",32975,456,66
1505776372,2017-09-18T23:12:52Z,ADB2092,"52.793777,-54.484421",33000,459,65
1505776311,2017-09-18T23:11:51Z,ADB2092,"52.740784,-54.673462",33000,459,64
1505776249,2017-09-18T23:10:49Z,ADB2092,"52.685623,-54.869232",32975,461,65
1505776188,2017-09-18T23:09:48Z,ADB2092,"52.629868,-55.065384",33000,460,64
1505776126,2017-09-18T23:08:46Z,ADB2092,"52.574432,-55.260239",33000,460,64
