Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1498894435,2017-07-01T07:33:55Z,ADB2130,"42.287586,24.689344",875,141,80
1498894429,2017-07-01T07:33:49Z,ADB2130,"42.287018,24.68503",925,141,80
1498894423,2017-07-01T07:33:43Z,ADB2130,"42.286423,24.680212",1000,144,80
1498894417,2017-07-01T07:33:37Z,ADB2130,"42.285645,24.674294",1050,148,79
1498894411,2017-07-01T07:33:31Z,ADB2130,"42.285072,24.670118",1125,150,79
1498894405,2017-07-01T07:33:25Z,ADB2130,"42.284225,24.663557",1175,148,80
1498894399,2017-07-01T07:33:19Z,ADB2130,"42.283539,24.657814",1225,147,81
1498894393,2017-07-01T07:33:13Z,ADB2130,"42.283024,24.653511",1275,147,80
1498894387,2017-07-01T07:33:07Z,ADB2130,"42.282326,24.648018",1325,150,80
1498894381,2017-07-01T07:33:01Z,ADB2130,"42.281525,24.64146",1400,153,80
1498894375,2017-07-01T07:32:55Z,ADB2130,"42.280746,24.635155",1500,154,81
1498894369,2017-07-01T07:32:49Z,ADB2130,"42.280243,24.630848",1550,156,81
1498894363,2017-07-01T07:32:43Z,ADB2130,"42.279465,24.624544",1650,161,80
1498894357,2017-07-01T07:32:37Z,ADB2130,"42.278641,24.618551",1725,164,79
1498894351,2017-07-01T07:32:31Z,ADB2130,"42.277863,24.613182",1800,166,79
1498894345,2017-07-01T07:32:25Z,ADB2130,"42.276974,24.606756",1925,170,79
1498894339,2017-07-01T07:32:19Z,ADB2130,"42.27581,24.598452",2075,173,80
1498894333,2017-07-01T07:32:13Z,ADB2130,"42.275162,24.593519",2175,176,81
1498894326,2017-07-01T07:32:06Z,ADB2130,"42.274181,24.585102",2350,176,81
1498894320,2017-07-01T07:32:00Z,ADB2130,"42.27356,24.5791",2475,178,82
1498894312,2017-07-01T07:31:52Z,ADB2130,"42.272644,24.569645",2675,181,82
1498894303,2017-07-01T07:31:43Z,ADB2130,"42.271713,24.560511",2875,184,82
