Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1498980779,2017-07-02T07:32:59Z,ADB2131,"42.286743,24.683096",1075,143,80
1498980770,2017-07-02T07:32:50Z,ADB2131,"42.285873,24.676043",1150,143,80
1498980764,2017-07-02T07:32:44Z,ADB2131,"42.285278,24.671049",1225,143,81
1498980758,2017-07-02T07:32:38Z,ADB2131,"42.284794,24.66699",1275,144,80
1498980752,2017-07-02T07:32:32Z,ADB2131,"42.284042,24.660936",1325,148,80
1498980740,2017-07-02T07:32:20Z,ADB2131,"42.282623,24.650387",1475,148,79
1498980731,2017-07-02T07:32:11Z,ADB2131,"42.281395,24.642078",1525,149,79
1498980725,2017-07-02T07:32:05Z,ADB2131,"42.280464,24.63518",1625,149,80
1498980719,2017-07-02T07:31:59Z,ADB2131,"42.279675,24.628664",1700,148,81
1498980713,2017-07-02T07:31:53Z,ADB2131,"42.279209,24.624514",1750,149,81
1498980707,2017-07-02T07:31:47Z,ADB2131,"42.278595,24.619112",1800,150,81
1498980701,2017-07-02T07:31:41Z,ADB2131,"42.277905,24.612823",1875,153,81
1498980695,2017-07-02T07:31:35Z,ADB2131,"42.277222,24.607502",1950,156,80
1498980689,2017-07-02T07:31:29Z,ADB2131,"42.276581,24.602695",2025,158,79
1498980682,2017-07-02T07:31:22Z,ADB2131,"42.27562,24.596205",2125,161,78
1498980676,2017-07-02T07:31:16Z,ADB2131,"42.274693,24.59034",2225,164,78
1498980670,2017-07-02T07:31:10Z,ADB2131,"42.273697,24.584032",2325,168,78
1498980664,2017-07-02T07:31:04Z,ADB2131,"42.272781,24.578226",2400,172,78
1498980658,2017-07-02T07:30:58Z,ADB2131,"42.271774,24.571423",2525,175,79
1498980652,2017-07-02T07:30:52Z,ADB2131,"42.271061,24.565876",2625,178,81
1498980646,2017-07-02T07:30:46Z,ADB2131,"42.270271,24.55834",2775,180,83
1498980640,2017-07-02T07:30:40Z,ADB2131,"42.269619,24.550356",3000,179,85
1498980634,2017-07-02T07:30:34Z,ADB2131,"42.269302,24.545204",3125,179,86
1498980628,2017-07-02T07:30:28Z,ADB2131,"42.269073,24.538963",3275,180,87
1498980620,2017-07-02T07:30:20Z,ADB2131,"42.26889,24.527977",3350,194,92
1498980613,2017-07-02T07:30:13Z,ADB2131,"42.269257,24.520424",3400,201,98
1498980607,2017-07-02T07:30:07Z,ADB2131,"42.270039,24.513819",3475,205,98
1498980601,2017-07-02T07:30:01Z,ADB2131,"42.271015,24.505005",3525,211,97
1498980595,2017-07-02T07:29:55Z,ADB2131,"42.271805,24.496574",3650,213,95
1498980587,2017-07-02T07:29:47Z,ADB2131,"42.272461,24.485716",3850,214,92
1498980577,2017-07-02T07:29:37Z,ADB2131,"42.272736,24.474419",4050,214,91
1498980571,2017-07-02T07:29:31Z,ADB2131,"42.272877,24.466234",4175,216,91
1498980565,2017-07-02T07:29:25Z,ADB2131,"42.27301,24.457314",4300,219,91
1498980559,2017-07-02T07:29:19Z,ADB2131,"42.273148,24.449013",4400,220,92
1498980553,2017-07-02T07:29:13Z,ADB2131,"42.27356,24.44146",4550,219,98
1498980547,2017-07-02T07:29:07Z,ADB2131,"42.274784,24.433531",4750,217,106
1498980535,2017-07-02T07:28:55Z,ADB2131,"42.279255,24.418072",5075,217,113
1498980523,2017-07-02T07:28:43Z,ADB2131,"42.284374,24.402552",5325,220,114
1498980512,2017-07-02T07:28:32Z,ADB2131,"42.289307,24.388088",5425,228,116
1498980499,2017-07-02T07:28:19Z,ADB2131,"42.296013,24.371124",5575,233,118
1498980487,2017-07-02T07:28:07Z,ADB2131,"42.301506,24.357391",5650,241,118
1498980475,2017-07-02T07:27:55Z,ADB2131,"42.308071,24.340784",5750,250,117
1498980463,2017-07-02T07:27:43Z,ADB2131,"42.314819,24.323921",5800,259,118
1498980451,2017-07-02T07:27:31Z,ADB2131,"42.321709,24.306677",6025,263,118
1498980437,2017-07-02T07:27:17Z,ADB2131,"42.330643,24.283905",6175,267,118
1498980424,2017-07-02T07:27:04Z,ADB2131,"42.337723,24.266115",6175,264,117
1498980412,2017-07-02T07:26:52Z,ADB2131,"42.344429,24.249189",6150,264,118
1498980400,2017-07-02T07:26:40Z,ADB2131,"42.352936,24.227787",6125,268,118
1498980388,2017-07-02T07:26:28Z,ADB2131,"42.35939,24.211557",6150,272,117
1498980376,2017-07-02T07:26:16Z,ADB2131,"42.365799,24.195204",6150,280,117
1498980364,2017-07-02T07:26:04Z,ADB2131,"42.373524,24.175606",6150,288,118
1498980352,2017-07-02T07:25:52Z,ADB2131,"42.380814,24.157312",6325,289,118
1498980340,2017-07-02T07:25:40Z,ADB2131,"42.388412,24.138273",6575,289,118
1498980328,2017-07-02T07:25:28Z,ADB2131,"42.395966,24.119047",6875,289,117
1498980316,2017-07-02T07:25:16Z,ADB2131,"42.403564,24.09976",7150,292,118
1498980304,2017-07-02T07:25:04Z,ADB2131,"42.411324,24.080114",7550,292,118
1498980292,2017-07-02T07:24:52Z,ADB2131,"42.418854,24.060932",7925,294,117
1498980281,2017-07-02T07:24:41Z,ADB2131,"42.426361,24.041471",8300,297,117
1498980265,2017-07-02T07:24:25Z,ADB2131,"42.436184,24.01656",8575,302,118
1498980253,2017-07-02T07:24:13Z,ADB2131,"42.444031,23.996574",8775,304,117
1498980241,2017-07-02T07:24:01Z,ADB2131,"42.452225,23.975788",9075,303,117
1498980229,2017-07-02T07:23:49Z,ADB2131,"42.46019,23.955688",9150,307,118
1498980217,2017-07-02T07:23:37Z,ADB2131,"42.468491,23.934673",9350,312,117
1498980206,2017-07-02T07:23:26Z,ADB2131,"42.476265,23.914362",9550,318,117
1498980192,2017-07-02T07:23:12Z,ADB2131,"42.48497,23.892389",9850,320,118
1498980181,2017-07-02T07:23:01Z,ADB2131,"42.493286,23.871481",10200,321,117
1498980168,2017-07-02T07:22:48Z,ADB2131,"42.501755,23.849945",10375,328,117
1498980156,2017-07-02T07:22:36Z,ADB2131,"42.510315,23.827909",10625,334,117
1498980144,2017-07-02T07:22:24Z,ADB2131,"42.519058,23.805313",10825,341,117
1498980132,2017-07-02T07:22:12Z,ADB2131,"42.527893,23.782341",11025,349,117
1498980120,2017-07-02T07:22:00Z,ADB2131,"42.537201,23.758446",11175,359,117
1498980108,2017-07-02T07:21:48Z,ADB2131,"42.546616,23.734526",11300,371,117
1498980075,2017-07-02T07:21:15Z,ADB2131,"42.573669,23.664988",12425,379,117
1498980042,2017-07-02T07:20:42Z,ADB2131,"42.600906,23.5947",13550,387,117
1498980009,2017-07-02T07:20:09Z,ADB2131,"42.628372,23.522852",14200,398,117
1498979976,2017-07-02T07:19:36Z,ADB2131,"42.656933,23.448338",15125,408,117
1498979943,2017-07-02T07:19:03Z,ADB2131,"42.685547,23.373537",17050,394,117
1498979880,2017-07-02T07:18:00Z,ADB2131,"42.739422,23.231997",19550,412,116
1498979817,2017-07-02T07:16:57Z,ADB2131,"42.795776,23.083462",22125,433,115
1498979811,2017-07-02T07:16:51Z,ADB2131,"42.800827,23.068861",22375,435,115
1498979805,2017-07-02T07:16:45Z,ADB2131,"42.806396,23.052937",22600,438,116
1498979799,2017-07-02T07:16:39Z,ADB2131,"42.812485,23.037245",22825,439,119
1498979793,2017-07-02T07:16:33Z,ADB2131,"42.817932,23.024788",22950,438,122
1498979787,2017-07-02T07:16:27Z,ADB2131,"42.824986,23.010864",23125,437,126
1498979781,2017-07-02T07:16:21Z,ADB2131,"42.832573,22.99785",23325,435,130
1498979719,2017-07-02T07:15:19Z,ADB2131,"42.922211,22.881519",25150,443,137
1498979713,2017-07-02T07:15:13Z,ADB2131,"42.932335,22.868631",25425,444,136
1498979707,2017-07-02T07:15:07Z,ADB2131,"42.941574,22.856609",25650,446,135
1498979701,2017-07-02T07:15:01Z,ADB2131,"42.951874,22.842556",25925,449,133
1498979695,2017-07-02T07:14:55Z,ADB2131,"42.957939,22.83371",26050,452,130
1498979689,2017-07-02T07:14:49Z,ADB2131,"42.967026,22.819115",26275,458,127
1498979683,2017-07-02T07:14:43Z,ADB2131,"42.975769,22.802908",26500,465,123
1498979677,2017-07-02T07:14:37Z,ADB2131,"42.981541,22.790745",26650,470,120
1498979671,2017-07-02T07:14:31Z,ADB2131,"42.988384,22.774462",26800,477,117
1498979608,2017-07-02T07:13:28Z,ADB2131,"43.037498,22.594954",29200,490,109
1498979545,2017-07-02T07:12:25Z,ADB2131,"43.084888,22.409494",30725,487,108
1498979482,2017-07-02T07:11:22Z,ADB2131,"43.130905,22.22777",30975,489,108
1498979421,2017-07-02T07:10:21Z,ADB2131,"43.175171,22.05135",30975,491,108
1498979358,2017-07-02T07:09:18Z,ADB2131,"43.221954,21.863367",30975,492,108
1498979295,2017-07-02T07:08:15Z,ADB2131,"43.267559,21.678837",30975,491,108
1498979232,2017-07-02T07:07:12Z,ADB2131,"43.313179,21.492397",30975,490,108
1498979169,2017-07-02T07:06:09Z,ADB2131,"43.358242,21.306217",30975,488,108
1498979106,2017-07-02T07:05:06Z,ADB2131,"43.403118,21.11945",30950,490,108
1498979045,2017-07-02T07:04:05Z,ADB2131,"43.445526,20.941053",30975,490,108
1498978982,2017-07-02T07:03:02Z,ADB2131,"43.489792,20.753302",30975,489,107
1498978919,2017-07-02T07:01:59Z,ADB2131,"43.532959,20.568195",30975,487,107
1498978856,2017-07-02T07:00:56Z,ADB2131,"43.576309,20.380789",30975,488,107
1498978793,2017-07-02T06:59:53Z,ADB2131,"43.619202,20.193573",30975,488,107
1498978730,2017-07-02T06:58:50Z,ADB2131,"43.661819,20.00572",30950,488,107
1498978667,2017-07-02T06:57:47Z,ADB2131,"43.703659,19.819336",30975,488,107
1498978575,2017-07-02T06:56:15Z,ADB2131,"43.764771,19.544678",30975,487,106
1498978539,2017-07-02T06:55:39Z,ADB2131,"43.789501,19.431807",30975,489,106
1498978476,2017-07-02T06:54:36Z,ADB2131,"43.829304,19.249681",30950,489,106
1498978413,2017-07-02T06:53:33Z,ADB2131,"43.870697,19.058533",30975,488,106
1498978350,2017-07-02T06:52:30Z,ADB2131,"43.911163,18.869913",30975,489,106
1498978287,2017-07-02T06:51:27Z,ADB2131,"43.951675,18.679823",30975,490,106
1498978226,2017-07-02T06:50:26Z,ADB2131,"43.990047,18.498034",31000,491,106
1498978164,2017-07-02T06:49:24Z,ADB2131,"44.030037,18.306623",31000,492,106
1498978103,2017-07-02T06:48:23Z,ADB2131,"44.067558,18.123322",31000,494,105
1498978040,2017-07-02T06:47:20Z,ADB2131,"44.106171,17.93071",31000,495,105
1498977977,2017-07-02T06:46:17Z,ADB2131,"44.145035,17.73551",31000,497,105
1498977914,2017-07-02T06:45:14Z,ADB2131,"44.183193,17.541962",31025,499,104
1498977851,2017-07-02T06:44:11Z,ADB2131,"44.221413,17.345671",31000,500,104
1498977790,2017-07-02T06:43:10Z,ADB2131,"44.257782,17.157309",31000,497,105
1498977727,2017-07-02T06:42:07Z,ADB2131,"44.295059,16.963024",31000,493,104
1498977664,2017-07-02T06:41:04Z,ADB2131,"44.331558,16.77083",31000,488,104
1498977601,2017-07-02T06:40:01Z,ADB2131,"44.367401,16.579844",30950,481,104
1498977535,2017-07-02T06:38:55Z,ADB2131,"44.404366,16.38162",30975,474,104
1498977474,2017-07-02T06:37:54Z,ADB2131,"44.439606,16.201761",30950,464,105
1498977411,2017-07-02T06:36:51Z,ADB2131,"44.475998,16.021664",30950,453,105
1498977350,2017-07-02T06:35:50Z,ADB2131,"44.49939,15.846601",31000,457,96
1498977287,2017-07-02T06:34:47Z,ADB2131,"44.51532,15.65761",30975,453,97
1498977226,2017-07-02T06:33:46Z,ADB2131,"44.529778,15.487708",31000,450,96
1498977164,2017-07-02T06:32:44Z,ADB2131,"44.54388,15.304826",31000,447,95
1498977100,2017-07-02T06:31:40Z,ADB2131,"44.556519,15.121962",30925,451,95
1498977038,2017-07-02T06:30:38Z,ADB2131,"44.569427,14.940164",30975,457,97
1498976975,2017-07-02T06:29:35Z,ADB2131,"44.593784,14.757653",30975,453,101
1498976914,2017-07-02T06:28:34Z,ADB2131,"44.619827,14.582911",31000,445,101
1498976853,2017-07-02T06:27:33Z,ADB2131,"44.64386,14.415697",30950,431,101
1498976791,2017-07-02T06:26:31Z,ADB2131,"44.668968,14.243573",31025,415,101
1498976728,2017-07-02T06:25:28Z,ADB2131,"44.69173,14.08253",30700,406,101
1498976666,2017-07-02T06:24:26Z,ADB2131,"44.714127,13.92491",30200,401,100
1498976604,2017-07-02T06:23:24Z,ADB2131,"44.736652,13.763324",29550,398,101
1498976540,2017-07-02T06:22:20Z,ADB2131,"44.760159,13.59612",28775,394,99
1498976475,2017-07-02T06:21:15Z,ADB2131,"44.782181,13.43715",28225,387,99
