Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1501075074,2017-07-26T13:17:54Z,MXM3721,"24.351057,54.767467",2700,141,304
1501075068,2017-07-26T13:17:48Z,MXM3721,"24.349054,54.77063",2750,142,302
1501075062,2017-07-26T13:17:42Z,MXM3721,"24.346914,54.77441",2800,144,301
1501075055,2017-07-26T13:17:35Z,MXM3721,"24.344957,54.777988",2875,146,297
1501075041,2017-07-26T13:17:21Z,MXM3721,"24.341537,54.790344",3025,154,281
1501075031,2017-07-26T13:17:11Z,MXM3721,"24.34053,54.795887",3050,165,281
1501074797,2017-07-26T13:13:17Z,MXM3721,"24.489716,54.939728",3975,272,199
1501074791,2017-07-26T13:13:11Z,MXM3721,"24.497463,54.942783",4075,274,199
1501074782,2017-07-26T13:13:02Z,MXM3721,"24.507519,54.94672",4125,277,195
1501074775,2017-07-26T13:12:55Z,MXM3721,"24.51762,54.949623",4275,280,183
1501074766,2017-07-26T13:12:46Z,MXM3721,"24.526373,54.95071",4375,282,182
1501074737,2017-07-26T13:12:17Z,MXM3721,"24.57811,54.949799",5425,281,179
1501074704,2017-07-26T13:11:44Z,MXM3721,"24.610428,54.949493",6325,287,179
1501074679,2017-07-26T13:11:19Z,MXM3721,"24.641542,54.949207",7400,274,180
1501074667,2017-07-26T13:11:07Z,MXM3721,"24.657324,54.949207",7750,269,179
1501074656,2017-07-26T13:10:56Z,MXM3721,"24.673758,54.949055",7875,274,179
1501074643,2017-07-26T13:10:43Z,MXM3721,"24.688705,54.948933",8100,273,179
1501074631,2017-07-26T13:10:31Z,MXM3721,"24.702898,54.948845",8350,272,179
1501074610,2017-07-26T13:10:10Z,MXM3721,"24.729013,54.948742",8550,274,180
1501074592,2017-07-26T13:09:52Z,MXM3721,"24.754486,54.948681",8550,273,179
1501074571,2017-07-26T13:09:31Z,MXM3721,"24.780533,54.94873",8550,270,179
1501074556,2017-07-26T13:09:16Z,MXM3721,"24.798615,54.94873",8500,269,181
1501074550,2017-07-26T13:09:10Z,MXM3721,"24.805618,54.948933",8500,268,181
1501074544,2017-07-26T13:09:04Z,MXM3721,"24.812668,54.949085",8525,267,180
1501074538,2017-07-26T13:08:58Z,MXM3721,"24.819901,54.949238",8500,266,182
1501074532,2017-07-26T13:08:52Z,MXM3721,"24.827408,54.949799",8475,266,188
1501074526,2017-07-26T13:08:46Z,MXM3721,"24.835098,54.951679",8475,268,198
1501074520,2017-07-26T13:08:40Z,MXM3721,"24.842602,54.955063",8500,268,207
1501074508,2017-07-26T13:08:28Z,MXM3721,"24.85438,54.962318",8475,270,209
1501074496,2017-07-26T13:08:16Z,MXM3721,"24.867371,54.970654",8500,271,211
1501074490,2017-07-26T13:08:10Z,MXM3721,"24.874025,54.975224",8475,272,212
1501074484,2017-07-26T13:08:04Z,MXM3721,"24.880449,54.979782",8475,272,212
1501074478,2017-07-26T13:07:58Z,MXM3721,"24.886967,54.984394",8500,273,213
1501074472,2017-07-26T13:07:52Z,MXM3721,"24.893064,54.989006",8475,275,217
1501074459,2017-07-26T13:07:39Z,MXM3721,"24.904655,55.000202",8500,277,226
1501074447,2017-07-26T13:07:27Z,MXM3721,"24.915922,55.013157",8500,279,226
1501074435,2017-07-26T13:07:15Z,MXM3721,"24.926302,55.025127",8500,280,226
1501074424,2017-07-26T13:07:04Z,MXM3721,"24.937134,55.037537",8500,282,226
1501074411,2017-07-26T13:06:51Z,MXM3721,"24.948183,55.050209",8500,284,226
1501074399,2017-07-26T13:06:39Z,MXM3721,"24.959169,55.062698",8500,285,225
1501074387,2017-07-26T13:06:27Z,MXM3721,"24.970528,55.075603",8500,285,226
1501074375,2017-07-26T13:06:15Z,MXM3721,"24.981001,55.08778",8500,285,226
1501074363,2017-07-26T13:06:03Z,MXM3721,"24.991987,55.100479",8525,285,226
1501074351,2017-07-26T13:05:51Z,MXM3721,"25.003626,55.11385",8525,284,226
1501074336,2017-07-26T13:05:36Z,MXM3721,"25.016785,55.128986",8525,282,226
1501074324,2017-07-26T13:05:24Z,MXM3721,"25.027601,55.141468",8525,282,226
1501074312,2017-07-26T13:05:12Z,MXM3721,"25.038574,55.154064",8550,280,226
1501074300,2017-07-26T13:05:00Z,MXM3721,"25.049149,55.166321",8525,278,226
1501074288,2017-07-26T13:04:48Z,MXM3721,"25.060181,55.178936",8525,276,226
1501074276,2017-07-26T13:04:36Z,MXM3721,"25.070894,55.191116",8550,275,226
1501074264,2017-07-26T13:04:24Z,MXM3721,"25.081461,55.20319",8525,274,226
1501074252,2017-07-26T13:04:12Z,MXM3721,"25.091721,55.215149",8475,275,226
1501074240,2017-07-26T13:04:00Z,MXM3721,"25.102295,55.227306",8500,273,226
1501074228,2017-07-26T13:03:48Z,MXM3721,"25.113052,55.239716",8475,270,226
1501074216,2017-07-26T13:03:36Z,MXM3721,"25.123823,55.25211",8475,268,226
1501074204,2017-07-26T13:03:24Z,MXM3721,"25.134111,55.26403",8475,266,226
1501074192,2017-07-26T13:03:12Z,MXM3721,"25.144073,55.275482",8475,267,226
1501074180,2017-07-26T13:03:00Z,MXM3721,"25.154362,55.287296",8475,268,226
1501074168,2017-07-26T13:02:48Z,MXM3721,"25.164688,55.299274",8500,270,226
1501074156,2017-07-26T13:02:36Z,MXM3721,"25.174942,55.310974",8500,270,226
1501074144,2017-07-26T13:02:24Z,MXM3721,"25.185738,55.323467",8525,271,226
1501074132,2017-07-26T13:02:12Z,MXM3721,"25.196045,55.335438",8525,272,226
1501074120,2017-07-26T13:02:00Z,MXM3721,"25.20639,55.34734",8575,271,226
1501074102,2017-07-26T13:01:42Z,MXM3721,"25.221724,55.365288",8575,270,226
1501074090,2017-07-26T13:01:30Z,MXM3721,"25.232254,55.377502",8400,277,226
1501074078,2017-07-26T13:01:18Z,MXM3721,"25.243044,55.389801",8075,279,226
1501074066,2017-07-26T13:01:06Z,MXM3721,"25.254547,55.40329",7800,278,227
1501074054,2017-07-26T13:00:54Z,MXM3721,"25.26469,55.415245",7550,275,226
1501074042,2017-07-26T13:00:42Z,MXM3721,"25.275026,55.427528",7325,272,229
1501074026,2017-07-26T13:00:26Z,MXM3721,"25.287083,55.443024",6975,270,225
1501074020,2017-07-26T13:00:20Z,MXM3721,"25.292816,55.449116",6850,268,221
1501074003,2017-07-26T13:00:03Z,MXM3721,"25.308289,55.466969",6325,271,235
1501073994,2017-07-26T12:59:54Z,MXM3721,"25.314926,55.477753",5925,277,233
1501073987,2017-07-26T12:59:47Z,MXM3721,"25.31967,55.484016",5750,281,225
1501073975,2017-07-26T12:59:35Z,MXM3721,"25.332005,55.494896",5550,277,213
1501073963,2017-07-26T12:59:23Z,MXM3721,"25.345322,55.504303",5500,274,212
1501073951,2017-07-26T12:59:11Z,MXM3721,"25.357635,55.51305",5575,270,213
1501073936,2017-07-26T12:58:56Z,MXM3721,"25.373484,55.523918",5550,265,211
1501073930,2017-07-26T12:58:50Z,MXM3721,"25.379721,55.528271",5575,260,212
1501073906,2017-07-26T12:58:26Z,MXM3721,"25.40657,55.537415",5575,247,173
1501073897,2017-07-26T12:58:17Z,MXM3721,"25.417419,55.534058",5675,233,152
1501073891,2017-07-26T12:58:11Z,MXM3721,"25.422176,55.531071",5650,228,144
1501073883,2017-07-26T12:58:03Z,MXM3721,"25.429276,55.523579",5450,230,125
1501073876,2017-07-26T12:57:56Z,MXM3721,"25.43248,55.517883",5325,230,116
1501073870,2017-07-26T12:57:50Z,MXM3721,"25.434952,55.511829",5175,230,109
1501073864,2017-07-26T12:57:44Z,MXM3721,"25.436966,55.505016",5000,232,103
1501073858,2017-07-26T12:57:38Z,MXM3721,"25.438202,55.496876",4825,233,92
1501073852,2017-07-26T12:57:32Z,MXM3721,"25.438202,55.489605",4650,233,86
1501073846,2017-07-26T12:57:26Z,MXM3721,"25.437679,55.483185",4500,234,82
1501073840,2017-07-26T12:57:20Z,MXM3721,"25.436691,55.475006",4325,235,81
1501073834,2017-07-26T12:57:14Z,MXM3721,"25.435913,55.469006",4275,231,82
1501073828,2017-07-26T12:57:08Z,MXM3721,"25.435072,55.46199",4175,225,82
1501073822,2017-07-26T12:57:02Z,MXM3721,"25.434219,55.454559",4100,222,81
1501073816,2017-07-26T12:56:56Z,MXM3721,"25.432884,55.44603",4050,214,77
1501073810,2017-07-26T12:56:50Z,MXM3721,"25.432068,55.442047",4050,210,73
1501073804,2017-07-26T12:56:44Z,MXM3721,"25.430283,55.436047",3975,208,67
1501073795,2017-07-26T12:56:35Z,MXM3721,"25.4266,55.427734",3875,202,58
1501073786,2017-07-26T12:56:26Z,MXM3721,"25.4212,55.419651",3750,196,47
1501073780,2017-07-26T12:56:20Z,MXM3721,"25.417603,55.415699",3625,195,40
1501073756,2017-07-26T12:55:56Z,MXM3721,"25.398064,55.408924",3300,180,349
1501073750,2017-07-26T12:55:50Z,MXM3721,"25.393175,55.41053",3175,179,333
1501073743,2017-07-26T12:55:43Z,MXM3721,"25.389038,55.413258",3075,178,318
1501073735,2017-07-26T12:55:35Z,MXM3721,"25.38405,55.419754",2975,170,300
1501073728,2017-07-26T12:55:28Z,MXM3721,"25.382002,55.423695",2900,169,299
1501073722,2017-07-26T12:55:22Z,MXM3721,"25.379629,55.428253",2800,166,300
1501073714,2017-07-26T12:55:14Z,MXM3721,"25.375717,55.435509",2650,166,301
1501073707,2017-07-26T12:55:07Z,MXM3721,"25.373344,55.439812",2550,163,301
1501073699,2017-07-26T12:54:59Z,MXM3721,"25.369995,55.445759",2450,160,301
1501073692,2017-07-26T12:54:52Z,MXM3721,"25.367153,55.450951",2325,158,300
1501073686,2017-07-26T12:54:46Z,MXM3721,"25.36528,55.454357",2225,157,300
1501073678,2017-07-26T12:54:38Z,MXM3721,"25.361984,55.460407",2025,158,300
1501073671,2017-07-26T12:54:31Z,MXM3721,"25.359612,55.465046",1850,161,298
1501073665,2017-07-26T12:54:25Z,MXM3721,"25.356865,55.470592",1700,162,298
1501073654,2017-07-26T12:54:14Z,MXM3721,"25.353241,55.477802",1425,164,299
1501073647,2017-07-26T12:54:07Z,MXM3721,"25.350906,55.482227",1350,160,300
1501073638,2017-07-26T12:53:58Z,MXM3721,"25.347519,55.488434",1250,153,301
1501073632,2017-07-26T12:53:52Z,MXM3721,"25.345181,55.492565",1175,152,301
1501073626,2017-07-26T12:53:46Z,MXM3721,"25.342899,55.496658",1125,148,301
1501073620,2017-07-26T12:53:40Z,MXM3721,"25.340927,55.500233",1050,146,301
1501073614,2017-07-26T12:53:34Z,MXM3721,"25.33873,55.5042",925,145,301
1501073608,2017-07-26T12:53:28Z,MXM3721,"25.336395,55.50832",800,146,302
1501072247,2017-07-26T12:30:47Z,MXM3721,"25.328117,55.514629",0,27,120
