Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1502704930,2017-08-14T10:02:10Z,MXU3725,"24.354401,54.639179",2775,231,112
1502704894,2017-08-14T10:01:34Z,MXU3725,"24.371401,54.598476",2975,261,114
1502704655,2017-08-14T09:57:35Z,MXU3725,"24.550232,54.285686",7025,332,129
1502704640,2017-08-14T09:57:20Z,MXU3725,"24.563986,54.267174",7425,333,129
1502704627,2017-08-14T09:57:07Z,MXU3725,"24.575951,54.251163",7775,331,129
1502704603,2017-08-14T09:56:43Z,MXU3725,"24.600769,54.218037",8450,333,129
1502704588,2017-08-14T09:56:28Z,MXU3725,"24.614403,54.199909",8800,333,129
1502704576,2017-08-14T09:56:16Z,MXU3725,"24.626459,54.183689",9075,335,129
1502704564,2017-08-14T09:56:04Z,MXU3725,"24.638052,54.168091",9275,336,129
1502704552,2017-08-14T09:55:52Z,MXU3725,"24.651901,54.149426",9525,335,129
1502704540,2017-08-14T09:55:40Z,MXU3725,"24.664539,54.132332",9750,337,128
1502704525,2017-08-14T09:55:25Z,MXU3725,"24.678272,54.113937",9975,337,129
1502704513,2017-08-14T09:55:13Z,MXU3725,"24.688705,54.099987",10125,337,128
1502704501,2017-08-14T09:55:01Z,MXU3725,"24.700758,54.083569",10300,339,129
1502704489,2017-08-14T09:54:49Z,MXU3725,"24.713932,54.066311",10500,341,129
1502704477,2017-08-14T09:54:37Z,MXU3725,"24.725336,54.050869",10675,342,129
1502704465,2017-08-14T09:54:25Z,MXU3725,"24.737366,54.035797",10850,343,129
1502704317,2017-08-14T09:51:57Z,MXU3725,"24.852493,53.807983",14625,354,118
1502704272,2017-08-14T09:51:12Z,MXU3725,"24.887758,53.73605",15925,361,118
1502704250,2017-08-14T09:50:50Z,MXU3725,"24.91658,53.677776",17000,367,118
1502704184,2017-08-14T09:49:44Z,MXU3725,"24.959726,53.589909",18500,380,118
1502704121,2017-08-14T09:48:41Z,MXU3725,"25.013309,53.480721",20375,391,118
1502704060,2017-08-14T09:47:40Z,MXU3725,"25.065903,53.373669",21725,406,118
1502703973,2017-08-14T09:46:13Z,MXU3725,"25.14547,53.207668",23275,420,107
1502703967,2017-08-14T09:46:07Z,MXU3725,"25.150406,53.193665",23500,420,107
1502703906,2017-08-14T09:45:06Z,MXU3725,"25.179407,53.071999",24925,432,104
1502703843,2017-08-14T09:44:03Z,MXU3725,"25.211481,52.935551",25000,439,104
1502703780,2017-08-14T09:43:00Z,MXU3725,"25.24337,52.799309",25350,435,104
1502703713,2017-08-14T09:41:53Z,MXU3725,"25.288618,52.653999",26225,446,118
1502703620,2017-08-14T09:40:20Z,MXU3725,"25.377813,52.469406",27575,454,117
