Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1503651831,2017-08-25T09:03:51Z,MXM3722,"24.670078,54.233749",5675,309,115
1503651825,2017-08-25T09:03:45Z,MXM3722,"24.672081,54.229034",5775,309,115
1503651813,2017-08-25T09:03:33Z,MXM3722,"24.680414,54.209549",6200,309,115
1503651801,2017-08-25T09:03:21Z,MXM3722,"24.686829,54.194641",6450,312,115
1503651789,2017-08-25T09:03:09Z,MXM3722,"24.694473,54.176739",6800,313,114
1503651777,2017-08-25T09:02:57Z,MXM3722,"24.701735,54.159592",7150,313,114
1503651765,2017-08-25T09:02:45Z,MXM3722,"24.710037,54.140064",7600,311,114
1503651753,2017-08-25T09:02:33Z,MXM3722,"24.717224,54.122974",8000,311,114
1503651741,2017-08-25T09:02:21Z,MXM3722,"24.723846,54.107353",8300,312,115
1503651729,2017-08-25T09:02:09Z,MXM3722,"24.731003,54.090527",8550,317,114
1503651717,2017-08-25T09:01:57Z,MXM3722,"24.739395,54.07056",8825,319,114
1503651487,2017-08-25T08:58:07Z,MXM3722,"24.887245,53.721333",13850,350,115
1503651469,2017-08-25T08:57:49Z,MXM3722,"24.89893,53.694019",14275,352,115
1503651430,2017-08-25T08:57:10Z,MXM3722,"24.927187,53.627583",15050,364,114
1503651397,2017-08-25T08:56:37Z,MXM3722,"24.950462,53.572964",15875,368,114
1503651365,2017-08-25T08:56:05Z,MXM3722,"24.973984,53.517658",16725,372,114
1503651301,2017-08-25T08:55:01Z,MXM3722,"25.019918,53.408737",18625,372,114
1503651226,2017-08-25T08:53:46Z,MXM3722,"25.077026,53.272095",20900,380,114
1503651165,2017-08-25T08:52:45Z,MXM3722,"25.120426,53.169163",22475,391,114
1503651102,2017-08-25T08:51:42Z,MXM3722,"25.168608,53.053806",23100,400,114
1503651039,2017-08-25T08:50:39Z,MXM3722,"25.218138,52.935135",24650,408,114
1503650978,2017-08-25T08:49:38Z,MXM3722,"25.268326,52.815655",26300,428,115
1503650867,2017-08-25T08:47:47Z,MXM3722,"25.363707,52.587097",29000,435,114
1503650782,2017-08-25T08:46:22Z,MXM3722,"25.432892,52.421062",29000,432,114
1503650756,2017-08-25T08:45:56Z,MXM3722,"25.456114,52.365608",28975,430,114
1503650692,2017-08-25T08:44:52Z,MXM3722,"25.508011,52.240192",28975,427,114
1503650626,2017-08-25T08:43:46Z,MXM3722,"25.562164,52.10973",29075,424,110
1503650599,2017-08-25T08:43:19Z,MXM3722,"25.587708,52.057446",29175,429,121
1503650536,2017-08-25T08:42:16Z,MXM3722,"25.653259,51.940613",30675,430,122
1503650472,2017-08-25T08:41:12Z,MXM3722,"25.719227,51.81971",32325,433,118
1503650409,2017-08-25T08:40:09Z,MXM3722,"25.782072,51.692745",32950,443,118
1503650346,2017-08-25T08:39:06Z,MXM3722,"25.84259,51.570087",32950,442,118
1503650285,2017-08-25T08:38:05Z,MXM3722,"25.902363,51.448765",32950,442,118
1503650222,2017-08-25T08:37:02Z,MXM3722,"25.964325,51.322525",32975,441,118
1503650159,2017-08-25T08:35:59Z,MXM3722,"26.024982,51.198929",32950,442,118
1503650098,2017-08-25T08:34:58Z,MXM3722,"26.083603,51.077148",32975,440,115
1503650036,2017-08-25T08:33:56Z,MXM3722,"26.138443,50.947025",32950,441,115
1503649975,2017-08-25T08:32:55Z,MXM3722,"26.190262,50.824463",32950,439,115
1503649914,2017-08-25T08:31:54Z,MXM3722,"26.24231,50.699986",32975,439,112
1503649908,2017-08-25T08:31:48Z,MXM3722,"26.247641,50.685848",32975,438,112
1503649902,2017-08-25T08:31:42Z,MXM3722,"26.253159,50.671486",32950,438,113
1503649896,2017-08-25T08:31:36Z,MXM3722,"26.256254,50.663452",32900,439,112
1503649890,2017-08-25T08:31:30Z,MXM3722,"26.260769,50.650406",32900,440,107
1503649836,2017-08-25T08:30:36Z,MXM3722,"26.277786,50.528767",32925,441,96
1503649750,2017-08-25T08:29:10Z,MXM3722,"26.299593,50.330059",32950,439,98
1503649736,2017-08-25T08:28:56Z,MXM3722,"26.303179,50.30233",32925,439,98
1503649668,2017-08-25T08:27:48Z,MXM3722,"26.322601,50.153416",32925,438,98
1503649605,2017-08-25T08:26:45Z,MXM3722,"26.340559,50.011879",32950,438,98
1503649542,2017-08-25T08:25:42Z,MXM3722,"26.358343,49.871117",32975,436,96
1503649536,2017-08-25T08:25:36Z,MXM3722,"26.359833,49.8577",32975,437,98
1503649530,2017-08-25T08:25:30Z,MXM3722,"26.361649,49.844444",32925,437,99
1503649524,2017-08-25T08:25:24Z,MXM3722,"26.363571,49.830616",32875,440,96
1503649461,2017-08-25T08:24:21Z,MXM3722,"26.357225,49.688362",32925,440,85
1503649400,2017-08-25T08:23:20Z,MXM3722,"26.348566,49.552353",32950,440,85
1503649338,2017-08-25T08:22:18Z,MXM3722,"26.339256,49.409798",32950,440,85
1503649277,2017-08-25T08:21:17Z,MXM3722,"26.330063,49.27306",32950,441,85
1503649214,2017-08-25T08:20:14Z,MXM3722,"26.320541,49.129326",32950,441,85
1503649151,2017-08-25T08:19:11Z,MXM3722,"26.310745,48.987156",32950,442,85
1503649087,2017-08-25T08:18:07Z,MXM3722,"26.30085,48.843632",32950,443,85
1503649024,2017-08-25T08:17:04Z,MXM3722,"26.290695,48.699333",32950,443,85
1503648963,2017-08-25T08:16:03Z,MXM3722,"26.280787,48.56221",32950,444,85
1503648900,2017-08-25T08:15:00Z,MXM3722,"26.269846,48.418175",32975,446,84
1503648819,2017-08-25T08:13:39Z,MXM3722,"26.269474,48.230827",33000,448,91
1503648756,2017-08-25T08:12:36Z,MXM3722,"26.272705,48.084827",33000,448,91
1503648692,2017-08-25T08:11:32Z,MXM3722,"26.276001,47.938637",32975,448,91
1503648629,2017-08-25T08:10:29Z,MXM3722,"26.279018,47.793167",32975,448,91
1503648568,2017-08-25T08:09:28Z,MXM3722,"26.281904,47.654045",32975,449,91
1503648505,2017-08-25T08:08:25Z,MXM3722,"26.28479,47.507008",32975,449,91
1503648442,2017-08-25T08:07:22Z,MXM3722,"26.287399,47.361439",33000,449,91
