Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1504424730,2017-09-03T07:45:30Z,MXM3722,"39.112564,63.651562",13275,323,44
1504424697,2017-09-03T07:44:57Z,MXM3722,"39.075901,63.606873",14200,338,42
1504424666,2017-09-03T07:44:26Z,MXM3722,"39.040558,63.564445",15150,349,43
1504424635,2017-09-03T07:43:55Z,MXM3722,"39.003387,63.520084",16325,356,43
1504424604,2017-09-03T07:43:24Z,MXM3722,"38.96553,63.474766",17450,365,42
1504424542,2017-09-03T07:42:22Z,MXM3722,"38.88652,63.380547",18875,386,43
1504424481,2017-09-03T07:41:21Z,MXM3722,"38.805248,63.283691",20625,393,42
1504424419,2017-09-03T07:40:19Z,MXM3722,"38.721176,63.183628",22200,409,42
1504424358,2017-09-03T07:39:18Z,MXM3722,"38.634678,63.081299",24000,415,42
1504424296,2017-09-03T07:38:16Z,MXM3722,"38.549149,62.980259",24850,418,42
1504423943,2017-09-03T07:32:23Z,MXM3722,"38.024506,62.367046",25025,448,42
1504423882,2017-09-03T07:31:22Z,MXM3722,"37.93158,62.259521",25000,447,42
1504423820,2017-09-03T07:30:20Z,MXM3722,"37.83815,62.152523",24975,447,42
1504423759,2017-09-03T07:29:19Z,MXM3722,"37.742294,62.043243",24975,446,42
1504423697,2017-09-03T07:28:17Z,MXM3722,"37.647034,61.938698",24975,444,40
1504423530,2017-09-03T07:25:30Z,MXM3722,"37.43042,61.58828",25000,452,53
1504423521,2017-09-03T07:25:21Z,MXM3722,"37.421585,61.573521",25025,452,53
1504423460,2017-09-03T07:24:20Z,MXM3722,"37.344955,61.446415",24950,451,52
1504423399,2017-09-03T07:23:19Z,MXM3722,"37.267532,61.319057",24975,451,52
1504423338,2017-09-03T07:22:18Z,MXM3722,"37.190369,61.192093",24950,450,52
1504423275,2017-09-03T07:21:15Z,MXM3722,"37.111816,61.063881",24975,448,52
1504423214,2017-09-03T07:20:14Z,MXM3722,"37.03418,60.937599",24975,446,52
1504423152,2017-09-03T07:19:12Z,MXM3722,"36.956497,60.811897",24950,445,52
1504423091,2017-09-03T07:18:11Z,MXM3722,"36.878681,60.686089",24950,443,52
1504423028,2017-09-03T07:17:08Z,MXM3722,"36.799778,60.559269",24950,442,52
1504422965,2017-09-03T07:16:05Z,MXM3722,"36.721104,60.433395",24975,442,52
1504422903,2017-09-03T07:15:03Z,MXM3722,"36.64389,60.310078",24950,441,52
1504422842,2017-09-03T07:14:02Z,MXM3722,"36.566132,60.186668",24950,441,51
1504422780,2017-09-03T07:13:00Z,MXM3722,"36.488113,60.063114",24975,441,51
1504422718,2017-09-03T07:11:58Z,MXM3722,"36.410648,59.940998",24975,441,51
1504422657,2017-09-03T07:10:57Z,MXM3722,"36.332886,59.818497",24950,441,51
1504422596,2017-09-03T07:09:56Z,MXM3722,"36.256668,59.696903",24950,442,55
1504422477,2017-09-03T07:07:57Z,MXM3722,"36.082764,59.491653",24950,437,42
1504422449,2017-09-03T07:07:29Z,MXM3722,"36.041061,59.444904",24975,436,42
1504422388,2017-09-03T07:06:28Z,MXM3722,"35.949966,59.342884",24975,436,42
1504422327,2017-09-03T07:05:27Z,MXM3722,"35.858257,59.240501",24975,436,42
1504422266,2017-09-03T07:04:26Z,MXM3722,"35.766365,59.138176",24975,437,42
1504422203,2017-09-03T07:03:23Z,MXM3722,"35.671875,59.033489",24975,437,42
1504422142,2017-09-03T07:02:22Z,MXM3722,"35.580013,58.932068",24975,437,41
1504421166,2017-09-03T06:46:06Z,MXM3722,"34.103897,57.340168",24975,433,40
1504421103,2017-09-03T06:45:03Z,MXM3722,"34.009762,57.241344",24975,433,41
1504421071,2017-09-03T06:44:31Z,MXM3722,"33.963501,57.192974",24975,433,40
1504421008,2017-09-03T06:43:28Z,MXM3722,"33.867546,57.09343",24975,432,40
1504420862,2017-09-03T06:41:02Z,MXM3722,"33.628647,56.885246",24975,424,10
1504420806,2017-09-03T06:40:06Z,MXM3722,"33.525478,56.869045",24950,425,7
1504420744,2017-09-03T06:39:04Z,MXM3722,"33.404938,56.850788",24975,424,7
1504420682,2017-09-03T06:38:02Z,MXM3722,"33.282486,56.832386",24975,424,7
1504420620,2017-09-03T06:37:00Z,MXM3722,"33.160675,56.814148",24950,425,7
1504420557,2017-09-03T06:35:57Z,MXM3722,"33.038635,56.795799",24975,424,7
1504420495,2017-09-03T06:34:55Z,MXM3722,"32.917099,56.777672",24975,425,7
1504420433,2017-09-03T06:33:53Z,MXM3722,"32.796844,56.759857",24975,425,7
1504420370,2017-09-03T06:32:50Z,MXM3722,"32.674026,56.741692",24975,425,7
1504420308,2017-09-03T06:31:48Z,MXM3722,"32.545761,56.722633",24975,426,7
1504420241,2017-09-03T06:30:41Z,MXM3722,"32.419724,56.70414",25000,427,7
1504420123,2017-09-03T06:28:43Z,MXM3722,"32.188248,56.669788",25025,425,7
1504420101,2017-09-03T06:28:21Z,MXM3722,"32.147114,56.66378",25025,425,6
1504420040,2017-09-03T06:27:20Z,MXM3722,"32.027847,56.646347",25000,424,7
1504419979,2017-09-03T06:26:19Z,MXM3722,"31.909092,56.628971",25000,424,6
1504419918,2017-09-03T06:25:18Z,MXM3722,"31.789312,56.611485",25000,422,7
1504419856,2017-09-03T06:24:16Z,MXM3722,"31.670326,56.594093",25000,422,7
1504419793,2017-09-03T06:23:13Z,MXM3722,"31.545006,56.575855",24975,422,7
1504419731,2017-09-03T06:22:11Z,MXM3722,"31.426113,56.558552",25000,421,7
1504419669,2017-09-03T06:21:09Z,MXM3722,"31.30666,56.541359",25000,421,7
1504419608,2017-09-03T06:20:08Z,MXM3722,"31.188929,56.52433",24975,422,7
1504419547,2017-09-03T06:19:07Z,MXM3722,"31.069336,56.507244",25000,421,7
1504419486,2017-09-03T06:18:06Z,MXM3722,"30.950674,56.490273",25000,422,7
1504419424,2017-09-03T06:17:04Z,MXM3722,"30.831129,56.473022",25025,421,7
1504419362,2017-09-03T06:16:02Z,MXM3722,"30.711676,56.456104",24975,422,7
1504419301,2017-09-03T06:15:01Z,MXM3722,"30.591797,56.438923",25000,422,7
1504419240,2017-09-03T06:14:00Z,MXM3722,"30.474352,56.422157",25000,421,6
1504419178,2017-09-03T06:12:58Z,MXM3722,"30.355042,56.405209",25000,420,6
1504419117,2017-09-03T06:11:57Z,MXM3722,"30.235474,56.388138",24975,420,7
1504419056,2017-09-03T06:10:56Z,MXM3722,"30.117966,56.371658",24975,419,6
1504418995,2017-09-03T06:09:55Z,MXM3722,"29.999771,56.354855",24975,418,7
1504418933,2017-09-03T06:08:53Z,MXM3722,"29.881323,56.338051",24975,417,7
1504418872,2017-09-03T06:07:52Z,MXM3722,"29.764523,56.321571",24950,417,6
1504418811,2017-09-03T06:06:51Z,MXM3722,"29.647293,56.305302",24975,416,7
1504418750,2017-09-03T06:05:50Z,MXM3722,"29.530563,56.289085",24975,415,6
1504418685,2017-09-03T06:04:45Z,MXM3722,"29.405605,56.271488",24975,415,7
1504418624,2017-09-03T06:03:44Z,MXM3722,"29.28997,56.255386",24975,414,6
1504418563,2017-09-03T06:02:43Z,MXM3722,"29.173828,56.239277",24975,416,6
1504418501,2017-09-03T06:01:41Z,MXM3722,"29.055672,56.222912",24975,417,7
1504418440,2017-09-03T06:00:40Z,MXM3722,"28.937943,56.206757",24975,418,6
1504418379,2017-09-03T05:59:39Z,MXM3722,"28.820024,56.190491",24975,421,6
1504418318,2017-09-03T05:58:38Z,MXM3722,"28.701233,56.173782",24975,423,7
1504418257,2017-09-03T05:57:37Z,MXM3722,"28.581631,56.156994",25000,425,6
1504417471,2017-09-03T05:44:31Z,MXM3722,"27.108532,55.954056",24225,382,7
1504417426,2017-09-03T05:43:46Z,MXM3722,"27.028015,55.942951",24000,382,7
1504417366,2017-09-03T05:42:46Z,MXM3722,"26.921219,55.928337",23725,383,7
1504417296,2017-09-03T05:41:36Z,MXM3722,"26.800915,55.912487",23375,382,5
1504417230,2017-09-03T05:40:30Z,MXM3722,"26.685093,55.889988",23000,385,11
1504417169,2017-09-03T05:39:29Z,MXM3722,"26.578445,55.86729",22575,387,10
1504417106,2017-09-03T05:38:26Z,MXM3722,"26.466614,55.842781",22200,388,11
1504417043,2017-09-03T05:37:23Z,MXM3722,"26.353683,55.817959",21775,390,10
1504416982,2017-09-03T05:36:22Z,MXM3722,"26.247549,55.794914",21450,388,10
1504416974,2017-09-03T05:36:14Z,MXM3722,"26.22995,55.791424",21375,389,10
1504416890,2017-09-03T05:34:50Z,MXM3722,"26.081635,55.792358",20975,385,1
1504416884,2017-09-03T05:34:44Z,MXM3722,"26.069778,55.791424",20950,385,8
1504416821,2017-09-03T05:33:41Z,MXM3722,"25.964651,55.754719",20975,374,18
1504416757,2017-09-03T05:32:37Z,MXM3722,"25.862366,55.716179",20925,359,18
1504416694,2017-09-03T05:31:34Z,MXM3722,"25.762207,55.678814",20475,358,18
1504416633,2017-09-03T05:30:33Z,MXM3722,"25.668411,55.643818",20075,355,18
1504416570,2017-09-03T05:29:30Z,MXM3722,"25.569515,55.60704",19575,353,18
1504416507,2017-09-03T05:28:27Z,MXM3722,"25.471436,55.570171",19075,350,18
1504416446,2017-09-03T05:27:26Z,MXM3722,"25.378977,55.535732",18600,346,19
1504416438,2017-09-03T05:27:18Z,MXM3722,"25.364822,55.530445",18550,345,19
