Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1506542021,2017-09-27T19:53:41Z,MXM3724,"60.20787,11.098718",0,10,33
1506542000,2017-09-27T19:53:20Z,MXM3724,"60.207569,11.09857",0,2,33
1506541978,2017-09-27T19:52:58Z,MXM3724,"60.207336,11.098472",0,14,33
1506541963,2017-09-27T19:52:43Z,MXM3724,"60.20723,11.097375",0,26,33
1506541949,2017-09-27T19:52:29Z,MXM3724,"60.207405,11.096093",0,27,33
1506541942,2017-09-27T19:52:22Z,MXM3724,"60.207512,11.095431",0,29,33
1506541933,2017-09-27T19:52:13Z,MXM3724,"60.207684,11.094156",0,29,33
1506541924,2017-09-27T19:52:04Z,MXM3724,"60.20779,11.093518",0,25,33
1506541918,2017-09-27T19:51:58Z,MXM3724,"60.207859,11.092832",0,22,33
1506541912,2017-09-27T19:51:52Z,MXM3724,"60.207779,11.092546",0,21,33
1506541906,2017-09-27T19:51:46Z,MXM3724,"60.207451,11.092268",0,29,33
1506541897,2017-09-27T19:51:37Z,MXM3724,"60.207058,11.092047",0,34,33
1506541882,2017-09-27T19:51:22Z,MXM3724,"60.205742,11.091314",0,16,33
1506541876,2017-09-27T19:51:16Z,MXM3724,"60.204926,11.090845",0,34,33
1506541865,2017-09-27T19:51:05Z,MXM3724,"60.204323,11.090502",0,32,33
1506541853,2017-09-27T19:50:53Z,MXM3724,"60.203888,11.090248",0,31,33
1506541846,2017-09-27T19:50:46Z,MXM3724,"60.203545,11.090035",0,29,33
1506541834,2017-09-27T19:50:34Z,MXM3724,"60.202972,11.089704",0,27,33
1506541825,2017-09-27T19:50:25Z,MXM3724,"60.202564,11.089497",0,23,33
1506541819,2017-09-27T19:50:19Z,MXM3724,"60.202332,11.089325",0,22,33
1506541813,2017-09-27T19:50:13Z,MXM3724,"60.202179,11.088908",0,24,33
1506541807,2017-09-27T19:50:07Z,MXM3724,"60.20219,11.088368",0,22,33
1506541801,2017-09-27T19:50:01Z,MXM3724,"60.202251,11.087952",0,16,33
1506541795,2017-09-27T19:49:55Z,MXM3724,"60.202297,11.087633",0,17,33
1506541789,2017-09-27T19:49:49Z,MXM3724,"60.202343,11.087314",0,18,33
1506541783,2017-09-27T19:49:43Z,MXM3724,"60.2024,11.08691",0,19,33
1506541777,2017-09-27T19:49:37Z,MXM3724,"60.202457,11.08646",0,21,33
1506541768,2017-09-27T19:49:28Z,MXM3724,"60.202518,11.085745",0,26,33
1506541759,2017-09-27T19:49:19Z,MXM3724,"60.202366,11.084897",0,31,33
1506541753,2017-09-27T19:49:13Z,MXM3724,"60.202053,11.084322",0,17,33
