Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
4338150714,2018-08-08T00:00:00,925.0,,,NV,201903.0,,TOYT,PA,GY,823 ANGELUS PL E,00137,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6423969.702079,1819210.174331
1114020622,2016-05-15T00:00:00,213.0,,,TX,201507.0,,MITS,PA,GY,407 N NORTON ST,00403,54.0,011,22500F,68.0,99999.0,99999.0
4319315103,2017-10-26T00:00:00,1616.0,,1550.0,CA,201803.0,,TOYT,PA,GY,832 GARDEN AVE W,00544,55.0,80.69C,PARKED OVER TIME LIMIT,58.0,99999.0,99999.0
4287762113,2016-07-18T00:00:00,942.0,,,CA,,,BMW,PA,GY,333 SOUTH HOPE STREET,00600,56.0,80.56E4+,RED ZONE,93.0,6486561.2,1843726.7
4257655662,2015-05-11T00:00:00,1034.0,,,CA,201511.0,,CHEV,PA,BK,9900 GLASGOW PL,00167,51.0,80.66.1D,RESTRICTED TAXI ZONE,68.0,99999.0,99999.0
4324489326,2018-01-17T00:00:00,1115.0,VL30,,NC,201804.0,,VOLK,PA,BL,1301 ELECTRIC AVE,906R,51.0,88.13B+,METER EXP.,63.0,6419828.962022,1819688.45605
4285045682,2016-06-13T00:00:00,1654.0,,,CA,201611.0,,OTHR,CM,WT,700 W  8TH ST,00600,56.0,80.69AP+,NO STOP/STANDING,93.0,6483199.6,1839427.4
4285260291,2016-07-13T00:00:00,1940.0,,,CA,201701.0,,NISS,PA,SL,22200 GERMAIN STREET,00317,53.0,80.61,STANDNG IN ALLEY,68.0,6377195.4,1918505.6
4282676322,2016-05-13T00:00:00,1236.0,,,NV,2.0,,CHEV,PA,TN,700 WESTMORELAND AVE S,00456,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6474107.3,1844263.5
4309246815,2017-05-14T00:00:00,1110.0,CB448,,CA,1.0,,CHEV,PA,BL,200 PICO BLVD E,00657,56.0,88.13B+,METER EXP.,63.0,6482244.793546,1836192.03198
4312288116,2017-06-24T00:00:00,1029.0,VN180,,CA,201803.0,,MERZ,PA,WT,14540 HAMLIN ST,00363,53.0,88.13B+,METER EXP.,63.0,6425697.7455629995,1891345.594763
4292568873,2016-08-25T00:00:00,445.0,,,CA,201606.0,,TOYT,PA,BL,300 PARK VIEW ST,00402,54.0,5204A-,DISPLAY OF TABS,25.0,6479329.7,1848528.0
4332285860,2018-05-23T00:00:00,147.0,,,CA,201904.0,,NISS,TK,GN,810 LAKE ST S,00600,56.0,80.56E4+,RED ZONE,93.0,6477150.007635,1842596.151091
4308633965,2017-05-17T00:00:00,1215.0,,,CA,201801.0,,FORD,PA,WT,8928 READING AVE,00133,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6445948.3909599995,1806408.016675
4315639285,2017-08-26T00:00:00,503.0,,,CA,201709.0,,BMW,PA,BK,1470 NORTON AVE,506C,51.0,22500H,DOUBLE PARKING,68.0,6463258.259994,1838819.2201430001
1122716033,2018-05-01T00:00:00,935.0,,,CA,201802.0,,TOYO,PA,BK,6053 AVION DR,5M37,2.0,8936,RED CURB,93.0,6443029.154193,1802750.658791
4255448713,2015-03-22T00:00:00,1623.0,LM226,,CA,201601.0,,BMW,PA,BK,801 LA BREA AV N,04011,54.0,88.13B+,METER EXP.,63.0,6453253.0,1812735.7
4273096450,2015-12-20T00:00:00,1347.0,12,,CA,201604.0,,MAZD,PA,WT,1043 HYPERION AVE,00472,54.0,80.58L,PREFERENTIAL PARKING,68.0,6476797.5,1855474.4
4266861130,2015-09-07T00:00:00,1928.0,,,CA,,,TOYT,PA,GY,7600 VISTA DEL MAR,00111,51.0,80.69A+,STOP/STAND PROHIBIT,93.0,6426240.2,1805212.2
1110347103,2017-06-21T00:00:00,735.0,,,CA,201512.0,,CHEV,PA,WH,ST ELMO DR/HIGHLAND,00775,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
4266109610,2015-09-21T00:00:00,1104.0,,,CA,2.0,,NISS,PA,WT,8600 KESTER AVE,00333,53.0,80.69AA+,NO STOP/STAND,93.0,6423382.2,1905126.5
4322979533,2017-12-22T00:00:00,1319.0,,,CA,201809.0,,ACUR,PA,SL,2900 FRANCIS AVE,00471,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6474106.622354,1843182.3409400003
4302408482,2017-02-07T00:00:00,1648.0,,,CA,,,BMW,PA,BK,330 SOUTH CLARK DRIVE,00401,54.0,80.56E4+,RED ZONE,93.0,6445125.412575,1849246.078552
4257091650,2015-04-27T00:00:00,850.0,,,CA,201602.0,,TOYT,PA,GY,10907 MARKLEIN AVE,00332,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6419549.4,1920417.7
4256118521,2015-04-15T00:00:00,1617.0,,,CA,201403.0,,KIA,PA,BK,6350 SANTA MONICA BLVD,00441,54.0,80.69A+,STOP/STAND PROHIBIT,93.0,6462440.1,1855567.4
4308559776,2017-06-06T00:00:00,2250.0,W126,,CA,201706.0,,NISS,PA,GY,6101 98TH ST W,502A,51.0,88.13B+,METER EXP.,63.0,6442760.741098001,1803450.302623
4319338833,2017-10-28T00:00:00,1232.0,,,CA,11.0,,FORD,PA,RD,20400 NORDHOFF ST,378R2,53.0,80.69B,NO PARKING,73.0,6387098.654012,1907254.596557
4284128973,2016-05-26T00:00:00,1702.0,WS280,,CA,201612.0,,TOYT,PA,WT,2027 WESTWOOD BL,00161,51.0,88.13B+,METER EXP.,63.0,6430247.4,1839516.3
4343838645,2018-11-26T00:00:00,1253.0,,,CA,201908.0,,HOND,PA,BL,2328 ST JAMES PL,00500,55.0,80.69AA+,NO STOP/STAND,93.0,6477232.664333,1834354.81993
4274159153,2016-01-15T00:00:00,1218.0,,,CA,201605.0,,TOYT,PA,WT,640 MALTMAN AVE,00453,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6476032.3,1851908.6
4337874262,2018-08-02T00:00:00,833.0,,,CA,201806.0,,HOND,PU,OT,1353 SUTHERLAND ST,00672,56.0,5204A-,DISPLAY OF TABS,25.0,6485096.542844,1850151.534287
4286926184,2016-07-06T00:00:00,942.0,ED558A,,CA,,,LEXS,PA,WT,721 9TH ST E,00665,56.0,88.13B+,METER EXP.,63.0,6482433.8,1839184.9
4268733453,2015-10-08T00:00:00,920.0,AE366,,CA,201510.0,,TOYT,PA,GY,751 BANNING ST E,00664,56.0,88.13B+,METER EXP.,63.0,6491270.7,1840351.3
4310624975,2017-06-09T00:00:00,1421.0,,,CA,201707.0,,TOYT,PA,WT,2721 NORTH VERMONT CANYON ROAD,00492,54.0,80.69AP+,NO STOP/STANDING,93.0,6473019.380668,1865368.1411869999
4314454270,2017-08-08T00:00:00,1412.0,,,CA,201706.0,,TOYT,PA,GY,643 VISTA ST N,00474,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6455011.521041,1852625.503444
4320255601,2018-01-09T00:00:00,1538.0,,,CA,201708.0,,OTHR,MS,WT,2107 EAST CESAR E CHAVEZ AVENUE,00600,56.0,80.53,PARKED IN PARKWAY,63.0,6497669.151718,1840047.84085
1112454884,2017-06-30T00:00:00,2045.0,,,GA,201806.0,,HOND,PA,BK,700 WORLD WAY L/L,3C407,2.0,8936,RED CURB,93.0,6439781.85461,1802687.273141
4343657651,2018-11-27T00:00:00,1520.0,,,CA,201910.0,,JEEP,PA,OR,300 VETERAN AVE,00112,51.0,80.69AP+,NO STOP/STANDING,93.0,6423825.578682,1848962.687912
4255140315,2015-03-16T00:00:00,1040.0,,,CA,201505.0,,NISS,PA,GY,6706 DE LONGPRE AVE,00481,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6459743.9,1857549.2
4268247174,2015-10-07T00:00:00,1115.0,,902.0,CA,201608.0,,HOND,PA,GY,1505 PURDUE AVE,00153,51.0,80.69C,PARKED OVER TIME LIM,58.0,6424775.2,1839856.4
4253465414,2015-03-03T00:00:00,1606.0,,,CA,201509.0,,BMW,PA,SL,4867 SUNSET BLVD W,00441,54.0,80.70,NO STOPPING/ANTI-GRI,163.0,6472233.4,1858230.5
1111461256,2015-06-12T00:00:00,815.0,,,CA,201510.0,,BMW,PA,SI,17930 SHERMAN WAY,00375,53.0,8069BS,NO PARK/STREET CLEAN,73.0,6403193.1,1895947.3
4344035441,2018-12-07T00:00:00,1201.0,,,CA,,,KIA,PA,GY,1331 LOS ANGELES ST S,00677,56.0,80.61,STANDNG IN ALLEY,68.0,6483019.107842,1835376.280484
4308434012,2017-05-04T00:00:00,1200.0,PR32,,CA,201708.0,,HYUN,PA,BK,8771 PICO BL W,00141,51.0,88.13B+,METER EXP.,63.0,6445638.50082,1842488.448181
4254728973,2015-03-15T00:00:00,1843.0,SV584,,CA,201510.0,,DODG,PA,TN,1500 ARGYLE AV,00487,54.0,88.13B+,METER EXP.,63.0,99999.0,99999.0
4343971041,2018-11-23T00:00:00,1230.0,CB1974,,CA,201904.0,,KIA,PA,GN,100 15TH ST E,00642,56.0,88.13B+,METER EXP.,63.0,6482281.587883,1834965.522611
4291069020,2016-08-22T00:00:00,1343.0,,,CA,201706.0,,GMC,PA,WT,350 CAROLWOOD DR,00156,51.0,80.69AP+,NO STOP/STANDING,93.0,6432049.9,1853576.3
4275018436,2016-01-15T00:00:00,1029.0,,,CA,201601.0,,MNNI,PA,BK,250 SOUTH HOBART BOULEVARD,00455,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
4344787506,2019-01-03T00:00:00,1646.0,,,CA,201808.0,,CHEV,PA,BK,3209 VERNON AVE,00500,55.0,80.69AP+,NO STOP/STANDING,93.0,6462187.969515001,1823872.715403
4259849672,2015-06-15T00:00:00,814.0,,,CA,201507.0,,CHEV,PA,SL,15050 SYLVAN ST,00363,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
4279238692,2016-03-11T00:00:00,1106.0,,,CA,10.0,,OLDS,PA,WT,8840 BURNET AVE,00331,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6421637.1,1906700.7
4338576406,2018-08-29T00:00:00,1609.0,,,CA,201710.0,,LEXS,PA,WT,1201 CUMMINGS ST N,00600,56.0,5204A-,DISPLAY OF TABS,25.0,6499318.976899,1843713.82507
4280366101,2016-05-12T00:00:00,659.0,,,CA,201509.0,,TOYT,PA,BL,6900 BLANCA AVE,00324,53.0,5204A-,DISPLAY OF TABS,25.0,99999.0,99999.0
4303827463,2017-02-28T00:00:00,1216.0,,,CA,,,OLDS,PA,RD,8801 STANFORD AVE S,00554,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6481923.634278,1806654.785693
4255991191,2015-04-09T00:00:00,2210.0,37,,CA,,,TOYT,PA,BN,7000 HAWTHORN AVENUE,00441,54.0,80.58L,PREFERENTIAL PARKING,68.0,6458315.5,1859076.3
4301937496,2017-02-08T00:00:00,1626.0,C1229,,CA,,,CHEV,PA,BK,900 30TH ST W,00500,55.0,88.13B+,METER EXP.,63.0,6471075.499871,1719811.765118
4310632594,2017-06-08T00:00:00,1040.0,CB740,,CA,,,TOYT,PA,GY,935 MAPLE AVE S,00677,56.0,88.13B+,METER EXP.,63.0,6484969.854294,1836697.8864919997
4269511385,2015-10-23T00:00:00,843.0,WW665,,TX,,,HOND,PA,BK,650 MARIPOSA AV S,00463,54.0,88.13B+,METER EXP.,63.0,6471048.5,1845152.8
4346987864,2019-01-18T00:00:00,831.0,,,CA,201901.0,,NISS,PA,BK,715 BARRINGTON AVE,00154,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6420039.514427,1843130.261908
4344829716,2018-12-17T00:00:00,920.0,,,CA,201909.0,,CHEV,PA,SL,17309 VANOWEN ST,00355,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6407397.069887,1893329.795069
4311326526,2017-06-20T00:00:00,1216.0,,,CA,201801.0,,TOYT,PA,WT,3031 GRAND VIEW BLVD,161R,51.0,80.69B,NO PARKING,73.0,6427010.106183,1829812.263148
1114977706,2017-09-09T00:00:00,1640.0,,,CA,201710.0,,FORD,PA,WH,1140 PACIFIC ST,5A25,1.0,8056E4,RED ZONE,93.0,6417927.27540131,1819120.94575349
4304774692,2017-04-04T00:00:00,1028.0,,,CA,201705.0,,DODG,VN,BL,2000 DUNSMUIR AVE,146R1,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6453713.459988,1837377.7596900002
4339621484,2018-09-26T00:00:00,831.0,,,CA,201810.0,,FIAT,PA,GY,1713 5TH AVE,00156,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6463977.905633,1837711.776265
